Character, Abs. Freq., Rel. Freq.
玖,1,35714
阿,1,35714
周,2,71429
廷,1,35714
卓,1,35714
軒,1,35714
命,1,35714
求,1,35714
嚴,1,35714
意,1,35714
煩,1,35714
丁,1,35714
世,1,35714
遽,1,35714
隨,1,35714
殷,1,35714
舉,1,35714
哲,1,35714
余,1,35714
閨,1,35714
深,1,35714
東,1,35714
雲,1,35714
質,1,35714
哀,2,71429
塵,1,35714
寤,1,35714
念,1,35714
靈,1,35714
文,1,35714
生,1,35714
鬥,1,35714
心,2,71429
悒,1,35714
我,2,71429
伏,1,35714
華,1,35714
沱,1,35714
行,1,35714
州,1,35714
愁,1,35714
頹,1,35714
逶,1,35714
咶,1,35714
瑞,1,35714
平,1,35714
思,1,35714
悄,1,35714
獲,1,35714
殟,1,35714
走,1,35714
結,1,35714
勤,1,35714
明,1,35714
丘,1,35714
重,2,71429
繇,1,35714
歷,1,35714
建,1,35714
吳,1,35714
飄,1,35714
極,2,71429
終,1,35714
戲,1,35714
咎,1,35714
無,2,71429
憒,1,35714
日,1,35714
歎,1,35714
委,1,35714
郢,1,35714
魂,1,35714
風,2,71429
營,1,35714
長,1,35714
傅,1,35714
八,1,35714
尤,1,35714
呂,1,35714
被,1,35714
圖,1,35714
譖,1,35714
遑,2,71429
虎,1,35714
傽,1,35714
步,1,35714
竭,1,35714
西,1,35714
馬,1,35714
軏,1,35714
寐,1,35714
仰,1,35714
立,1,35714
眇,2,71429
佩,1,35714
願,1,35714
玉,1,35714
兕,1,35714
竄,1,35714
劬,1,35714
諑,1,35714
林,1,35714
差,1,35714
謨,1,35714
駕,1,35714
望,1,35714
隅,1,35714
朝,1,35714
揚,1,35714
志,1,35714
虛,2,71429
節,1,35714
折,1,35714
迷,1,35714
絕,1,35714
隩,1,35714
天,1,35714
欲,1,35714
爭,1,35714
嚭,1,35714
塗,1,35714
典,1,35714
霧,1,35714
惷,1,35714
煢,2,71429
遠,1,35714
憂,2,71429
泥,1,35714
轅,1,35714
索,1,35714
澤,1,35714
舊,1,35714
眽,2,71429
載,1,35714
乍,1,35714
邦,1,35714
驅,1,35714
羨,1,35714
涕,1,35714
闇,1,35714
起,1,35714
車,1,35714
冥,1,35714
忌,1,35714
懿,1,35714
受,1,35714
狼,1,35714
滂,1,35714
噎,1,35714
豺,1,35714
埃,1,35714
當,1,35714
謬,1,35714
興,1,35714
遭,1,35714
晦,1,35714
愍,1,35714
？,1,35714
中,2,71429
屏,1,35714
蘇,1,35714
躇,1,35714
氣,1,35714
罔,1,35714
聖,1,35714
悲,1,35714
游,1,35714
隔,1,35714
時,1,35714
虺,1,35714
路,2,71429
愚,1,35714
目,1,35714
復,1,35714
鬯,1,35714
悵,1,35714
專,1,35714
會,1,35714
聊,1,35714
握,1,35714
