Character, Abs. Freq., Rel. Freq.
,6,3030
死,62,31307
願,2,1010
西,12,6059
彠,2,1010
弓,4,2020
來,10,5049
舜,16,8079
難,44,22218
丙,2,1010
怒,6,3030
乘,16,8079
居,4,2020
裘,6,3030
肘,4,2020
虻,2,1010
謳,4,2020
赦,2,1010
瑟,4,2020
外,6,3030
爭,6,3030
奏,2,1010
城,6,3030
隨,4,2020
榼,2,1010
鐸,4,2020
精,4,2020
累,16,8079
墳,2,1010
枉,2,1010
賦,2,1010
狹,2,1010
帷,2,1010
途,2,1010
雛,2,1010
狠,4,2020
實,8,4040
猗,2,1010
指,4,2020
信,10,5049
衣,14,7069
血,6,3030
猶,24,12119
束,4,2020
雌,4,2020
托,2,1010
事,62,31307
肉,6,3030
末,2,1010
偽,4,2020
鑿,6,3030
讓,8,4040
羑,2,1010
盟,4,2020
獨,14,7069
致,8,4040
婚,2,1010
本,16,8079
離,2,1010
強,18,9089
枘,2,1010
枕,4,2020
正,8,4040
施,14,7069
召,2,1010
禍,4,2020
謀,10,5049
籍,10,5049
墓,2,1010
群,2,1010
池,2,1010
襄,8,4040
閭,2,1010
土,2,1010
虞,4,2020
負,8,4040
擒,6,3030
睦,2,1010
卮,2,1010
哈,2,1010
劍,10,5049
宅,2,1010
禮,56,28277
窕,2,1010
好,10,5049
章,6,3030
紿,2,1010
朝,16,8079
椎,2,1010
絏,4,2020
學,6,3030
廩,4,2020
滯,2,1010
酒,6,3030
引,2,1010
梟,2,1010
羊,4,2020
鐘,2,1010
囿,2,1010
將,18,9089
玉,8,4040
馬,18,9089
卵,2,1010
僦,2,1010
音,12,6059
久,6,3030
槁,2,1010
捐,2,1010
盡,2,1010
曹,6,3030
況,8,4040
初,2,1010
前,4,2020
猩,4,2020
林,2,1010
堂,4,2020
寸,6,3030
物,30,15148
床,2,1010
七,6,3030
蹄,2,1010
諭,2,1010
身,28,14139
奇,2,1010
著,6,3030
嬴,2,1010
析,2,1010
航,2,1010
