Character, Abs. Freq., Rel. Freq.
好,6,4885
冥,2,1628
腹,4,3257
結,2,1628
法,2,1628
駿,2,1628
勁,2,1628
譬,10,8142
骨,6,4885
嗜,2,1628
夭,2,1628
極,8,6514
蹍,8,6514
籍,2,1628
將,8,6514
吉,2,1628
揚,4,3257
衰,2,1628
差,4,3257
邪,2,1628
形,22,17912
工,6,4885
芻,6,4885
雚,2,1628
寒,8,6514
期,4,3257
賁,2,1628
蹄,4,3257
化,4,3257
龜,8,6514
亂,4,3257
失,16,13027
蚤,2,1628
臨,6,4885
詈,2,1628
刻,2,1628
負,4,3257
言,10,8142
功,6,4885
同,26,21169
瓦,4,3257
樂,10,8142
河,16,13027
鉤,2,1628
謀,6,4885
壽,6,4885
發,10,8142
宜,4,3257
休,4,3257
戴,2,1628
雙,2,1628
亡,16,13027
來,10,8142
快,4,3257
伐,2,1628
俎,2,1628
謝,2,1628
門,2,1628
各,10,8142
置,4,3257
躃,2,1628
豆,2,1628
召,2,1628
桑,8,6514
螫,2,1628
達,2,1628
牖,2,1628
梅,6,4885
上,16,13027
牆,6,4885
定,2,1628
彭,2,1628
燃,2,1628
微,6,4885
耜,2,1628
盜,10,8142
黏,2,1628
黍,4,3257
理,4,3257
窮,4,3257
神,8,6514
鬼,8,6514
扣,2,1628
暍,4,3257
簦,2,1628
況,6,4885
弑,2,1628
跛,2,1628
虱,4,3257
跬,2,1628
居,4,3257
任,4,3257
殤,2,1628
桅,2,1628
甫,2,1628
姬,2,1628
驥,6,4885
幾,4,3257
毀,8,6514
常,10,8142
原,6,4885
走,16,13027
追,4,3257
搏,8,6514
燕,2,1628
諸,6,4885
路,4,3257
蛖,2,1628
筮,2,1628
墣,2,1628
扈,2,1628
：,6,4885
羊,8,6514
連,4,3257
肥,4,3257
披,2,1628
削,2,1628
獵,2,1628
狀,4,3257
用,22,17912
當,10,8142
鄰,2,1628
鍾,4,3257
掘,6,4885
進,4,3257
臭,4,3257
蔐,2,1628
德,8,6514
柔,2,1628
制,4,3257
斤,2,1628
蠬,2,1628
寅,2,1628
餘,2,1628
隼,2,1628
蛟,2,1628
鼠,12,9770
處,14,11399
狡,2,1628
避,2,1628
蟣,2,1628
光,6,4885
情,4,3257
纂,2,1628
慈,2,1628
熯,4,3257
修,6,4885
注,2,1628
度,8,6514
射,20,16284
枉,2,1628
信,6,4885
巫,2,1628
酤,6,4885
蔭,2,1628
群,2,1628
畜,2,1628
賊,10,8142
倚,2,1628
鷙,4,3257
叔,2,1628
像,2,1628
末,2,1628
驪,4,3257
士,4,3257
學,8,6514
炭,4,3257
湯,10,8142
庖,2,1628
舉,12,9770
弟,2,1628
項,2,1628
蹶,4,3257
比,4,3257
寸,4,3257
詹,4,3257
雄,2,1628
喻,4,3257
齊,2,1628
陽,8,6514
鉒,6,4885
江,10,8142
駁,2,1628
擯,4,3257
魯,4,3257
隧,2,1628
埵,2,1628
黂,2,1628
斷,4,3257
禽,2,1628
利,18,14656
數,8,6514
銜,2,1628
察,2,1628
分,2,1628
譏,2,1628
杭,2,1628
蠶,8,6514
蹠,6,4885
嬰,4,3257
倮,2,1628
荊,2,1628
惑,6,4885
悴,2,1628
疾,14,11399
匷,2,1628
豹,6,4885
相,40,32568
讓,2,1628
顱,2,1628
端,6,4885
牲,2,1628
潮,2,1628
榆,2,1628
浮,4,3257
羽,4,3257
被,10,8142
瑕,2,1628
堯,2,1628
助,2,1628
侮,2,1628
帝,4,3257
蔽,6,4885
一,88,71650
益,8,6514
痤,2,1628
唱,2,1628
橘,4,3257
平,6,4885
醜,8,6514
棘,2,1628
砥,2,1628
林,16,13027
濁,4,3257
價,2,1628
讒,4,3257
關,2,1628
練,2,1628
切,2,1628
礲,2,1628
雷,6,4885
尊,2,1628
弊,4,3257
貽,2,1628
沸,2,1628
轂,4,3257
？,12,9770
物,22,17912
千,30,24426
弩,2,1628
石,18,14656
瀆,2,1628
象,8,6514
鶴,2,1628
美,16,13027
疽,2,1628
金,18,14656
手,12,9770
傷,6,4885
詐,4,3257
慶,2,1628
木,30,24426
輻,12,9770
涔,4,3257
主,2,1628
狗,12,9770
己,2,1628
色,2,1628
紵,4,3257
觀,8,6514
羿,4,3257
見,60,48852
絮,4,3257
放,2,1628
舞,2,1628
餌,2,1628
聞,4,3257
臥,2,1628
蕪,2,1628
蟲,2,1628
景,4,3257
書,8,6514
梨,2,1628
偏,2,1628
蚊,2,1628
晉,6,4885
濡,2,1628
防,4,3257
視,14,11399
蚙,2,1628
礪,2,1628
遽,2,1628
閭,2,1628
雪,2,1628
但,2,1628
盡,8,6514
摩,2,1628
治,14,11399
解,12,9770
吊,2,1628
姓,2,1628
黼,2,1628
策,2,1628
天,18,14656
割,2,1628
呂,2,1628
破,2,1628
銷,2,1628
糗,2,1628
穀,4,3257
獻,4,3257
誘,2,1628
齧,2,1628
指,4,3257
塚,2,1628
電,4,3257
螚,2,1628
沉,2,1628
柱,2,1628
烏,6,4885
律,2,1628
為,132,107474
牙,4,3257
白,10,8142
葉,2,1628
謗,2,1628
纏,2,1628
教,2,1628
熊,2,1628
篙,4,3257
僦,2,1628
民,8,6514
魚,14,11399
從,12,9770
悖,4,3257
批,2,1628
動,6,4885
井,4,3257
通,6,4885
欺,4,3257
甲,6,4885
夏,10,8142
貌,10,8142
塞,14,11399
待,8,6514
鵻,2,1628
戰,2,1628
母,4,3257
掇,6,4885
蓑,2,1628
族,2,1628
外,10,8142
淄,2,1628
倉,4,3257
冰,4,3257
集,6,4885
直,12,9770
方,6,4885
救,12,9770
氏,4,3257
墮,4,3257
誕,4,3257
陶,4,3257
銅,2,1628
顧,6,4885
推,4,3257
棋,2,1628
目,20,16284
屬,4,3257
惡,4,3257
精,4,3257
殘,2,1628
玉,12,9770
惠,2,1628
裂,2,1628
縣,2,1628
爪,2,1628
尺,4,3257
栗,2,1628
戶,6,4885
隅,2,1628
昌,2,1628
壤,4,3257
鑊,2,1628
小,24,19541
老,6,4885
翣,2,1628
複,4,3257
綆,2,1628
疑,2,1628
囁,2,1628
糧,2,1628
傾,2,1628
盲,4,3257
難,16,13027
使,34,27683
膏,2,1628
饑,8,6514
禮,4,3257
溺,8,6514
哀,2,1628
歲,10,8142
變,4,3257
琢,2,1628
刃,4,3257
網,2,1628
虻,2,1628
粟,8,6514
后,2,1628
致,16,13027
