Character, Abs. Freq., Rel. Freq.
媚,2,1307
微,2,1307
敦,4,2615
勝,16,10459
度,6,3922
譴,4,2615
御,36,23532
聖,4,2615
修,2,1307
流,12,7844
畫,8,5229
方,22,14381
裝,2,1307
麗,2,1307
性,4,2615
門,28,18303
天,22,14381
似,2,1307
君,32,20918
圉,2,1307
博,8,5229
賂,10,6537
步,4,2615
上,98,64061
張,12,7844
盜,8,5229
逃,2,1307
督,10,6537
事,76,49680
私,6,3922
畏,8,5229
古,4,2615
倫,2,1307
純,2,1307
董,2,1307
非,14,9152
連,2,1307
北,18,11766
再,4,2615
江,14,9152
習,2,1307
處,10,6537
理,4,2615
擢,10,6537
殠,2,1307
吉,8,5229
青,4,2615
庭,4,2615
權,4,2615
縣,12,7844
察,4,2615
信,4,2615
師,26,16996
忍,4,2615
籍,4,2615
選,6,3922
賈,2,1307
猾,2,1307
我,10,6537
梟,2,1307
據,2,1307
急,6,3922
廷,26,16996
作,10,6537
小,8,5229
動,2,1307
位,38,24840
稍,6,3922
英,4,2615
賞,4,2615
浮,2,1307
罰,8,5229
華,4,2615
幽,2,1307
負,6,3922
守,34,22225
朽,2,1307
實,4,2615
晻,2,1307
并,2,1307
優,2,1307
買,2,1307
產,6,3922
除,4,2615
盎,4,2615
諸,22,14381
汝,8,5229
須,4,2615
書,44,28762
戎,2,1307
望,6,3922
指,6,3922
栗,2,1307
戰,4,2615
世,28,18303
夜,6,3922
祕,4,2615
館,4,2615
篇,2,1307
受,20,13074
兼,2,1307
紂,4,2615
幼,4,2615
勤,2,1307
侯,98,64061
涿,4,2615
洽,2,1307
首,6,3922
財,16,10459
髡,2,1307
顓,6,3922
愛,4,2615
；,12,7844
居,16,10459
曉,2,1307
單,14,9152
廟,8,5229
早,2,1307
騎,18,11766
赦,2,1307
煩,2,1307
巫,14,9152
屏,2,1307
霍,10,6537
禁,6,3922
州,4,2615
諂,2,1307
失,8,5229
同,14,9152
病,16,10459
挺,2,1307
但,2,1307
缶,2,1307
壹,2,1307
惠,2,1307
謁,10,6537
一,28,18303
致,2,1307
賢,16,10459
！,24,15688
玩,2,1307
追,2,1307
操,2,1307
典,2,1307
留,4,2615
命,4,2615
罪,32,20918
遺,12,7844
物,10,6537
烏,4,2615
難,6,3922
囊,2,1307
離,2,1307
妻,14,9152
體,2,1307
化,8,5229
關,2,1307
貪,4,2615
傅,4,2615
甚,14,9152
效,2,1307
僂,2,1307
耕,4,2615
刻,2,1307
襄,2,1307
並,6,3922
釋,2,1307
第,2,1307
赤,4,2615
貳,14,9152
緩,2,1307
靡,2,1307
騶,2,1307
敢,6,3922
置,8,5229
高,18,11766
元,16,10459
僕,16,10459
昧,2,1307
底,2,1307
吾,6,3922
淫,4,2615
歸,6,3922
夢,2,1307
陋,2,1307
酒,8,5229
昭,12,7844
敞,26,16996
涕,2,1307
市,6,3922
竭,2,1307
城,16,10459
軀,2,1307
廬,2,1307
神,4,2615
慮,2,1307
許,8,5229
輒,10,6537
婦,2,1307
詛,6,3922
傷,4,2615
鼓,2,1307
犢,2,1307
絜,2,1307
毀,4,2615
阿,2,1307
陳,10,6537
怒,8,5229
令,46,30069
印,4,2615
釱,2,1307
勉,2,1307
宣,24,15688
收,4,2615
稱,20,13074
奔,6,3922
生,14,9152
課,2,1307
名,6,3922
主,18,11766
暮,2,1307
量,2,1307
長,50,32684
禮,4,2615
勸,2,1307
朕,8,5229
『,26,16996
務,2,1307
解,6,3922
禹,4,2615
踰,4,2615
述,2,1307
飭,2,1307
待,4,2615
封,32,20918
從,24,15688
新,2,1307
智,2,1307
勿,2,1307
掘,2,1307
郡,40,26147
侍,10,6537
諡,8,5229
別,2,1307
交,2,1307
殿,10,6537
熱,2,1307
勳,2,1307
記,4,2615
賤,2,1307
音,4,2615
稚,2,1307
泣,4,2615
穢,4,2615
舞,2,1307
供,2,1307
訖,2,1307
益,12,7844
數,44,28762
歌,2,1307
衍,2,1307
善,16,10459
曲,4,2615
多,14,9152
云,6,3922
虞,2,1307
什,2,1307
輔,14,9152
苟,8,5229
被,8,5229
倚,2,1307
丘,10,6537
減,4,2615
白,6,3922
加,10,6537
拊,2,1307
敕,2,1307
春,12,7844
旅,2,1307
詩,6,3922
任,22,14381
尤,6,3922
輪,2,1307
伊,2,1307
炰,2,1307
竟,8,5229
著,6,3922
程,4,2615
祿,10,6537
辜,4,2615
好,12,7844
初,14,9152
魏,2,1307
老,4,2615
息,2,1307
備,6,3922
塞,2,1307
食,12,7844
無,38,24840
紅,2,1307
崩,6,3922
原,6,3922
賦,2,1307
寶,2,1307
免,16,10459
節,20,13074
欲,30,19610
默,2,1307
眉,2,1307
兆,4,2615
譖,4,2615
興,10,6537
姊,4,2615
燕,4,2615
床,2,1307
震,2,1307
穰,2,1307
折,2,1307
鉗,2,1307
領,6,3922
笑,2,1307
帝,62,40528
死,24,15688
景,4,2615
淮,2,1307
雲,10,6537
槐,2,1307
朝,22,14381
鼠,2,1307
家,28,18303
譏,6,3922
府,20,13074
寤,4,2615
脛,4,2615
革,2,1307
段,2,1307
轉,4,2615
索,2,1307
美,6,3922
杖,2,1307
睹,2,1307
總,4,2615
楊,4,2615
嗣,8,5229
今,24,15688
撓,2,1307
貌,6,3922
木,6,3922
埋,2,1307
大,112,73212
旄,2,1307
壯,2,1307
援,2,1307
西,14,9152
翟,6,3922
詐,4,2615
稻,2,1307
杜,6,3922
丞,94,61446
遠,4,2615
尉,20,13074
溫,2,1307
氏,10,6537
快,2,1307
公,54,35299
仁,12,7844
訾,2,1307
止,10,6537
閉,8,5229
錢,6,3922
概,2,1307
戶,8,5229
爛,2,1307
郎,36,23532
舂,2,1307
謝,8,5229
侵,2,1307
漏,2,1307
舒,2,1307
撟,4,2615
》,2,1307
褒,2,1307
宰,12,7844
魚,2,1307
介,2,1307
懣,2,1307
偏,2,1307
酎,2,1307
覆,4,2615
章,8,5229
爵,6,3922
京,10,6537
敬,18,11766
清,2,1307
分,12,7844
終,12,7844
爭,2,1307
政,14,9152
賴,2,1307
深,4,2615
觸,4,2615
橋,2,1307
蠱,12,7844
暴,4,2615
掖,4,2615
泰,2,1307
秋,40,26147
櫓,2,1307
雨,2,1307
伐,8,5229
桑,8,5229
惟,4,2615
豈,4,2615
血,2,1307
達,2,1307
椒,2,1307
拜,16,10459
茂,2,1307
當,38,24840
蘭,2,1307
卿,38,24840
擊,6,3922
隙,2,1307
惡,10,6537
詰,2,1307
結,2,1307
威,6,3922
扶,12,7844
計,2,1307
比,4,2615
射,2,1307
召,14,9152
喜,2,1307
貴,4,2615
獨,6,3922
悖,2,1307
休,2,1307
侈,2,1307
祝,6,3922
窌,2,1307
避,2,1307
俠,2,1307
閣,2,1307
斷,2,1307
正,14,9152
每,4,2615
唐,4,2615
求,14,9152
願,8,5229
「,92,60139
騁,2,1307
歲,28,18303
聽,10,6537
臥,2,1307
抗,2,1307
皇,10,6537
更,8,5229
養,4,2615
種,2,1307
萁,2,1307
舊,6,3922
蓋,4,2615
各,6,3922
力,18,11766
俊,4,2615
肖,2,1307
穀,2,1307
亂,12,7844
屯,2,1307
樂,30,19610
聞,42,27455
和,6,3922
志,6,3922
杵,2,1307
夾,2,1307
士,20,13074
薛,2,1307
抑,2,1307
讀,2,1307
魯,2,1307
筦,2,1307
制,10,6537
通,22,14381
兄,6,3922
房,6,3922
竊,8,5229
斗,4,2615
誹,2,1307
薦,10,6537
視,6,3922
社,2,1307
率,2,1307
屬,14,9152
將,66,43143
隸,6,3922
觀,6,3922
宦,2,1307
漢,12,7844
本,8,5229
對,4,2615
尹,4,2615
泄,4,2615
問,20,13074
黨,2,1307
陵,10,6537
用,26,16996
疏,2,1307
氣,2,1307
容,8,5229
隆,4,2615
附,2,1307
業,8,5229
臺,2,1307
立,20,13074
軍,74,48372
參,2,1307
疾,12,7844
吏,32,20918
括,2,1307
獄,18,11766
身,14,9152
絞,2,1307
郭,2,1307
奮,4,2615
還,8,5229
曹,4,2615
鹽,8,5229
憐,2,1307
豪,6,3922
禍,8,5229
日,18,11766
翁,2,1307
渠,2,1307
忠,12,7844
略,10,6537
沛,2,1307
曩,2,1307
字,12,7844
恩,6,3922
弘,16,10459
儒,4,2615
沮,2,1307
匈,12,7844
內,18,11766
輯,2,1307
奢,6,3922
旃,2,1307
託,2,1307
忘,6,3922
浸,2,1307
鹵,2,1307
畜,2,1307
年,66,43143
旦,2,1307
后,6,3922
活,2,1307
牛,2,1307
條,4,2615
攝,2,1307
決,6,3922
犯,4,2615
褎,2,1307
滯,2,1307
泉,12,7844
屈,14,9152
聲,14,9152
窮,2,1307
陽,20,13074
姓,8,5229
濯,2,1307
累,2,1307
掠,2,1307
柰,2,1307
刀,2,1307
功,22,14381
斬,20,13074
貨,6,3922
渭,2,1307
弄,2,1307
建,10,6537
盾,2,1307
玉,2,1307
邪,6,3922
徵,14,9152
富,14,9152
箱,2,1307
金,8,5229
愚,6,3922
順,2,1307
坐,24,15688
盛,4,2615
馮,6,3922
頗,10,6537
徙,6,3922
剛,2,1307
合,10,6537
嘗,10,6537
經,6,3922
利,20,13074
宅,2,1307
農,10,6537
賀,34,22225
素,8,5229
進,18,11766
恨,6,3922
竹,2,1307
極,2,1307
貧,2,1307
汙,2,1307
臼,2,1307
殆,2,1307
央,4,2615
宿,6,3922
羔,2,1307
廉,8,5229
平,28,18303
草,2,1307
民,10,6537
斂,2,1307
為,210,137273
遽,2,1307
厥,2,1307
秦,6,3922
濟,2,1307
發,34,22225
情,2,1307
趙,4,2615
千,60,39221
具,2,1307
酷,4,2615
沒,4,2615
懷,6,3922
列,8,5229
劇,2,1307
都,4,2615
餐,2,1307
甘,10,6537
繡,2,1307
仕,2,1307
沐,6,3922
卬,2,1307
綬,4,2615
劉,6,3922
知,26,16996
因,10,6537
寒,2,1307
斤,2,1307
來,8,5229
官,38,24840
術,4,2615
贊,4,2615
空,2,1307
懼,6,3922
資,2,1307
廣,12,7844
弟,18,11766
法,24,15688
補,6,3922
恐,14,9152
冒,2,1307
亡,10,6537
猶,4,2615
韓,10,6537
詔,26,16996
謗,2,1307
孔,4,2615
感,4,2615
變,12,7844
近,12,7844
里,4,2615
吳,2,1307
孺,2,1307
等,14,9152
：,96,62753
汗,2,1307
滿,2,1307
退,4,2615
祠,6,3922
史,58,37913
辱,4,2615
跡,2,1307
羊,10,6537
王,34,22225
田,20,13074
誤,2,1307
鄭,2,1307
半,2,1307
貉,2,1307
穴,2,1307
寬,8,5229
報,8,5229
外,10,6537
叩,2,1307
海,2,1307
朱,14,9152
恥,2,1307
磾,2,1307
陪,2,1307
貰,4,2615
戾,4,2615
灌,2,1307
前,14,9152
筲,2,1307
」,90,58831
復,24,15688
慶,4,2615
策,4,2615
右,14,9152
厲,2,1307
違,2,1307
秺,4,2615
街,2,1307
仰,4,2615
載,2,1307
脩,2,1307
辦,2,1307
母,6,3922
良,12,7844
地,6,3922
妄,8,5229
戮,2,1307
徒,8,5229
積,2,1307
邊,8,5229
咸,50,32684
驕,4,2615
璽,2,1307
亨,2,1307
引,10,6537
胡,4,2615
絕,8,5229
鉤,6,3922
湖,2,1307
憤,2,1307
文,20,13074
易,2,1307
玄,6,3922
異,4,2615
宜,10,6537
行,44,28762
廢,16,10459
律,4,2615
言,68,44450
腐,2,1307
游,4,2615
韋,4,2615
笞,4,2615
尚,4,2615
橫,2,1307
移,10,6537
質,4,2615
請,16,10459
苦,4,2615
媿,2,1307
嘉,4,2615
陰,10,6537
義,24,15688
材,10,6537
償,2,1307
充,16,10459
土,4,2615
遭,4,2615
辭,8,5229
臧,2,1307
彊,4,2615
代,16,10459
殘,4,2615
翊,6,3922
棄,2,1307
光,38,24840
端,2,1307
怨,8,5229
心,10,6537
堯,2,1307
成,22,14381
伏,10,6537
姦,6,3922
久,14,9152
東,10,6537
祖,6,3922
副,2,1307
履,2,1307
姻,2,1307
幸,14,9152
逆,12,7844
起,22,14381
背,2,1307
念,2,1307
辯,2,1307
？,30,19610
忤,2,1307
鉅,2,1307
重,10,6537
尊,6,3922
乘,10,6537
顯,16,10459
堅,2,1307
莽,10,6537
要,8,5229
學,14,9152
管,2,1307
俱,4,2615
施,6,3922
隕,2,1307
窶,2,1307
精,2,1307
意,20,13074
會,20,13074
父,14,9152
盡,16,10459
面,2,1307
舜,2,1307
溝,2,1307
蔡,6,3922
頭,6,3922
駐,2,1307
囚,4,2615
逮,4,2615
』,26,16996
他,4,2615
惲,92,60139
篡,2,1307
議,22,14381
逢,2,1307
詳,2,1307
秏,2,1307
降,4,2615
頃,6,3922
石,32,20918
蟲,2,1307
均,2,1307
惶,4,2615
責,12,7844
道,32,20918
贖,4,2615
及,44,28762
接,2,1307
庶,10,6537
群,6,3922
斧,2,1307
禱,2,1307
馳,4,2615
谷,4,2615
德,14,9152
黃,6,3922
輕,4,2615
授,2,1307
齊,2,1307
儉,2,1307
寑,2,1307
鴻,6,3922
衰,2,1307
論,8,5229
說,10,6537
親,18,11766
殺,20,13074
八,12,7844
孫,10,6537
號,2,1307
覺,2,1307
憚,2,1307
悲,2,1307
李,8,5229
調,2,1307
監,4,2615
己,2,1307
增,6,3922
共,8,5229
掾,4,2615
鄙,6,3922
河,10,6537
周,8,5229
俗,4,2615
謀,16,10459
諾,4,2615
入,24,15688
毒,2,1307
部,6,3922
佐,4,2615
告,18,11766
戴,2,1307
餘,32,20918
人,112,73212
直,14,9152
滅,8,5229
驗,10,6537
康,2,1307
勇,2,1307
壽,14,9152
頌,2,1307
昆,6,3922
女,10,6537
干,2,1307
澎,4,2615
諫,8,5229
弋,2,1307
尺,2,1307
斯,2,1307
教,22,14381
嫗,2,1307
室,2,1307
獲,10,6537
俛,2,1307
閱,2,1307
持,12,7844
糴,2,1307
全,6,3922
婚,2,1307
祥,2,1307
捕,14,9152
司,30,19610
瑟,2,1307
短,6,3922
蕪,2,1307
繹,2,1307
楚,4,2615
壤,2,1307
薄,2,1307
相,130,84978
商,4,2615
牙,2,1307
疑,4,2615
闔,2,1307
就,6,3922
縱,4,2615
貸,2,1307
庫,2,1307
風,18,11766
咎,4,2615
勞,4,2615
見,30,19610
傾,2,1307
桀,8,5229
暑,2,1307
旬,2,1307
邑,14,9152
販,2,1307
鳳,4,2615
螫,2,1307
目,2,1307
賓,8,5229
顧,2,1307
翕,2,1307
罷,4,2615
蓝,2,1307
奉,10,6537
僚,2,1307
明,34,22225
荒,2,1307
譚,8,5229
太,88,57524
馬,14,9152
銜,2,1307
真,4,2615
臨,4,2615
月,10,6537
肯,6,3922
睡,4,2615
丙,2,1307
叔,2,1307
延,28,18303
鞫,2,1307
漂,2,1307
百,22,14381
脫,4,2615
推,4,2615
時,60,39221
靈,2,1307
卒,6,3922
臣,36,23532
送,4,2615
園,4,2615
害,4,2615
談,2,1307
軸,2,1307
南,18,11766
鞍,2,1307
觴,2,1307
省,6,3922
類,2,1307
友,2,1307
奴,14,9152
薨,10,6537
擾,2,1307
悔,2,1307
娛,2,1307
自,66,43143
