Character, Abs. Freq., Rel. Freq.
究,1,781
主,2,1563
燕,1,781
高,6,4688
撓,2,1563
『,9,7032
械,3,2344
曷,1,781
弩,1,781
銖,1,781
通,5,3907
酋,2,1563
從,32,25004
羞,1,781
俗,2,1563
禮,8,6251
授,5,3907
快,1,781
應,4,3125
輩,3,2344
京,1,781
玉,1,781
予,1,781
攜,1,781
險,1,781
朱,1,781
送,14,10939
累,7,5470
地,31,24223
撣,3,2344
財,4,3125
徑,3,2344
對,2,1563
棘,2,1563
旦,1,781
縠,1,781
秩,10,7814
引,6,4688
奧,2,1563
票,1,781
大,52,40631
稚,1,781
掖,4,3125
己,4,3125
貧,1,781
要,2,1563
馬,21,16409
言,33,25785
亂,11,8595
傳,8,6251
冤,1,781
警,2,1563
還,23,17972
費,10,7814
偏,1,781
鞮,11,8595
待,5,3907
離,4,3125
策,14,10939
克,3,2344
竊,4,3125
役,4,3125
科,1,781
煌,1,781
商,2,1563
母,3,2344
戈,1,781
休,3,2344
颯,5,3907
調,2,1563
開,4,3125
冀,1,781
回,1,781
舍,2,1563
尤,6,4688
叩,1,781
射,2,1563
閏,2,1563
柴,1,781
分,5,3907
躬,1,781
丁,5,3907
便,4,3125
鞍,2,1563
輿,7,5470
甌,1,781
脅,4,3125
暴,4,3125
瞀,2,1563
巡,1,781
壁,1,781
襲,8,6251
紿,1,781
緣,2,1563
賴,2,1563
菑,1,781
威,22,17190
施,2,1563
函,2,1563
敬,4,3125
支,30,23441
狀,12,9376
寇,21,16409
江,1,781
土,3,2344
門,5,3907
伸,1,781
樂,7,5470
苑,2,1563
辟,1,781
構,1,781
蠡,8,6251
鴻,2,1563
酒,1,781
殆,1,781
盜,8,6251
副,6,4688
聽,5,3907
剝,1,781
練,1,781
蔽,1,781
稱,15,11721
錯,1,781
曲,4,3125
彌,1,781
印,26,20316
賂,9,7032
雲,5,3907
屬,7,5470
獫,1,781
宜,10,7814
愚,3,2344
秉,1,781
演,3,2344
更,11,8595
哀,4,3125
猶,8,6251
意,5,3907
掃,1,781
義,8,6251
生,11,8595
明,22,17190
思,4,3125
赤,1,781
朕,2,1563
堆,1,781
譬,2,1563
詔,19,14846
質,8,6251
林,4,3125
讎,1,781
罰,1,781
即,17,13283
蚊,1,781
往,13,10158
氣,2,1563
羽,2,1563
伐,8,6251
張,4,3125
弊,2,1563
藉,8,6251
懼,2,1563
旗,1,781
萌,2,1563
狼,2,1563
拜,9,7032
膺,1,781
結,5,3907
填,1,781
震,4,3125
列,3,2344
黃,9,7032
繼,1,781
盧,6,4688
死,22,17190
約,17,13283
首,3,2344
忽,1,781
好,1,781
敗,8,6251
掠,3,2344
及,16,12502
涇,1,781
賓,1,781
詐,4,3125
士,16,12502
疏,3,2344
谿,1,781
極,1,781
橫,1,781
牚,1,781
新,10,7814
南,15,11721
儀,2,1563
望,7,5470
聖,4,3125
遁,2,1563
弘,1,781
渠,9,7032
邸,1,781
來,25,19534
為,125,97672
弟,17,13283
輒,7,5470
聞,27,21097
攘,1,781
舉,3,2344
食,11,8595
厚,15,11721
遇,2,1563
政,3,2344
銜,1,781
反,6,4688
隧,4,3125
莽,30,23441
勿,8,6251
斷,1,781
手,1,781
霸,1,781
動,5,3907
讓,3,2344
祥,2,1563
稅,4,3125
侍,21,16409
驗,1,781
仁,1,781
廟,1,781
贖,3,2344
續,1,781
並,2,1563
諫,2,1563
夷,14,10939
；,12,9376
難,16,12502
方,13,10158
勸,3,2344
繇,1,781
左,39,30474
消,1,781
倍,1,781
力,15,11721
韓,58,45320
宮,4,3125
河,7,5470
書,23,17972
耳,5,3907
習,3,2344
厲,5,3907
泉,3,2344
顏,1,781
斯,12,9376
語,9,7032
寧,8,6251
聲,1,781
中,50,39069
衣,6,4688
官,3,2344
患,1,781
勒,3,2344
沙,3,2344
兒,1,781
當,38,29692
吠,1,781
恥,1,781
譯,3,2344
勁,1,781
畿,1,781
布,6,4688
妾,1,781
公,9,7032
輜,2,1563
嗕,1,781
霍,2,1563
壘,1,781
橋,2,1563
增,2,1563
輸,2,1563
集,1,781
盡,7,5470
俱,5,3907
殫,1,781
鼓,1,781
逋,1,781
株,4,3125
執,1,781
量,2,1563
袤,1,781
堅,6,4688
築,4,3125
七,9,7032
口,2,1563
心,14,10939
駼,3,2344
解,6,4688
初,12,9376
原,4,3125
留,26,20316
水,7,5470
竿,1,781
敢,7,5470
祿,3,2344
果,2,1563
皇,7,5470
巖,1,781
就,5,3907
許,5,3907
同,5,3907
器,1,781
甚,16,12502
牙,12,9376
享,1,781
刀,4,3125
察,2,1563
慕,5,3907
箭,1,781
弱,4,3125
李,1,781
諧,6,4688
無,27,21097
胥,5,3907
驁,1,781
犬,1,781
八,8,6251
帶,7,5470
椎,2,1563
遵,4,3125
帥,1,781
昭,7,5470
昆,8,6251
盭,1,781
長,34,26567
茲,1,781
獵,2,1563
奔,1,781
頗,4,3125
錦,5,3907
貴,10,7814
徙,1,781
尋,1,781
依,1,781
木,5,3907
靡,1,781
賤,3,2344
閭,1,781
羌,1,781
云,13,10158
疑,4,3125
裁,2,1563
干,1,781
樓,2,1563
追,2,1563
雕,4,3125
醯,2,1563
侯,35,27348
歙,9,7032
兄,14,10939
軍,21,16409
馮,1,781
適,1,781
專,1,781
賢,23,17972
諾,2,1563
揭,7,5470
惟,1,781
囿,1,781
屠,23,17972
活,1,781
王,105,82044
省,4,3125
略,11,8595
州,1,781
誅,10,7814
服,14,10939
季,2,1563
坐,1,781
內,15,11721
父,7,5470
珠,7,5470
搆,1,781
幼,1,781
用,8,6251
朔,6,4688
覺,1,781
』,9,7032
班,2,1563
卜,5,3907
薄,2,1563
曉,4,3125
滅,1,781
舊,3,2344
發,21,16409
欽,4,3125
風,4,3125
冑,1,781
驕,3,2344
近,5,3907
沮,1,781
狂,1,781
觀,1,781
籌,1,781
務,1,781
延,4,3125
夏,6,4688
塗,1,781
條,5,3907
名,11,8595
法,3,2344
洽,1,781
虎,4,3125
視,4,3125
「,59,46101
雄,2,1563
謢,1,781
騷,2,1563
庶,3,2344
武,12,9376
流,1,781
庫,3,2344
谧,1,781
小,8,6251
光,3,2344
展,2,1563
市,2,1563
令,25,19534
衛,5,3907
經,2,1563
凶,1,781
喟,1,781
雞,1,781
世,30,23441
論,5,3907
背,4,3125
禁,2,1563
緩,1,781
露,3,2344
夾,1,781
說,10,7814
墨,1,781
違,1,781
界,3,2344
斥,1,781
浮,1,781
虻,1,781
等,19,14846
忠,3,2344
遏,1,781
車,36,28129
劉,2,1563
衽,1,781
容,3,2344
爭,4,3125
茂,1,781
烽,1,781
益,6,4688
都,41,32036
秋,5,3907
蕩,1,781
游,2,1563
上,52,40631
府,3,2344
講,1,781
夕,4,3125
頭,5,3907
棄,3,2344
哭,1,781
正,5,3907
恨,5,3907
草,4,3125
散,1,781
虛,4,3125
谷,14,10939
償,1,781
焚,1,781
縱,2,1563
輕,4,3125
皋,6,4688
賈,2,1563
俯,1,781
護,16,12502
興,7,5470
誠,4,3125
會,10,7814
微,2,1563
幾,4,3125
畏,1,781
孫,23,17972
別,2,1563
搜,5,3907
道,13,10158
辯,1,781
饑,1,781
斛,4,3125
并,8,6251
鏽,1,781
行,15,11721
宛,1,781
愛,6,4688
各,5,3907
隆,4,3125
禪,1,781
走,6,4688
亟,1,781
竄,1,781
昌,13,10158
句,1,781
笑,1,781
