Character, Abs. Freq., Rel. Freq.
烏,2,942
侍,10,4709
共,12,5651
補,4,1884
沐,2,942
斧,2,942
魯,4,1884
貢,6,2826
玄,8,3768
尺,2,942
候,4,1884
月,26,12245
贛,2,942
無,88,41443
卦,4,1884
晉,2,942
亭,8,3768
八,8,3768
妻,12,5651
稱,36,16954
謙,6,2826
詆,2,942
逮,2,942
防,4,1884
盤,2,942
愆,4,1884
艾,4,1884
竟,2,942
陵,24,11303
庶,16,7535
弘,6,2826
良,8,3768
稿,2,942
羽,2,942
請,6,2826
使,26,12245
反,4,1884
《,14,6593
掾,2,942
曹,16,7535
神,16,7535
循,2,942
難,12,5651
開,4,1884
爾,2,942
隨,8,3768
佐,2,942
益,14,6593
靡,6,2826
入,18,8477
蚤,2,942
報,6,2826
窈,2,942
號,12,5651
！,14,6593
保,14,6593
治,32,15070
狀,2,942
奏,34,16012
史,38,17896
惑,6,2826
弔,4,1884
道,70,32966
愈,4,1884
崇,22,10361
維,2,942
央,2,942
便,4,1884
根,16,7535
衰,10,4709
肱,4,1884
姦,14,6593
逆,8,3768
損,4,1884
災,10,4709
設,4,1884
器,6,2826
麗,2,942
金,14,6593
儀,16,7535
懼,18,8477
致,12,5651
偽,6,2826
語,30,14128
劯,2,942
羞,2,942
訖,2,942
猗,2,942
但,2,942
理,16,7535
暴,12,5651
陽,32,15070
還,8,3768
美,4,1884
魚,2,942
脅,2,942
云,16,7535
孤,2,942
簿,8,3768
俱,2,942
卬,2,942
交,2,942
祠,2,942
委,6,2826
全,4,1884
盜,10,4709
敢,12,5651
宗,8,3768
兵,2,942
殷,10,4709
病,12,5651
：,90,42385
商,4,1884
壯,2,942
重,22,10361
稚,2,942
轀,2,942
穀,2,942
骸,16,7535
友,2,942
鉞,2,942
一,20,9419
輒,10,4709
虎,2,942
連,8,3768
土,6,2826
歸,34,16012
指,16,7535
傾,6,2826
京,4,1884
周,12,5651
公,34,16012
性,24,11303
秉,6,2826
山,20,9419
賜,54,25431
密,4,1884
色,10,4709
寢,4,1884
垂,2,942
畢,4,1884
技,2,942
藉,2,942
膠,2,942
惟,14,6593
行,46,21663
勤,6,2826
兩,4,1884
貳,2,942
鮮,2,942
怵,2,942
輔,28,13186
冢,2,942
侈,4,1884
孫,8,3768
城,2,942
惡,14,6593
諫,8,3768
附,6,2826
兒,6,2826
氏,16,7535
異,40,18838
雨,2,942
再,6,2826
弱,2,942
雷,2,942
蓍,4,1884
懷,2,942
觀,16,7535
諶,2,942
歷,6,2826
誤,6,2826
冤,2,942
付,4,1884
貴,20,9419
祕,4,1884
嫁,6,2826
當,30,14128
墳,2,942
平,48,22605
車,12,5651
涉,2,942
譚,4,1884
汝,2,942
總,6,2826
進,32,15070
應,24,11303
雍,2,942
漢,4,1884
浩,2,942
小,12,5651
獄,8,3768
耳,2,942
書,82,38617
遷,30,14128
駕,4,1884
受,6,2826
柔,2,942
猛,2,942
蔽,8,3768
修,18,8477
鬥,2,942
祀,12,5651
科,6,2826
刑,6,2826
貨,2,942
黜,2,942
純,6,2826
宴,4,1884
壞,2,942
楚,2,942
飲,2,942
悖,2,942
襄,4,1884
善,18,8477
挾,2,942
勢,8,3768
少,24,11303
睦,2,942
放,12,5651
世,16,7535
布,4,1884
隙,4,1884
言,72,33908
伯,4,1884
飽,2,942
妄,4,1884
歲,20,9419
新,12,5651
舒,2,942
驃,2,942
母,20,9419
賞,6,2826
式,2,942
揚,10,4709
餘,20,9419
僚,4,1884
歙,2,942
彭,2,942
鼎,4,1884
翕,2,942
后,70,32966
禮,44,20721
按,2,942
渭,4,1884
約,4,1884
養,12,5651
更,24,11303
閩,6,2826
留,6,2826
敬,28,13186
巫,2,942
鏗,2,942
乏,2,942
肆,2,942
伏,4,1884
避,10,4709
娛,2,942
卑,10,4709
優,6,2826
臣,74,34850
樂,28,13186
棄,8,3768
危,2,942
閔,6,2826
聽,8,3768
導,2,942
原,14,6593
德,64,30140
廢,4,1884
窮,4,1884
義,46,21663
欣,4,1884
溉,2,942
斂,4,1884
御,22,10361
疏,18,8477
諸,44,20721
寵,6,2826
鳳,8,3768
旬,2,942
犯,12,5651
終,10,4709
尊,38,17896
止,10,4709
間,6,2826
和,18,8477
直,10,4709
婚,8,3768
夏,6,2826
序,6,2826
頤,2,942
學,40,18838
塞,4,1884
短,4,1884
饗,6,2826
虹,2,942
林,2,942
遺,4,1884
均,2,942
鬼,6,2826
棐,2,942
草,6,2826
恐,14,6593
耇,2,942
馬,22,10361
禳,2,942
女,8,3768
圖,6,2826
武,20,9419
克,6,2826
務,14,6593
賤,2,942
齒,2,942
刻,4,1884
遇,2,942
追,6,2826
千,20,9419
幾,4,1884
鮒,6,2826
；,42,19780
失,20,9419
詔,36,16954
背,2,942
淮,6,2826
