Character, Abs. Freq., Rel. Freq.
云,2,1243
條,2,1243
龜,2,1243
召,6,3730
悼,6,3730
章,2,1243
受,28,17406
動,4,2487
貶,4,2487
責,6,3730
敬,2,1243
守,10,6217
妾,2,1243
茅,2,1243
烏,2,1243
夕,2,1243
廷,4,2487
歸,6,3730
用,32,19893
漢,36,22380
陸,2,1243
髕,2,1243
聲,8,4973
祖,10,6217
梁,8,4973
雄,6,3730
禍,8,4973
求,6,3730
行,36,22380
牢,2,1243
靡,2,1243
敗,8,4973
眥,2,1243
平,10,6217
譏,2,1243
具,8,4973
慎,2,1243
為,144,89519
》,2,1243
內,4,2487
摩,2,1243
孽,2,1243
暴,4,2487
免,2,1243
康,2,1243
餘,12,7460
孔,22,13676
泰,4,2487
法,30,18650
羅,4,2487
奴,4,2487
猛,2,1243
歲,14,8703
梧,2,1243
陰,14,8703
一,68,42273
朱,2,1243
堂,6,3730
前,8,4973
世,108,67139
郎,2,1243
東,2,1243
應,2,1243
贖,2,1243
救,6,3730
述,14,8703
飯,2,1243
射,2,1243
物,18,11190
即,2,1243
君,50,31083
惟,6,3730
繼,10,6217
訖,4,2487
別,12,7460
功,24,14920
奔,4,2487
羽,2,1243
斬,2,1243
韓,16,9947
關,6,3730
益,8,4973
湘,2,1243
推,8,4973
祗,2,1243
獨,6,3730
父,26,16163
：,46,28596
運,2,1243
直,6,3730
俠,4,2487
素,8,4973
鉗,2,1243
葬,4,2487
《,2,1243
曆,8,4973
聚,2,1243
修,4,2487
存,2,1243
白,8,4973
間,20,12433
交,6,3730
議,8,4973
魏,12,7460
儻,4,2487
忍,2,1243
社,2,1243
吳,6,3730
命,10,6217
愚,2,1243
地,16,9947
心,12,7460
討,2,1243
步,2,1243
復,16,9947
儋,2,1243
哲,2,1243
欒,2,1243
賈,6,3730
阱,2,1243
王,60,37300
息,2,1243
石,8,4973
纍,2,1243
主,36,22380
鼓,2,1243
結,4,2487
齊,10,6217
卒,24,14920
厚,4,2487
遇,4,2487
里,8,4973
弄,2,1243
讓,2,1243
鬥,2,1243
肖,6,3730
黑,2,1243
墨,12,7460
褒,2,1243
陳,18,11190
橫,2,1243
賓,2,1243
特,2,1243
郵,2,1243
征,2,1243
董,2,1243
蘄,6,3730
喜,6,3730
億,2,1243
徒,2,1243
馮,2,1243
穰,4,2487
削,2,1243
樂,18,11190
土,8,4973
宜,8,4973
罔,6,3730
愛,2,1243
賤,10,6217
竊,6,3730
千,16,9947
榜,2,1243
招,2,1243
盆,2,1243
閩,2,1243
政,2,1243
乏,2,1243
伯,18,11190
重,18,11190
階,2,1243
日,20,12433
汙,2,1243
室,16,9947
巖,4,2487
緒,2,1243
民,6,3730
殖,4,2487
放,8,4973
稱,8,4973
聞,24,14920
死,40,24866
刃,2,1243
提,2,1243
徵,2,1243
省,4,2487
微,2,1243
塵,2,1243
衰,8,4973
田,8,4973
鄒,2,1243
臨,2,1243
習,2,1243
相,34,21136
喪,2,1243
良,4,2487
葛,2,1243
近,8,4973
胥,2,1243
管,4,2487
釋,4,2487
朔,4,2487
泣,4,2487
趣,2,1243
魂,2,1243
刑,20,12433
曷,4,2487
錯,10,6217
體,6,3730
形,24,14920
都,6,3730
仲,6,3730
靳,2,1243
禹,2,1243
背,2,1243
往,8,4973
虧,6,3730
邛,2,1243
輦,2,1243
倫,4,2487
廢,16,9947
歷,2,1243
霑,2,1243
陵,22,13676
聽,6,3730
陪,2,1243
接,10,6217
厥,2,1243
椽,2,1243
察,10,6217
貴,6,3730
怡,2,1243
埃,2,1243
師,10,6217
蒙,4,2487
睢,2,1243
母,4,2487
會,10,6217
服,6,3730
婢,2,1243
公,50,31083
否,4,2487
遊,6,3730
引,12,7460
送,2,1243
震,4,2487
處,8,4973
華,4,2487
仰,2,1243
悉,4,2487
夏,12,7460
自,64,39786
恬,2,1243
埽,2,1243
定,12,7460
巴,2,1243
薛,2,1243
目,4,2487
甫,2,1243
士,36,22380
狂,2,1243
壞,2,1243
斲,2,1243
控,2,1243
畫,2,1243
頗,6,3730
』,12,7460
藿,2,1243
蒯,4,2487
武,12,7460
貧,4,2487
豎,2,1243
祿,2,1243
營,2,1243
當,20,12433
光,4,2487
惠,8,4973
戲,6,3730
北,6,3730
繆,4,2487
觀,14,8703
戎,2,1243
愬,2,1243
苴,2,1243
治,8,4973
闒,2,1243
堯,6,3730
知,28,17406
踰,2,1243
后,4,2487
徇,4,2487
恥,8,4973
蒼,2,1243
虛,6,3730
彬,4,2487
陷,6,3730
倡,2,1243
玄,2,1243
殷,6,3730
雍,4,2487
州,2,1243
說,6,3730
己,6,3730
市,2,1243
還,4,2487
獵,2,1243
嫌,2,1243
篡,2,1243
囚,4,2487
載,14,8703
紀,32,19893
汝,2,1243
駑,2,1243
亂,4,2487
牙,2,1243
榮,2,1243
藝,4,2487
樹,2,1243
閨,2,1243
敵,2,1243
血,2,1243
彫,2,1243
媒,2,1243
傷,10,6217
學,10,6217
崇,2,1243
絳,4,2487
孫,20,12433
版,2,1243
夜,2,1243
各,6,3730
志,2,1243
幼,4,2487
巧,2,1243
賦,2,1243
越,12,7460
慮,6,3730
斯,18,11190
彭,6,3730
卜,2,1243
漸,4,2487
劍,2,1243
虎,4,2487
遂,14,8703
輔,2,1243
演,2,1243
稍,6,3730
陋,4,2487
老,6,3730
恨,4,2487
俟,2,1243
藜,2,1243
攘,2,1243
牖,2,1243
誣,2,1243
李,20,12433
搖,2,1243
寡,4,2487
紬,2,1243
懼,4,2487
困,2,1243
徙,2,1243
廁,2,1243
佞,2,1243
輕,6,3730
謗,2,1243
游,6,3730
本,46,28596
汲,2,1243
惑,2,1243
鴻,2,1243
群,4,2487
際,10,6217
財,8,4973
草,4,2487
官,22,13676
敘,4,2487
慨,2,1243
怖,2,1243
原,8,4973
散,8,4973
焚,2,1243
久,4,2487
鄙,2,1243
厄,2,1243
發,12,7460
項,2,1243
杞,2,1243
身,26,16163
舜,4,2487
叔,10,6217
醜,2,1243
趨,2,1243
貳,2,1243
弓,2,1243
氂,2,1243
茂,2,1243
寒,2,1243
累,8,4973
尤,2,1243
同,8,4973
順,10,6217
報,10,6217
罷,2,1243
茲,2,1243
離,6,3730
大,80,49733
雅,4,2487
撥,4,2487
國,34,21136
貨,4,2487
清,2,1243
探,2,1243
序,14,8703
溺,2,1243
拔,2,1243
傅,2,1243
覽,2,1243
筰,2,1243
列,154,95735
毋,8,4973
創,2,1243
退,6,3730
律,6,3730
阬,2,1243
殊,6,3730
忽,4,2487
忼,2,1243
史,52,32326
僕,62,38543
止,2,1243
誦,4,2487
寵,4,2487
贊,2,1243
施,8,4973
差,4,2487
楊,4,2487
旗,2,1243
犯,2,1243
懇,4,2487
帝,14,8703
樊,2,1243
答,2,1243
害,2,1243
流,14,8703
牡,2,1243
肱,2,1243
盃,2,1243
解,2,1243
度,6,3730
殆,2,1243
襄,2,1243
鞭,2,1243
智,6,3730
欽,2,1243
扁,2,1243
家,106,65896
挑,2,1243
腳,2,1243
慍,2,1243
惡,12,7460
高,8,4973
虜,2,1243
寸,2,1243
春,52,32326
赴,2,1243
廉,4,2487
科,2,1243
少,28,17406
罪,16,9947
窮,8,4973
點,2,1243
