Character, Abs. Freq., Rel. Freq.
孫,6,7103
園,1,1184
琅,1,1184
幸,8,9471
嗣,1,1184
耰,1,1184
北,7,8287
國,34,40251
安,32,37883
越,47,55641
議,5,5919
依,2,2368
馬,8,9471
弘,11,13022
開,3,3552
上,68,80502
聚,4,4735
晚,2,2368
什,1,1184
調,1,1184
農,2,2368
原,3,3552
羞,2,2368
白,3,3552
薄,6,7103
完,1,1184
元,6,7103
離,1,1184
西,2,2368
中,45,53273
喜,1,1184
煩,3,3552
漏,1,1184
挾,5,5919
眇,2,2368
恬,2,2368
邊,12,14206
謁,2,2368
陛,32,37883
理,4,4735
鉏,1,1184
金,7,8287
武,6,7103
《,3,3552
令,11,13022
靡,5,5919
戾,1,1184
尤,1,1184
束,1,1184
姓,5,5919
鄰,1,1184
愚,8,9471
奏,5,5919
殺,12,14206
擢,1,1184
癉,1,1184
甘,2,2368
東,15,17758
賦,2,2368
害,6,7103
乏,5,5919
親,8,9471
隱,1,1184
愴,1,1184
度,3,3552
郎,4,4735
臧,1,1184
京,2,2368
異,3,3552
滅,4,4735
率,2,2368
后,2,2368
處,8,9471
漕,1,1184
愷,1,1184
危,9,10655
姦,5,5919
賣,2,2368
觀,6,7103
吏,15,17758
薪,3,3552
困,4,4735
八,3,3552
積,5,5919
董,1,1184
關,3,3552
勞,7,8287
》,3,3552
連,3,3552
苦,7,8287
監,1,1184
胡,3,3552
攻,11,13022
遂,9,10655
進,2,2368
裹,1,1184
助,32,37883
馮,1,1184
予,1,1184
廢,3,3552
奈,1,1184
墨,1,1184
餉,2,2368
泣,1,1184
州,1,1184
乞,2,2368
著,1,1184
俳,2,2368
賀,1,1184
春,7,8287
竟,2,2368
惠,4,4735
號,3,3552
踐,2,2368
猾,1,1184
騷,2,2368
息,2,2368
孰,1,1184
辱,1,1184
服,13,15390
盛,9,10655
夕,1,1184
戰,10,11839
晁,1,1184
術,1,1184
忘,2,2368
仁,4,4735
糧,10,11839
定,3,3552
就,1,1184
城,11,13022
闊,1,1184
受,5,5919
幼,1,1184
石,6,7103
耕,2,2368
熟,1,1184
夙,1,1184
挍,1,1184
怯,1,1184
益,2,2368
溝,2,2368
翁,1,1184
』,1,1184
舒,1,1184
精,1,1184
鳥,3,3552
邯,1,1184
許,3,3552
告,7,8287
假,1,1184
富,6,7103
樂,7,8287
壹,1,1184
鹵,1,1184
頗,1,1184
顯,2,2368
帝,13,15390
狄,2,2368
寸,3,3552
彭,1,1184
嘗,5,5919
文,6,7103
耆,1,1184
用,12,14206
反,8,9471
撻,1,1184
意,9,10655
芻,1,1184
適,4,4735
倉,1,1184
奇,3,3552
詩,3,3552
鑿,1,1184
博,1,1184
直,3,3552
生,16,18942
臨,5,5919
比,3,3552
革,5,5919
忠,3,3552
戚,1,1184
驚,2,2368
察,4,4735
水,10,11839
資,4,4735
弼,1,1184
遠,6,7103
梃,1,1184
限,1,1184
程,1,1184
云,2,2368
新,1,1184
惡,2,2368
督,1,1184
良,4,4735
折,2,2368
買,38,44986
騎,1,1184
名,6,7103
方,22,26045
霑,1,1184
『,1,1184
七,2,2368
悲,1,1184
性,1,1184
阻,5,5919
平,5,5919
鬥,1,1184
崇,1,1184
舍,1,1184
存,5,5919
法,12,14206
備,6,7103
昧,2,2368
矜,1,1184
謝,7,8287
罰,1,1184
敢,8,9471
干,2,2368
維,1,1184
單,1,1184
昔,2,2368
楚,3,3552
將,16,18942
饒,1,1184
姊,1,1184
孤,3,3552
容,1,1184
憂,2,2368
易,9,10655
讀,1,1184
臣,89,105363
卿,2,2368
除,3,3552
聞,28,33148
職,2,2368
蒙,4,4735
玩,1,1184
大,38,44986
便,5,5919
政,4,4735
柄,1,1184
門,4,4735
驕,1,1184
時,24,28412
保,3,3552
請,1,1184
燭,1,1184
席,1,1184
駟,1,1184
厭,2,2368
邸,6,7103
種,1,1184
貴,10,11839
誘,1,1184
械,1,1184
司,8,9471
固,5,5919
況,2,2368
骸,1,1184
嬰,1,1184
家,10,11839
樓,3,3552
吾,9,10655
海,14,16574
累,1,1184
蠻,4,4735
飾,1,1184
郡,14,16574
妾,1,1184
動,4,4735
會,19,22493
哀,2,2368
昭,3,3552
銷,4,4735
候,1,1184
救,6,7103
男,4,4735
合,3,3552
慮,3,3552
：,44,52089
陶,1,1184
撫,2,2368
吠,1,1184
猛,2,2368
勝,13,15390
軍,14,16574
迎,4,4735
裂,1,1184
嘉,4,4735
棘,2,2368
償,2,2368
祖,2,2368
掾,1,1184
轉,4,4735
費,2,2368
晉,1,1184
終,8,9471
典,1,1184
義,5,5919
輒,4,4735
聊,1,1184
極,1,1184
倍,1,1184
避,4,4735
揚,2,2368
瓦,4,4735
填,1,1184
本,3,3552
德,26,30780
交,2,2368
收,4,4735
歌,3,3552
善,6,7103
暑,3,3552
屬,4,4735
戟,1,1184
行,23,27229
徵,3,3552
敬,1,1184
露,4,4735
覲,1,1184
薦,2,2368
蓬,1,1184
宜,2,2368
袂,1,1184
洽,1,1184
祿,2,2368
錯,2,2368
兵,53,62744
挫,1,1184
擇,1,1184
附,1,1184
拊,1,1184
毋,7,8287
俊,1,1184
冢,1,1184
功,8,9471
居,15,17758
盜,14,16574
餘,12,14206
吳,6,7103
萬,13,15390
郭,2,2368
計,15,17758
侔,1,1184
即,4,4735
滋,1,1184
豪,2,2368
甲,6,7103
私,5,5919
全,1,1184
建,3,3552
委,2,2368
指,3,3552
母,3,3552
欲,13,15390
狗,2,2368
并,4,4735
布,4,4735
癴,1,1184
誕,1,1184
贅,1,1184
通,4,4735
刃,3,3552
繇,1,1184
頓,4,4735
疏,2,2368
振,4,4735
稽,14,16574
蒐,1,1184
舟,4,4735
尊,3,3552
淮,9,10655
張,3,3552
枕,1,1184
廓,1,1184
焚,1,1184
樹,1,1184
讎,1,1184
里,11,13022
竹,3,3552
學,6,7103
復,13,15390
知,6,7103
短,3,3552
期,1,1184
泄,1,1184
抵,1,1184
逃,4,4735
熱,1,1184
留,6,7103
器,2,2368
擅,2,2368
載,2,2368
酿,1,1184
屋,1,1184
飢,2,2368
守,30,35516
懼,1,1184
崩,8,9471
今,25,29596
爵,2,2368
川,1,1184
久,10,11839
忍,2,2368
蘇,1,1184
置,4,4735
肥,1,1184
傷,1,1184
丘,3,3552
游,6,7103
冠,1,1184
形,3,3552
示,1,1184
晏,1,1184
嚴,12,14206
荊,1,1184
桑,1,1184
雉,1,1184
習,3,3552
悉,1,1184
恚,1,1184
送,1,1184
女,3,3552
往,3,3552
約,2,2368
待,7,8287
昆,3,3552
珍,1,1184
治,10,11839
廣,2,2368
智,1,1184
廷,4,4735
宣,1,1184
輓,2,2368
患,7,8287
餓,1,1184
萌,1,1184
醉,1,1184
罪,5,5919
起,7,8287
捕,2,2368
給,4,4735
景,1,1184
解,4,4735
謕,1,1184
劉,2,2368
敺,1,1184
溼,1,1184
丈,2,2368
險,5,5919
辯,1,1184
逆,7,8287
壽,14,16574
一,22,26045
厚,3,3552
禍,1,1184
界,2,2368
尉,9,10655
宮,1,1184
赭,1,1184
雙,1,1184
錢,1,1184
漢,10,11839
自,21,24861
亨,1,1184
閉,1,1184
渠,1,1184
趨,1,1184
共,3,3552
朕,6,7103
兔,1,1184
妻,8,9471
威,9,10655
狀,2,2368
虜,2,2368
旅,4,4735
優,2,2368
鬼,2,2368
鋒,2,2368
獨,8,9471
血,2,2368
忌,1,1184
饑,1,1184
飯,2,2368
猗,1,1184
茂,2,2368
斂,1,1184
峻,1,1184
抏,1,1184
尋,1,1184
賢,6,7103
妄,2,2368
我,7,8287
愈,2,2368
配,1,1184
絲,1,1184
虞,2,2368
好,2,2368
搏,1,1184
顧,1,1184
位,1,1184
篁,1,1184
遷,5,5919
分,3,3552
傳,3,3552
心,6,7103
天,57,67480
閣,1,1184
弧,1,1184
湊,1,1184
近,5,5919
缙,1,1184
腹,1,1184
業,5,5919
江,2,2368
爾,1,1184
詘,4,4735
化,3,3552
俱,6,7103
賜,3,3552
顏,1,1184
句,1,1184
父,5,5919
婁,1,1184
璽,1,1184
語,2,2368
侵,3,3552
谿,1,1184
阨,1,1184
望,3,3552
拜,8,9471
澤,9,10655
狂,1,1184
亂,8,9471
淫,3,3552
庭,1,1184
卬,1,1184
及,17,20125
伏,5,5919
輕,4,4735
；,8,9471
蝮,2,2368
涉,4,4735
峭,1,1184
射,5,5919
湯,11,13022
賓,6,7103
養,4,4735
奚,1,1184
官,4,4735
犯,2,2368
蛇,2,2368
光,2,2368
蚡,3,3552
齊,14,16574
虎,2,2368
多,14,16574
倒,1,1184
切,1,1184
倦,3,3552
震,3,3552
亡,9,10655
闕,4,4735
據,1,1184
誠,6,7103
坐,6,7103
牧,1,1184
」,40,47354
恨,1,1184
嚮,1,1184
尚,2,2368
寬,1,1184
運,1,1184
篇,1,1184
帷,2,2368
叛,1,1184
徼,1,1184
使,29,34332
士,7,8287
窮,7,8287
侍,9,10655
君,8,9471
命,2,2368
卷,1,1184
還,5,5919
乘,6,7103
狼,2,2368
斬,1,1184
報,6,7103
公,14,16574
秉,1,1184
加,3,3552
土,12,14206
相,37,43803
畢,2,2368
圍,2,2368
當,6,7103
苟,1,1184
獻,1,1184
面,3,3552
操,1,1184
循,2,2368
汗,1,1184
瑞,1,1184
勿,2,2368
戇,1,1184
漂,1,1184
律,1,1184
爭,3,3552
市,2,2368
民,30,35516
割,1,1184
飲,3,3552
太,15,17758
畜,3,3552
立,7,8287
戴,2,2368
飽,1,1184
皋,3,3552
綬,3,3552
黃,3,3552
奪,3,3552
陵,4,4735
際,1,1184
覆,6,7103
都,3,3552
徐,5,5919
寒,3,3552
持,2,2368
事,41,48538
饟,1,1184
扞,1,1184
聖,5,5919
利,4,4735
骨,3,3552
夏,5,5919
紝,1,1184
境,8,9471
櫂,1,1184
藩,3,3552
貧,4,4735
禁,11,13022
「,40,47354
弱,7,8287
略,2,2368
衷,1,1184
匹,1,1184
鼎,10,11839
孔,3,3552
南,26,30780
稷,1,1184
辜,2,2368
接,5,5919
穀,2,2368
見,16,18942
代,7,8287
隃,1,1184
因,5,5919
教,2,2368
葬,2,2368
卒,15,17758
詰,1,1184
寡,6,7103
菑,2,2368
暴,9,10655
神,1,1184
求,2,2368
尺,3,3552
李,1,1184
耳,4,4735
叢,3,3552
施,8,9471
涕,1,1184
繡,1,1184
奴,10,11839
食,16,18942
斤,1,1184
靈,1,1184
諸,19,22493
象,1,1184
疑,2,2368
貣,1,1184
最,2,2368
霍,1,1184
經,2,2368
緩,2,2368
賞,1,1184
組,1,1184
恃,1,1184
輿,3,3552
格,1,1184
愬,1,1184
恢,1,1184
鄣,1,1184
