Character, Abs. Freq., Rel. Freq.
器,6,8505
書,7,9922
師,5,7087
蜀,2,2835
山,3,4252
當,17,24096
仲,1,1417
陽,2,2835
賢,14,19844
慮,2,2835
貫,2,2835
交,3,4252
鹿,2,2835
燎,2,2835
汲,1,1417
遣,3,4252
識,1,1417
全,1,1417
自,14,19844
依,1,1417
黎,2,2835
毒,1,1417
安,19,26931
少,6,8505
魚,6,8505
亡,2,2835
壑,1,1417
世,12,17009
外,8,11339
督,1,1417
張,5,7087
裳,2,2835
嘉,3,4252
妻,1,1417
斯,1,1417
教,6,8505
滅,2,2835
珠,11,15592
勤,2,2835
戍,2,2835
寡,2,2835
董,1,1417
宮,6,8505
冥,1,1417
伐,2,2835
畜,2,2835
閭,2,2835
辭,6,8505
軼,1,1417
直,3,4252
垂,2,2835
斂,2,2835
永,2,2835
入,10,14174
招,1,1417
祠,1,1417
庸,1,1417
尉,5,7087
味,2,2835
僰,1,1417
孰,2,2835
靶,1,1417
良,2,2835
因,3,4252
發,8,11339
化,4,5670
隱,1,1417
骨,1,1417
坐,1,1417
劍,2,2835
聽,5,7087
芻,1,1417
錄,1,1417
樓,1,1417
鄣,1,1417
裕,1,1417
酒,1,1417
患,5,7087
轉,4,5670
丁,4,5670
臻,1,1417
統,1,1417
粟,2,2835
郡,17,24096
杜,1,1417
工,3,4252
荷,1,1417
贍,3,4252
厥,1,1417
淡,1,1417
曹,2,2835
說,8,11339
學,3,4252
壤,3,4252
昔,3,4252
游,5,7087
潰,1,1417
采,4,5670
語,5,7087
暨,1,1417
冶,1,1417
國,28,39688
陵,1,1417
符,4,5670
七,1,1417
真,1,1417
服,4,5670
木,4,5670
精,3,4252
冒,1,1417
崩,1,1417
欲,23,32601
枝,1,1417
多,6,8505
寬,1,1417
居,3,4252
孫,4,5670
徙,1,1417
偽,3,4252
吳,2,2835
失,7,9922
越,24,34018
美,4,5670
徵,6,8505
鑄,4,5670
禮,3,4252
駒,1,1417
滋,1,1417
叛,2,2835
皇,6,8505
女,3,4252
試,1,1417
代,1,1417
律,1,1417
薄,1,1417
翼,1,1417
野,1,1417
閔,3,4252
被,6,8505
酷,1,1417
功,8,11339
汗,1,1417
船,1,1417
羹,1,1417
言,21,29766
崖,10,14174
壞,1,1417
廣,7,9922
本,7,9922
競,1,1417
衣,2,2835
吞,1,1417
旌,1,1417
耳,7,9922
更,5,7087
翱,1,1417
綬,1,1417
吾,1,1417
遙,1,1417
宣,7,9922
畤,1,1417
蕃,1,1417
賤,1,1417
嘔,1,1417
絕,7,9922
種,1,1417
討,1,1417
陋,1,1417
履,1,1417
堯,3,4252
春,5,7087
八,3,4252
僑,3,4252
糧,3,4252
削,3,4252
呴,1,1417
前,9,12757
賊,3,4252
亂,2,2835
誅,5,7087
受,7,9922
緝,1,1417
切,1,1417
菟,1,1417
虜,2,2835
窺,1,1417
常,3,4252
宇,1,1417
闕,1,1417
遼,1,1417
聰,1,1417
暴,4,5670
黃,1,1417
月,2,2835
湯,4,5670
諸,10,14174
彗,1,1417
漏,1,1417
繩,1,1417
守,9,12757
罰,4,5670
韓,2,2835
稱,8,11339
騎,2,2835
引,1,1417
釋,1,1417
業,2,2835
干,2,2835
？,15,21262
嫌,1,1417
邑,1,1417
具,2,2835
舟,2,2835
燕,1,1417
丘,1,1417
尺,2,2835
脅,1,1417
浪,1,1417
及,18,25514
殄,1,1417
狗,1,1417
火,1,1417
呼,2,2835
壽,1,1417
幽,1,1417
王,24,34018
就,2,2835
充,2,2835
己,2,2835
勇,1,1417
棘,2,2835
城,8,11339
域,2,2835
