Character, Abs. Freq., Rel. Freq.
悉,2,1856
吐,1,928
娥,3,2784
遜,1,928
慈,1,928
錄,1,928
祭,1,928
晨,1,928
大,45,41763
門,11,10209
罵,1,928
妙,1,928
罪,2,1856
娣,6,5568
諡,7,6497
尺,2,1856
信,5,4640
支,1,928
古,1,928
費,1,928
姍,2,1856
蠡,2,1856
項,2,1856
須,19,17633
諱,1,928
嗇,2,1856
炭,1,928
弱,1,928
殆,1,928
放,3,2784
剛,1,928
垂,1,928
堅,1,928
喧,1,928
糶,1,928
通,5,4640
庶,3,2784
伸,1,928
姬,28,25986
陶,3,2784
祿,6,5568
婕,15,13921
任,3,2784
助,1,928
勝,3,2784
高,19,17633
時,40,37123
函,2,1856
甲,1,928
媼,15,13921
字,3,2784
雲,4,3712
曲,1,928
巷,2,1856
吳,3,2784
見,34,31555
裴,1,928
指,1,928
律,1,928
惰,1,928
改,2,1856
友,1,928
起,17,15777
史,11,10209
七,8,7425
啼,1,928
驚,2,1856
鄉,6,5568
造,2,1856
際,1,928
女,55,51044
甘,4,3712
胥,1,928
銷,1,928
奏,6,5568
義,1,928
王,105,97448
奴,6,5568
胧,1,928
絃,1,928
留,5,4640
異,2,1856
秦,3,2784
動,1,928
掖,5,4640
考,1,928
附,3,2784
忠,1,928
男,27,25058
瘞,1,928
牢,1,928
蘇,1,928
惡,2,1856
及,35,32483
賦,1,928
賜,20,18561
紅,1,928
充,7,6497
原,2,1856
臣,12,11137
末,3,2784
勉,1,928
擅,2,1856
忽,2,1856
冢,2,1856
春,1,928
還,8,7425
繼,1,928
鄲,3,2784
厚,2,1856
決,3,2784
傅,1,928
終,4,3712
匹,2,1856
誘,1,928
淺,1,928
撫,1,928
宦,4,3712
寺,1,928
尹,2,1856
追,13,12065
爵,7,6497
發,7,6497
願,5,4640
肯,4,3712
亂,6,5568
幸,27,25058
敗,4,3712
聞,14,12993
產,6,5568
麗,1,928
壽,4,3712
血,1,928
柏,1,928
生,36,33411
沛,1,928
