Character, Abs. Freq., Rel. Freq.
南,7,12877
庸,2,3679
辟,1,1840
裔,1,1840
盛,4,7358
昭,1,1840
密,1,1840
行,9,16556
處,2,3679
伏,1,1840
遁,1,1840
割,1,1840
巷,1,1840
華,2,3679
鼓,4,7358
樂,9,16556
恩,1,1840
許,1,1840
增,1,1840
窒,1,1840
雍,3,5519
辭,11,20235
詳,1,1840
貴,2,3679
！,10,18396
散,3,5519
鈇,1,1840
同,6,11038
蹈,2,3679
席,1,1840
反,3,5519
蹂,2,3679
放,2,3679
婁,3,5519
俛,1,1840
字,1,1840
執,1,1840
用,6,11038
運,2,3679
待,2,3679
鳴,2,3679
激,1,1840
冑,1,1840
遜,1,1840
免,3,5519
唐,2,3679
彖,1,1840
倫,3,5519
屬,2,3679
墨,5,9198
違,1,1840
男,1,1840
渾,1,1840
撠,1,1840
仁,7,12877
當,8,14717
衝,1,1840
梟,1,1840
屍,1,1840
理,1,1840
第,13,23915
盈,1,1840
苦,2,3679
俟,2,3679
田,2,3679
覆,2,3679
革,3,5519
定,4,7358
婚,1,1840
逐,1,1840
賢,6,11038
宛,1,1840
并,1,1840
譚,4,7358
差,1,1840
卒,2,3679
候,1,1840
飾,1,1840
鐘,1,1840
癴,2,3679
鱗,1,1840
湖,1,1840
汾,1,1840
亶,1,1840
倦,1,1840
識,2,3679
甚,2,3679
緯,1,1840
考,1,1840
眥,1,1840
粵,1,1840
梗,1,1840
髂,1,1840
美,2,3679
云,2,3679
危,3,5519
顧,3,5519
丹,2,3679
矯,1,1840
略,1,1840
驩,1,1840
聳,1,1840
物,2,3679
葛,1,1840
瑁,1,1840
成,8,14717
芒,2,3679
姦,1,1840
司,4,7358
祁,1,1840
秋,3,5519
支,1,1840
蔡,4,7358
童,1,1840
肩,1,1840
士,14,25754
滃,1,1840
目,3,5519
實,2,3679
獄,1,1840
歸,2,3679
帝,8,14717
試,1,1840
丁,1,1840
句,2,3679
虖,3,5519
磔,1,1840
允,2,3679
髡,1,1840
億,2,3679
肱,1,1840
純,3,5519
詡,1,1840
勿,1,1840
麋,3,5519
菟,1,1840
卑,1,1840
費,1,1840
整,2,3679
瞰,2,3679
熙,1,1840
繆,1,1840
露,1,1840
搜,1,1840
解,9,16556
阑,1,1840
騎,3,5519
經,9,16556
騰,2,3679
右,4,7358
車,4,7358
一,18,33113
懼,1,1840
臾,1,1840
期,3,5519
渭,1,1840
炕,1,1840
顏,1,1840
壹,3,5519
間,6,11038
父,2,3679
延,2,3679
首,3,5519
鳥,1,1840
哲,3,5519
彊,2,3679
逡,1,1840
訾,2,3679
傳,4,7358
狖,2,3679
酒,2,3679
室,1,1840
叔,2,3679
史,4,7358
再,1,1840
稽,2,3679
潤,1,1840
投,6,11038
酌,2,3679
金,7,12877
視,1,1840
功,4,7358
亢,1,1840
畔,1,1840
優,2,3679
歊,1,1840
仙,1,1840
衡,3,5519
光,2,3679
訖,1,1840
擬,3,5519
蠢,1,1840
沒,1,1840
展,1,1840
魏,1,1840
：,22,40471
宰,1,1840
蒼,1,1840
州,2,3679
立,3,5519
甲,3,5519
弦,3,5519
稱,5,9198
獿,1,1840
孫,3,5519
厲,1,1840
檢,1,1840
厥,1,1840
嘗,4,7358
紫,2,3679
信,1,1840
池,1,1840
近,2,3679
楚,2,3679
喪,1,1840
虛,4,7358
誇,2,3679
幼,1,1840
告,1,1840
草,1,1840
麗,4,7358
穹,1,1840
切,1,1840
歆,5,9198
冶,1,1840
颗,1,1840
腦,1,1840
押,1,1840
稻,1,1840
奏,1,1840
俊,1,1840
穿,1,1840
欲,8,14717
爻,1,1840
耰,1,1840
騶,1,1840
假,1,1840
度,5,9198
輿,2,3679
迎,1,1840
使,7,12877
貧,2,3679
夷,7,12877
征,1,1840
鳳,2,3679
包,1,1840
憎,1,1840
樵,1,1840
亂,2,3679
羆,2,3679
紘,1,1840
頌,2,3679
蒙,3,5519
渠,2,3679
笑,8,14717
會,1,1840
虽,1,1840
儲,1,1840
係,1,1840
玉,3,5519
阺,1,1840
刊,1,1840
鞀,1,1840
扁,1,1840
斜,2,3679
見,10,18396
孟,2,3679
通,2,3679
振,2,3679
鍾,2,3679
鞮,1,1840
羞,1,1840
木,2,3679
巧,1,1840
數,7,12877
業,2,3679
離,6,11038
嶢,1,1840
膠,1,1840
戰,2,3679
譏,1,1840
敬,3,5519
沫,1,1840
泉,1,1840
福,1,1840
多,5,9198
順,1,1840
體,2,3679
軔,1,1840
請,6,11038
聽,2,3679
楊,4,7358
纂,1,1840
疾,2,3679
齊,2,3679
靜,2,3679
書,7,12877
寸,1,1840
庶,1,1840
邇,1,1840
吳,2,3679
升,1,1840
翠,2,3679
敢,2,3679
咫,1,1840
建,3,5519
聲,7,12877
遂,2,3679
爾,1,1840
談,8,14717
爰,5,9198
形,2,3679
僕,2,3679
砰,1,1840
藉,1,1840
蓋,4,7358
曾,2,3679
學,7,12877
陶,2,3679
規,2,3679
令,2,3679
圭,1,1840
衛,2,3679
妄,1,1840
嶭,1,1840
知,17,31273
閣,3,5519
薦,2,3679
頭,1,1840
雲,9,16556
表,2,3679
侍,1,1840
旃,1,1840
霆,1,1840
眉,1,1840
敺,2,3679
伯,2,3679
劬,1,1840
芬,1,1840
孝,3,5519
真,2,3679
東,8,14717
永,1,1840
主,10,18396
韩,1,1840
攡,1,1840
康,1,1840
阬,1,1840
擾,2,3679
越,3,5519
躬,1,1840
栗,1,1840
訓,2,3679
貌,1,1840
累,1,1840
久,1,1840
起,3,5519
獨,6,11038
曆,2,3679
域,2,3679
領,1,1840
球,1,1840
浮,3,5519
票,4,7358
宮,1,1840
椓,1,1840
察,1,1840
幽,4,7358
飛,1,1840
春,2,3679
斟,1,1840
掉,2,3679
藏,1,1840
師,6,11038
俗,2,3679
淫,3,5519
轀,1,1840
契,1,1840
撓,1,1840
加,2,3679
息,1,1840
集,1,1840
揚,9,16556
原,1,1840
垂,3,5519
役,1,1840
意,6,11038
義,4,7358
青,3,5519
雜,1,1840
汗,1,1840
繫,1,1840
泰,5,9198
毋,1,1840
曶,2,3679
瑩,1,1840
曹,3,5519
工,2,3679
空,2,3679
語,4,7358
震,2,3679
尸,1,1840
殆,1,1840
翡,1,1840
坏,1,1840
恬,1,1840
公,6,11038
肯,1,1840
顯,2,3679
游,3,5519
姻,1,1840
依,1,1840
恣,2,3679
匹,2,3679
論,4,7358
輟,3,5519
乘,6,11038
聞,9,16556
結,2,3679
龍,1,1840
亡,10,18396
轒,1,1840
斤,1,1840
犧,1,1840
輸,1,1840
遊,1,1840
邪,2,3679
關,2,3679
命,10,18396
受,2,3679
禪,1,1840
儉,1,1840
家,7,12877
敝,2,3679
議,1,1840
提,1,1840
代,1,1840
城,2,3679
白,3,5519
思,1,1840
際,1,1840
蝨,1,1840
居,2,3679
極,7,12877
廬,2,3679
翰,3,5519
赤,1,1840
懿,1,1840
元,3,5519
賤,2,3679
小,2,3679
宜,1,1840
止,3,5519
身,5,9198
異,1,1840
陽,3,5519
疑,1,1840
淵,3,5519
洋,1,1840
挐,1,1840
牙,2,3679
群,6,11038
寞,3,5519
諸,10,18396
方,8,14717
肆,1,1840
臺,1,1840
載,3,5519
彫,1,1840
麾,1,1840
愛,1,1840
陰,1,1840
熱,1,1840
搤,2,3679
階,2,3679
枕,1,1840
千,6,11038
軍,2,3679
騫,1,1840
參,2,3679
性,1,1840
治,2,3679
溺,1,1840
豈,4,7358
萃,1,1840
褒,2,3679
梧,1,1840
林,6,11038
皓,1,1840
抗,3,5519
噤,1,1840
莖,1,1840
並,3,5519
韶,1,1840
弟,1,1840
獲,6,11038
相,13,23915
輕,1,1840
疏,5,9198
稷,1,1840
恢,1,1840
勤,2,3679
往,3,5519
鋒,1,1840
虐,1,1840
蕘,1,1840
狂,1,1840
非,15,27594
擁,1,1840
詠,1,1840
褐,1,1840
問,7,12877
廉,1,1840
嚴,1,1840
老,5,9198
房,1,1840
殫,1,1840
虯,1,1840
宓,1,1840
卷,2,3679
槍,1,1840
螭,1,1840
譔,14,25754
濡,1,1840
播,1,1840
橫,4,7358
容,1,1840
適,1,1840
晝,1,1840
石,3,5519
更,1,1840
翕,1,1840
驅,1,1840
謨,1,1840
王,12,22075
心,3,5519
