Character, Abs. Freq., Rel. Freq.
燕,4,1530
顏,2,765
喟,2,765
木,6,2295
骸,2,765
使,34,13004
枝,6,2295
萌,6,2295
昴,2,765
岑,2,765
極,8,3060
贖,2,765
弟,32,12239
巫,2,765
新,2,765
項,10,3825
純,2,765
寒,4,1530
卦,4,1530
築,2,765
季,20,7649
群,20,7649
虐,2,765
惠,8,3060
具,6,2295
詖,2,765
末,12,4590
壟,2,765
究,6,2295
山,42,16064
逆,2,765
序,8,3060
耳,6,2295
河,10,3825
譜,4,1530
市,4,1530
趙,14,5355
殷,12,4590
判,2,765
譁,2,765
鴝,2,765
句,2,765
待,4,1530
伋,2,765
隨,8,3060
怨,16,6119
固,12,4590
原,12,4590
崇,8,3060
離,14,5355
擿,2,765
矢,2,765
偽,4,1530
斯,6,2295
東,26,9944
淪,2,765
示,2,765
田,10,3825
見,98,37482
穆,22,8414
仆,2,765
平,24,9179
本,6,2295
衍,2,765
陵,44,16829
彌,8,3060
驕,4,1530
毛,2,765
爵,10,3825
亂,32,12239
作,22,8414
獄,16,6119
卻,2,765
海,10,3825
蜚,2,765
廉,2,765
赦,2,765
否,8,3060
齊,22,8414
編,2,765
焚,2,765
冤,2,765
震,12,4590
朋,6,2295
反,28,10709
調,6,2295
悟,2,765
回,2,765
草,2,765
書,116,44366
慕,2,765
字,18,6884
依,12,4590
梅,2,765
感,12,4590
守,30,11474
白,28,10709
敬,4,1530
紵,2,765
城,8,3060
虞,2,765
湯,16,6119
大,158,60430
望,36,13769
死,26,9944
怠,2,765
敗,10,3825
僭,4,1530
敢,14,5355
侯,76,29068
？,34,13004
毀,20,7649
隱,8,3060
側,2,765
甘,2,765
德,56,21418
結,2,765
僵,2,765
對,8,3060
遐,2,765
薶,2,765
抑,8,3060
元,38,14534
黜,2,765
韋,4,1530
欺,2,765
北,10,3825
惛,2,765
佾,2,765
號,12,4590
晦,4,1530
陷,8,3060
桀,6,2295
排,6,2295
姦,4,1530
蔡,6,2295
耆,2,765
濁,2,765
孝,46,17594
聰,2,765
瘖,2,765
憂,12,4590
優,4,1530
紹,2,765
緣,2,765
咸,10,3825
『,2,765
古,50,19123
敏,2,765
李,6,2295
居,16,6119
退,20,7649
膚,2,765
將,50,19123
豐,6,2295
選,2,765
方,26,9944
言,110,42071
訖,2,765
害,10,3825
太,72,27538
簫,2,765
碎,2,765
誦,6,2295
紀,6,2295
報,8,3060
臥,6,2295
弒,6,2295
當,26,9944
辰,2,765
