Character, Abs. Freq., Rel. Freq.
棄,8,3373
激,2,843
負,2,843
練,2,843
問,24,10120
老,20,8433
偽,6,2530
酷,2,843
善,16,6747
暑,6,2530
攘,2,843
州,28,11806
弋,2,843
咎,2,843
董,12,5060
書,54,22769
粟,4,1687
箠,2,843
時,82,34576
郇,6,2530
熱,2,843
稱,40,16866
別,6,2530
撥,2,843
戒,8,3373
旁,2,843
陶,6,2530
馬,42,17710
黨,2,843
離,2,843
隴,2,843
產,10,4217
賊,16,6747
左,22,9276
改,4,1687
乞,14,5903
騁,2,843
南,24,10120
莽,38,16023
貢,18,7590
幣,4,1687
獻,2,843
愚,20,8433
格,2,843
耽,2,843
視,12,5060
星,2,843
壞,4,1687
尊,20,8433
笥,2,843
劾,8,3373
楊,4,1687
箕,2,843
崇,22,9276
固,10,4217
牛,4,1687
詘,10,4217
七,26,10963
穀,8,3373
冀,2,843
駕,12,5060
垂,4,1687
夜,8,3373
辦,2,843
學,16,6747
畝,4,1687
桑,4,1687
風,24,10120
死,60,25299
諸,46,19396
擇,8,3373
誠,30,12650
封,16,6747
待,8,3373
觸,2,843
慶,2,843
種,2,843
廟,14,5903
恊,2,843
勞,6,2530
休,4,1687
懷,6,2530
庚,2,843
異,14,5903
持,4,1687
蓍,2,843
感,2,843
著,10,4217
茅,4,1687
歌,2,843
塵,2,843
毛,2,843
通,20,8433
困,6,2530
肆,2,843
復,78,32889
亂,14,5903
盧,4,1687
驅,6,2530
戚,4,1687
木,6,2530
賈,8,3373
泉,6,2530
迂,2,843
右,12,5060
鄉,18,7590
直,26,10963
伯,8,3373
行,74,31203
禁,10,4217
充,2,843
迎,10,4217
弔,4,1687
虷,2,843
黃,8,3373
厚,16,6747
辯,4,1687
古,42,17710
強,6,2530
囊,2,843
辨,2,843
館,4,1687
社,2,843
吾,16,6747
皋,4,1687
寄,4,1687
安,40,16866
算,4,1687
秣,2,843
涼,4,1687
戶,12,5060
堂,2,843
賴,2,843
設,2,843
欺,6,2530
侈,8,3373
代,18,7590
制,16,6747
室,16,6747
士,32,13493
宮,38,16023
趨,8,3373
兼,2,843
訢,4,1687
越,6,2530
冶,2,843
筮,4,1687
幼,8,3373
虎,2,843
竊,6,2530
導,2,843
坐,18,7590
犬,6,2530
僕,4,1687
皇,26,10963
用,34,14336
蒼,2,843
賓,8,3373
抵,6,2530
丈,2,843
隆,8,3373
遊,6,2530
俗,32,13493
樂,20,8433
頃,4,1687
宜,52,21926
赤,2,843
光,42,17710
尤,4,1687
吉,50,21083
昔,6,2530
毒,4,1687
外,26,10963
繇,16,6747
抱,2,843
術,4,1687
射,2,843
棠,6,2530
申,2,843
質,6,2530
勝,126,53129
湛,2,843
表,4,1687
錮,2,843
轉,4,1687
陽,26,10963
祿,50,21083
早,2,843
依,12,5060
欲,58,24456
新,4,1687
寒,4,1687
思,22,9276
立,14,5903
國,64,26986
議,30,12650
義,20,8433
辟,2,843
曾,6,2530
亢,2,843
壹,12,5060
農,14,5903
蜀,10,4217
貧,16,6747
鼓,2,843
人,154,64935
塗,2,843
惡,18,7590
奈,4,1687
絰,2,843
折,2,843
廷,18,7590
酸,2,843
哭,4,1687
大,194,81801
師,28,11806
齊,14,5903
柏,2,843
陛,50,21083
諂,2,843
寇,2,843
瑑,2,843
鑿,4,1687
」,128,53972
涿,2,843
列,10,4217
門,20,8433
讓,6,2530
仆,2,843
闊,2,843
效,4,1687
闇,2,843
淫,2,843
李,2,843
刑,20,8433
止,8,3373
恭,4,1687
就,10,4217
歸,34,14336
覽,4,1687
閱,2,843
顧,2,843
丁,2,843
金,20,8433
綺,4,1687
鄠,2,843
基,2,843
玉,4,1687
誅,14,5903
辭,10,4217
臧,10,4217
摧,2,843
歲,46,19396
更,8,3373
悉,4,1687
區,2,843
孤,4,1687
半,10,4217
俛,2,843
訾,4,1687
裝,2,843
月,36,15180
璽,4,1687
衾,8,3373
廬,2,843
御,24,10120
情,2,843
惓,4,1687
平,32,13493
填,2,843
微,4,1687
牽,4,1687
駟,4,1687
巫,2,843
橫,2,843
飲,4,1687
況,4,1687
德,28,11806
鴻,2,843
征,2,843
知,26,10963
臚,2,843
告,2,843
喪,8,3373
怛,2,843
頌,2,843
講,2,843
籍,2,843
婢,4,1687
附,2,843
鮑,12,5060
弟,20,8433
楚,12,5060
揆,2,843
中,54,22769
夙,2,843
誼,2,843
暉,6,2530
色,2,843
間,4,1687
歷,8,3373
嗣,4,1687
遷,28,11806
父,32,13493
東,24,10120
壯,2,843
太,74,31203
工,8,3373
呂,2,843
域,2,843
應,10,4217
履,6,2530
博,16,6747
牆,2,843
紺,2,843
喟,2,843
甚,26,10963
合,8,3373
抑,2,843
對,8,3373
辱,6,2530
殊,4,1687
錯,6,2530
山,14,5903
臣,94,39636
妄,4,1687
春,8,3373
舊,4,1687
起,28,11806
宿,6,2530
營,2,843
施,8,3373
救,10,4217
賞,14,5903
劫,2,843
骸,16,6747
舍,52,21926
揭,6,2530
奏,34,14336
資,2,843
聰,2,843
耆,6,2530
宦,4,1687
廣,14,5903
慕,2,843
譎,2,843
逆,10,4217
濟,10,4217
昭,12,5060
諼,2,843
疾,22,9276
朝,36,15180
性,4,1687
舉,44,18553
追,2,843
夕,2,843
前,14,5903
蠶,2,843
仰,2,843
戇,4,1687
全,2,843
期,4,1687
意,48,20240
號,2,843
據,4,1687
詛,2,843
渤,4,1687
扶,4,1687
罪,24,10120
翊,2,843
具,6,2530
啖,2,843
篤,4,1687
病,48,20240
雜,2,843
謝,14,5903
夏,16,6747
？,54,22769
虞,6,2530
湖,2,843
丘,2,843
訛,4,1687
禽,4,1687
操,4,1687
獄,14,5903
節,26,10963
惟,10,4217
肉,12,5060
召,6,2530
客,8,3373
躬,12,5060
龔,26,10963
聘,6,2530
黎,6,2530
婿,4,1687
須,2,843
轡,2,843
良,8,3373
橛,2,843
及,64,26986
從,36,15180
甲,2,843
牢,2,843
京,20,8433
保,4,1687
百,56,23613
際,2,843
字,10,4217
千,38,16023
捽,2,843
