Character, Abs. Freq., Rel. Freq.
酋,2,2165
衡,4,4330
秦,6,6495
鳳,12,12990
避,2,2165
座,2,2165
擇,4,4330
變,2,2165
更,4,4330
審,2,2165
走,2,2165
寧,4,4330
兄,8,8660
汙,4,4330
逆,6,6495
勢,4,4330
犀,2,2165
帷,2,2165
慰,2,2165
患,2,2165
陪,2,2165
奚,2,2165
繼,2,2165
最,2,2165
召,6,6495
怨,2,2165
祖,2,2165
臨,2,2165
杜,8,8660
它,2,2165
亡,14,15155
絫,2,2165
存,2,2165
艾,2,2165
樂,6,6495
望,6,6495
甘,2,2165
陷,2,2165
決,12,12990
射,2,2165
宗,8,8660
姓,6,6495
私,4,4330
役,4,4330
壽,12,12990
扇,2,2165
創,2,2165
猶,2,2165
讓,2,2165
鄯,2,2165
旁,4,4330
尚,4,4330
惑,4,4330
烏,2,2165
鄭,4,4330
老,4,4330
擊,16,17320
意,10,10825
剌,2,2165
大,62,67114
贊,2,2165
勿,4,4330
海,2,2165
諭,2,2165
入,8,8660
精,2,2165
年,32,34640
姊,6,6495
惟,2,2165
吾,4,4330
東,6,6495
哀,4,4330
割,2,2165
痺,2,2165
益,6,6495
金,8,8660
羞,2,2165
擢,2,2165
西,34,36805
疆,2,2165
曠,4,4330
孤,2,2165
章,4,4330
河,14,15155
為,172,186187
鈞,4,4330
郅,6,6495
載,2,2165
秏,2,2165
征,2,2165
元,10,10825
廉,10,10825
韓,12,12990
括,2,2165
王,112,121238
商,2,2165
操,2,2165
刑,12,12990
儉,2,2165
母,2,2165
矜,2,2165
化,4,4330
厭,2,2165
愍,2,2165
耳,2,2165
滿,4,4330
地,12,12990
良,4,4330
背,4,4330
親,4,4330
驗,2,2165
拔,2,2165
美,8,8660
踵,2,2165
錄,6,6495
欲,4,4330
財,2,2165
襄,2,2165
朔,4,4330
爪,2,2165
博,2,2165
黠,2,2165
儀,12,12990
里,4,4330
多,16,17320
赴,2,2165
據,2,2165
末,4,4330
養,2,2165
弟,14,15155
懷,2,2165
國,66,71444
士,16,17320
薄,2,2165
用,22,23815
誅,16,17320
當,10,10825
立,18,19485
軵,2,2165
間,4,4330
將,98,106084
蕭,6,6495
持,6,6495
和,4,4330
遮,2,2165
石,16,17320
政,4,4330
勸,2,2165
春,8,8660
易,2,2165
戎,2,2165
破,8,8660
苦,4,4330
畢,2,2165
指,4,4330
月,12,12990
竊,4,4330
願,16,17320
北,6,6495
領,2,2165
修,4,4330
延,12,12990
劾,2,2165
安,22,23815
候,4,4330
仰,2,2165
悲,2,2165
侍,2,2165
憚,4,4330
都,30,32475
似,2,2165
早,2,2165
斂,2,2165
孫,6,6495
著,6,6495
畏,2,2165
記,2,2165
固,4,4330
廷,8,8660
白,4,4330
惡,2,2165
道,22,23815
自,24,25980
伯,2,2165
賊,2,2165
保,2,2165
閑,2,2165
越,4,4330
輸,4,4330
璽,2,2165
體,2,2165
郡,22,23815
頃,2,2165
無,10,10825
侵,2,2165
卿,8,8660
并,2,2165
隨,4,4330
別,4,4330
勳,8,8660
