Character, Abs. Freq., Rel. Freq.
視,4,13123
悲,2,6562
患,8,26247
驪,4,13123
驚,6,19685
老,4,13123
鵲,4,13123
野,2,6562
甘,2,6562
福,16,52493
市,2,6562
素,2,6562
怒,2,6562
弱,2,6562
戍,2,6562
陸,6,19685
幽,2,6562
畏,4,13123
皋,2,6562
目,4,13123
舌,2,6562
弊,2,6562
歎,2,6562
都,2,6562
負,2,6562
行,18,59055
觸,2,6562
時,2,6562
匈,4,13123
酸,2,6562
孫,4,13123
祥,2,6562
賈,2,6562
客,2,6562
配,2,6562
阿,2,6562
邦,2,6562
殞,2,6562
到,2,6562
留,4,13123
首,2,6562
咎,6,19685
從,4,13123
噬,2,6562
期,2,6562
降,4,13123
提,2,6562
萬,2,6562
果,2,6562
西,4,13123
各,2,6562
嗑,2,6562
墜,2,6562
白,4,13123
疑,2,6562
母,4,13123
令,2,6562
共,4,13123
欲,4,13123
恆,2,6562
送,4,13123
吹,4,13123
腹,2,6562
物,2,6562
暴,2,6562
嘉,4,13123
畜,4,13123
死,4,13123
搆,2,6562
跌,2,6562
士,4,13123
復,8,26247
助,2,6562
須,2,6562
粟,2,6562
內,2,6562
心,4,13123
仲,2,6562
旦,4,13123
氏,6,19685
鳥,2,6562
齒,2,6562
遂,2,6562
寡,2,6562
居,4,13123
餒,2,6562
災,12,39370
麟,2,6562
郤,2,6562
七,2,6562
潛,2,6562
制,2,6562
載,2,6562
藁,2,6562
貆,2,6562
翼,4,13123
拋,2,6562
天,6,19685
靈,2,6562
我,24,78740
無,2,6562
嗜,2,6562
逆,4,13123
霍,2,6562
忌,2,6562
漂,2,6562
擊,4,13123
湯,2,6562
涉,2,6562
兌,2,6562
宅,4,13123
烏,6,19685
少,2,6562
走,8,26247
躓,2,6562
剝,4,13123
田,2,6562
威,2,6562
后,2,6562
懼,10,32808
賢,4,13123
敢,2,6562
賊,4,13123
自,8,26247
防,2,6562
紛,4,13123
吏,2,6562
蔽,2,6562
養,2,6562
姓,2,6562
域,2,6562
施,2,6562
憤,2,6562
東,10,32808
名,6,19685
恩,2,6562
作,4,13123
乳,6,19685
歡,6,19685
乾,4,13123
輔,4,13123
射,2,6562
公,2,6562
康,2,6562
蹉,2,6562
筑,2,6562
左,2,6562
房,2,6562
鴻,2,6562
小,6,19685
耕,2,6562
俱,10,32808
契,2,6562
豫,2,6562
奔,2,6562
鰥,2,6562
艮,2,6562
臨,4,13123
被,2,6562
孟,2,6562
牙,2,6562
損,2,6562
食,6,19685
迷,2,6562
折,2,6562
管,2,6562
南,2,6562
破,2,6562
蹇,2,6562
昳,2,6562
否,2,6562
海,2,6562
鵠,2,6562
隼,2,6562
鳳,8,26247
幾,2,6562
門,10,32808
冥,2,6562
貪,2,6562
柔,2,6562
請,2,6562
蕩,2,6562
拘,4,13123
側,2,6562
機,2,6562
妄,4,13123
濟,4,13123
虎,6,19685
慕,2,6562
悅,6,19685
國,18,59055
拳,2,6562
枝,2,6562
知,2,6562
山,8,26247
宮,2,6562
囚,4,13123
寒,4,13123
束,2,6562
臣,2,6562
危,6,19685
步,2,6562
恨,2,6562
辭,2,6562
匍,2,6562
平,2,6562
咸,2,6562
豹,2,6562
蓐,2,6562
織,2,6562
符,2,6562
見,10,32808
妁,2,6562
睽,2,6562
厚,4,13123
讒,2,6562
恐,2,6562
逢,4,13123
近,2,6562
頸,2,6562
精,2,6562
伍,2,6562
飲,2,6562
存,2,6562
頤,2,6562
戰,2,6562
功,2,6562
運,2,6562
顛,2,6562
益,4,13123
孩,2,6562
告,2,6562
君,10,32808
人,14,45932
封,2,6562
反,2,6562
火,2,6562
雀,2,6562
玉,4,13123
壯,2,6562
屯,2,6562
龜,4,13123
騮,2,6562
匿,2,6562
蘇,2,6562
任,2,6562
晨,2,6562
竟,2,6562
比,4,13123
瘳,2,6562
摶,2,6562
使,2,6562
相,22,72178
怨,2,6562
辜,2,6562
家,10,32808
入,6,19685
父,4,13123
登,4,13123
師,4,13123
看,2,6562
巽,2,6562
羽,2,6562
收,2,6562
久,6,19685
明,4,13123
桃,2,6562
虹,2,6562
厖,2,6562
飽,2,6562
順,2,6562
䍧,6,19685
病,4,13123
皇,4,13123
合,4,13123
竊,4,13123
脫,2,6562
殆,4,13123
香,2,6562
飛,6,19685
良,2,6562
囁,4,13123
軻,2,6562
服,2,6562
月,2,6562
女,4,13123
薄,2,6562
金,2,6562
洛,2,6562
堅,2,6562
庭,2,6562
循,2,6562
極,2,6562
訟,2,6562
賁,2,6562
畫,2,6562
歷,2,6562
愆,2,6562
飢,4,13123
草,4,13123
塗,2,6562
木,2,6562
理,4,13123
遭,4,13123
分,2,6562
典,2,6562
肥,4,13123
蒙,2,6562
柳,2,6562
息,8,26247
丹,2,6562
譆,4,13123
履,6,19685
陰,6,19685
言,6,19685
懸,2,6562
罪,2,6562
澤,2,6562
狐,4,13123
隨,6,19685
鄰,2,6562
變,2,6562
藏,2,6562
節,2,6562
司,2,6562
孚,2,6562
漿,2,6562
讙,2,6562
旅,8,26247
謙,2,6562
重,2,6562
及,2,6562
常,4,13123
喜,10,32808
仁,2,6562
王,6,19685
卒,4,13123
暮,2,6562
昧,2,6562
鼎,2,6562
漸,4,13123
處,8,26247
脂,2,6562
逃,2,6562
頭,4,13123
黃,4,13123
卻,2,6562
祭,2,6562
姊,2,6562
空,6,19685
憂,12,39370
坤,4,13123
世,2,6562
約,2,6562
稻,4,13123
照,2,6562
无,24,78740
豐,2,6562
渙,2,6562
酒,4,13123
夬,2,6562
廉,2,6562
伏,4,13123
桓,2,6562
寵,4,13123
避,2,6562
百,4,13123
將,2,6562
衰,2,6562
蝗,2,6562
風,4,13123
就,2,6562
口,2,6562
貞,6,19685
臺,2,6562
策,2,6562
亂,10,32808
朝,4,13123
定,2,6562
赫,6,19685
驅,2,6562
縛,2,6562
牡,2,6562
廬,4,13123
退,2,6562
位,2,6562
虜,2,6562
免,2,6562
嬰,6,19685
雲,2,6562
質,2,6562
和,2,6562
惕,2,6562
但,2,6562
聞,2,6562
兩,2,6562
更,2,6562
牾,2,6562
坐,4,13123
開,4,13123
妃,2,6562
中,8,26247
強,6,19685
轝,2,6562
鳶,2,6562
惠,2,6562
軌,2,6562
雄,4,13123
蠱,2,6562
傷,2,6562
蜩,2,6562
遠,2,6562
稚,2,6562
茂,4,13123
姤,2,6562
翹,2,6562
日,8,26247
握,2,6562
誣,2,6562
裘,2,6562
說,4,13123
擾,2,6562
逸,2,6562
手,2,6562
買,2,6562
伯,8,26247
遙,2,6562
資,2,6562
糧,2,6562
低,2,6562
喪,2,6562
寧,4,13123
終,2,6562
蕃,2,6562
執,2,6562
稍,2,6562
生,14,45932
報,2,6562
叔,10,32808
亡,10,32808
齧,2,6562
來,4,13123
愈,2,6562
基,2,6562
麑,2,6562
蓍,2,6562
媒,2,6562
巢,4,13123
安,8,26247
剛,2,6562
北,8,26247
龍,6,19685
：,130,426509
魯,2,6562
萌,2,6562
書,2,6562
醉,2,6562
慵,2,6562
遇,6,19685
駕,2,6562
燕,2,6562
觀,2,6562
英,2,6562
燔,2,6562
代,2,6562
招,2,6562
思,4,13123
妺,2,6562
大,16,52493
魚,2,6562
陶,4,13123
望,6,19685
背,2,6562
周,2,6562
晉,2,6562
敏,2,6562
連,2,6562
貧,2,6562
喧,2,6562
霜,2,6562
多,14,45932
發,4,13123
休,2,6562
穗,2,6562
車,2,6562
謀,2,6562
章,2,6562
升,4,13123
求,6,19685
爭,6,19685
室,8,26247
聖,4,13123
坎,2,6562
八,2,6562
