Character, Abs. Freq., Rel. Freq.
覆,4,13280
一,10,33201
矢,4,13280
邑,4,13280
死,6,19920
自,4,13280
相,14,46481
名,2,6640
原,2,6640
嫉,2,6640
孤,2,6640
苦,4,13280
暑,2,6640
空,6,19920
左,4,13280
隤,2,6640
深,4,13280
石,4,13280
無,16,53121
精,2,6640
鄭,2,6640
碎,2,6640
悲,4,13280
端,2,6640
吾,4,13280
循,2,6640
小,4,13280
主,4,13280
師,4,13280
使,10,33201
終,2,6640
禍,6,19920
剛,2,6640
讓,2,6640
推,2,6640
旅,4,13280
降,2,6640
目,2,6640
經,2,6640
月,6,19920
鵰,2,6640
悔,4,13280
周,2,6640
節,4,13280
飛,4,13280
道,16,53121
隱,2,6640
徹,2,6640
考,4,13280
實,2,6640
豎,2,6640
丞,2,6640
鷹,2,6640
心,4,13280
橋,2,6640
謁,2,6640
妃,2,6640
妄,2,6640
沸,2,6640
安,8,26560
亟,2,6640
褒,2,6640
畜,6,19920
鼠,2,6640
比,2,6640
康,2,6640
東,16,53121
羊,2,6640
陽,2,6640
姤,2,6640
大,12,39841
功,4,13280
恙,2,6640
毒,2,6640
憤,2,6640
拘,2,6640
松,2,6640
璧,2,6640
：,126,418327
叔,4,13280
陰,2,6640
襲,2,6640
遁,2,6640
桃,2,6640
廓,2,6640
紛,4,13280
美,2,6640
蹲,2,6640
雨,2,6640
丑,2,6640
織,2,6640
酗,2,6640
百,2,6640
泰,2,6640
兌,2,6640
發,2,6640
乾,2,6640
歷,2,6640
陳,2,6640
弱,2,6640
孚,2,6640
蒼,2,6640
噬,4,13280
昧,2,6640
海,2,6640
陪,2,6640
鮮,2,6640
孝,2,6640
落,2,6640
方,2,6640
伍,2,6640
桀,2,6640
夬,2,6640
管,2,6640
往,2,6640
敵,2,6640
觀,4,13280
鰥,2,6640
跌,2,6640
川,2,6640
哀,4,13280
反,2,6640
飲,2,6640
息,8,26560
患,14,46481
嵩,2,6640
存,6,19920
鳥,2,6640
哭,2,6640
天,2,6640
衰,2,6640
逢,2,6640
北,12,39841
枯,2,6640
日,12,39841
歡,2,6640
武,4,13280
南,10,33201
象,2,6640
前,6,19920
伐,2,6640
遯,2,6640
畏,2,6640
業,2,6640
邪,2,6640
商,4,13280
獵,2,6640
舞,2,6640
纓,2,6640
耕,2,6640
窮,4,13280
全,2,6640
涉,4,13280
輿,2,6640
銳,2,6640
戰,2,6640
堯,2,6640
濕,2,6640
利,12,39841
行,10,33201
掠,2,6640
閔,2,6640
言,2,6640
賊,4,13280
文,6,19920
閉,2,6640
弩,2,6640
仲,2,6640
火,2,6640
后,4,13280
家,10,33201
明,12,39841
貪,2,6640
張,6,19920
鄰,2,6640
微,2,6640
弓,2,6640
離,16,53121
箭,2,6640
驂,2,6640
愁,2,6640
漸,2,6640
八,4,13280
昏,2,6640
輪,2,6640
遂,6,19920
口,2,6640
非,4,13280
服,6,19920
濟,4,13280
殃,6,19920
抵,2,6640
壽,6,19920
給,2,6640
君,8,26560
豫,2,6640
否,2,6640
示,2,6640
西,8,26560
楚,6,19920
滅,4,13280
譎,2,6640
絕,4,13280
寡,2,6640
人,12,39841
走,8,26560
爭,6,19920
惡,2,6640
幸,2,6640
聊,2,6640
食,4,13280
虎,4,13280
禮,4,13280
客,2,6640
揖,2,6640
轉,2,6640
熟,2,6640
歲,4,13280
閣,2,6640
拔,2,6640
治,2,6640
花,2,6640
禾,2,6640
咎,8,26560
上,8,26560
鴟,2,6640
緒,2,6640
樂,2,6640
徙,2,6640
率,2,6640
䖝,2,6640
彊,2,6640
男,2,6640
求,2,6640
壁,4,13280
快,2,6640
亥,2,6640
念,4,13280
被,4,13280
惑,6,19920
虞,2,6640
訟,8,26560
喪,2,6640
太,2,6640
露,2,6640
謙,2,6640
殘,2,6640
豐,2,6640
睽,2,6640
宜,4,13280
右,4,13280
金,6,19920
側,2,6640
龍,6,19920
逃,8,26560
興,2,6640
