Character, Abs. Freq., Rel. Freq.
虛,2,6277
遊,2,6277
媚,2,6277
蹇,2,6277
愈,2,6277
享,2,6277
肉,2,6277
目,4,12555
配,2,6277
孔,2,6277
岐,2,6277
姻,2,6277
居,8,25110
續,2,6277
凍,4,12555
謙,2,6277
飢,4,12555
己,2,6277
鸇,2,6277
新,2,6277
乳,4,12555
饒,4,12555
伏,4,12555
蹶,2,6277
深,4,12555
鄰,2,6277
婚,2,6277
郤,2,6277
豐,4,12555
萃,2,6277
戴,4,12555
求,6,18832
駕,2,6277
蜱,2,6277
道,6,18832
乾,2,6277
饜,2,6277
獨,4,12555
人,22,69052
蠱,2,6277
南,16,50220
咎,6,18832
操,2,6277
群,2,6277
病,6,18832
畜,4,12555
寶,2,6277
：,128,401758
綏,2,6277
閉,4,12555
敦,2,6277
柔,2,6277
身,10,31387
盜,4,12555
雨,4,12555
糟,2,6277
嘉,6,18832
置,2,6277
趍,2,6277
筐,2,6277
晉,2,6277
芬,2,6277
義,4,12555
華,2,6277
優,2,6277
盛,2,6277
意,2,6277
飛,4,12555
乙,2,6277
踰,2,6277
稻,2,6277
旅,10,31387
丸,2,6277
騮,2,6277
魚,2,6277
長,6,18832
伐,2,6277
走,2,6277
湯,4,12555
被,2,6277
升,4,12555
慶,2,6277
墾,2,6277
拘,2,6277
燔,2,6277
乏,2,6277
將,2,6277
商,2,6277
還,4,12555
怒,2,6277
蘊,2,6277
致,2,6277
邪,2,6277
行,24,75330
妄,2,6277
艮,2,6277
徑,2,6277
履,4,12555
紂,4,12555
坎,2,6277
命,8,25110
舜,4,12555
狟,2,6277
仲,2,6277
握,2,6277
師,10,31387
庾,2,6277
拜,2,6277
作,2,6277
山,10,31387
歆,2,6277
母,2,6277
直,2,6277
宜,4,12555
思,2,6277
虎,4,12555
志,2,6277
反,2,6277
河,2,6277
明,4,12555
桃,2,6277
仁,2,6277
迥,2,6277
望,4,12555
萌,2,6277
考,2,6277
霧,2,6277
糠,2,6277
步,4,12555
恩,2,6277
動,2,6277
情,2,6277
仇,2,6277
鼎,2,6277
姤,2,6277
路,4,12555
上,8,25110
聲,2,6277
忠,2,6277
聖,2,6277
蜉,2,6277
隋,2,6277
嗑,2,6277
窮,4,12555
宋,2,6277
需,2,6277
殆,4,12555
寇,2,6277
貌,2,6277
端,2,6277
莒,2,6277
嗟,2,6277
惡,2,6277
流,2,6277
雞,2,6277
石,2,6277
終,6,18832
急,2,6277
愁,2,6277
施,4,12555
民,8,25110
法,4,12555
梏,2,6277
多,6,18832
濟,4,12555
羽,2,6277
無,26,81607
瓶,2,6277
燒,2,6277
祉,2,6277
飽,4,12555
勝,2,6277
大,12,37665
塗,4,12555
蓄,2,6277
巽,2,6277
睽,2,6277
悲,2,6277
隱,2,6277
數,4,12555
踒,2,6277
沉,2,6277
興,4,12555
家,14,43942
雌,6,18832
指,2,6277
降,6,18832
陷,2,6277
言,2,6277
伯,4,12555
暑,2,6277
癰,2,6277
哭,2,6277
鬭,2,6277
腐,2,6277
鬼,2,6277
倉,2,6277
鼓,2,6277
雛,2,6277
騧,2,6277
鈞,2,6277
貪,2,6277
孿,2,6277
孟,2,6277
妹,2,6277
太,2,6277
咨,2,6277
穿,2,6277
文,4,12555
食,8,25110
靈,2,6277
御,2,6277
祓,2,6277
少,4,12555
年,2,6277
泥,2,6277
遇,2,6277
亡,4,12555
驅,2,6277
耳,2,6277
素,2,6277
覬,2,6277
獄,6,18832
到,4,12555
夬,2,6277
王,4,12555
釜,2,6277
連,2,6277
賊,4,12555
跖,2,6277
漸,2,6277
樹,2,6277
咸,2,6277
羊,2,6277
平,4,12555
陰,4,12555
推,2,6277
恆,4,12555
香,4,12555
唐,2,6277
禽,2,6277
重,4,12555
非,6,18832
力,4,12555
悅,2,6277
解,8,25110
甑,2,6277
分,2,6277
崖,2,6277
瘦,2,6277
災,2,6277
軍,2,6277
盲,2,6277
夷,4,12555
衡,4,12555
寵,2,6277
寒,2,6277
釋,2,6277
室,14,43942
賣,2,6277
壯,2,6277
成,4,12555
節,2,6277
角,2,6277
臨,2,6277
歲,4,12555
膝,2,6277
僵,2,6277
顛,2,6277
噬,2,6277
物,2,6277
轉,4,12555
及,2,6277
泰,2,6277
除,2,6277
禹,6,18832
犬,4,12555
鵰,2,6277
剋,2,6277
畝,2,6277
輿,2,6277
俱,8,25110
主,2,6277
鼠,2,6277
井,6,18832
卿,2,6277
盈,2,6277
豫,2,6277
冠,2,6277
滅,2,6277
疾,12,37665
跡,2,6277
霜,4,12555
否,2,6277
彊,2,6277
地,2,6277
飡,2,6277
醴,2,6277
徙,4,12555
富,2,6277
秋,4,12555
弟,2,6277
高,2,6277
欲,2,6277
襦,2,6277
遼,2,6277
牽,2,6277
觀,2,6277
婦,4,12555
缺,2,6277
鳩,2,6277
姜,4,12555
兩,2,6277
軸,2,6277
魯,4,12555
沸,2,6277
國,12,37665
心,4,12555
馳,4,12555
黍,2,6277
關,2,6277
傷,8,25110
馬,6,18832
起,2,6277
懸,2,6277
離,2,6277
芝,4,12555
旦,2,6277
本,2,6277
事,2,6277
爭,2,6277
京,2,6277
往,2,6277
釁,2,6277
吾,6,18832
北,4,12555
對,2,6277
坐,4,12555
虞,2,6277
舞,4,12555
殃,2,6277
處,12,37665
風,4,12555
允,2,6277
社,2,6277
盆,4,12555
生,8,25110
中,6,18832
真,2,6277
丘,2,6277
舉,2,6277
許,2,6277
正,4,12555
見,6,18832
亂,4,12555
強,2,6277
罾,2,6277
便,2,6277
歸,10,31387
救,2,6277
市,2,6277
堅,2,6277
廬,2,6277
任,6,18832
破,8,25110
甚,2,6277
獲,8,25110
劣,2,6277
營,2,6277
棠,2,6277
好,2,6277
荷,2,6277
枕,2,6277
毛,2,6277
水,2,6277
髡,2,6277
馥,2,6277
順,2,6277
屯,2,6277
女,2,6277
西,6,18832
小,6,18832
固,2,6277
杼,2,6277
東,16,50220
日,8,25110
就,2,6277
瘠,2,6277
賦,2,6277
雪,2,6277
宛,2,6277
折,4,12555
積,2,6277
刃,2,6277
謀,2,6277
遠,4,12555
舊,4,12555
歛,2,6277
驪,2,6277
震,2,6277
雁,2,6277
桑,2,6277
禍,6,18832
死,2,6277
域,2,6277
擢,2,6277
當,4,12555
甲,4,12555
使,6,18832
衰,2,6277
口,2,6277
囊,2,6277
千,2,6277
同,10,31387
舍,2,6277
休,4,12555
雄,4,12555
兌,2,6277
糧,2,6277
福,8,25110
各,2,6277
戰,2,6277
止,2,6277
噂,4,12555
渙,2,6277
來,6,18832
薄,2,6277
持,2,6277
徵,2,6277
遂,2,6277
梁,2,6277
邦,6,18832
餌,2,6277
訖,2,6277
德,8,25110
驚,6,18832
懼,2,6277
買,2,6277
比,2,6277
陳,2,6277
佑,2,6277
負,6,18832
復,4,12555
鷂,2,6277
淑,2,6277
周,4,12555
卵,2,6277
仕,2,6277
晦,4,12555
宿,2,6277
秦,2,6277
腰,2,6277
祀,2,6277
濕,2,6277
安,14,43942
袍,2,6277
飲,2,6277
柱,2,6277
鳴,6,18832
挈,2,6277
尚,2,6277
訟,2,6277
饋,2,6277
自,6,18832
木,2,6277
陽,2,6277
欣,2,6277
蘭,2,6277
一,2,6277
善,4,12555
娶,2,6277
刑,4,12555
遲,4,12555
萬,4,12555
君,10,31387
蒙,2,6277
我,24,75330
讙,2,6277
駟,2,6277
厭,2,6277
簪,2,6277
月,4,12555
音,2,6277
垢,2,6277
搖,2,6277
苦,4,12555
窈,2,6277
顏,2,6277
抱,2,6277
雉,2,6277
墮,2,6277
從,4,12555
怨,2,6277
榮,2,6277
腳,2,6277
射,2,6277
合,2,6277
楚,2,6277
遯,2,6277
入,14,43942
稷,2,6277
匣,2,6277
覆,2,6277
堯,4,12555
齒,2,6277
憂,14,43942
賈,2,6277
猿,2,6277
傾,2,6277
浮,2,6277
桀,4,12555
輦,2,6277
萊,2,6277
玉,8,25110
床,2,6277
跌,2,6277
空,2,6277
頸,2,6277
鴟,4,12555
魅,2,6277
瘧,2,6277
常,2,6277
受,4,12555
雲,2,6277
沮,2,6277
患,6,18832
逐,8,25110
滿,4,12555
累,2,6277
絕,2,6277
臣,2,6277
庖,2,6277
並,4,12555
惑,2,6277
鵲,4,12555
春,8,25110
敗,4,12555
臝,2,6277
隨,4,12555
益,6,18832
困,8,25110
攸,2,6277
逢,4,12555
列,2,6277
恨,4,12555
剝,6,18832
朝,2,6277
匱,2,6277
政,4,12555
相,20,62775
留,6,18832
摧,2,6277
齯,2,6277
袴,2,6277
採,2,6277
歡,2,6277
孚,2,6277
葭,2,6277
彰,2,6277
背,2,6277
革,2,6277
冬,2,6277
和,4,12555
頓,2,6277
呼,4,12555
損,2,6277
門,10,31387
為,20,62775
沫,2,6277
請,2,6277
樂,10,31387
別,2,6277
嫁,2,6277
鄉,2,6277
羝,2,6277
產,2,6277
把,2,6277
踦,2,6277
牢,2,6277
鳥,4,12555
祥,2,6277
兄,2,6277
天,10,31387
牧,2,6277
奔,2,6277
川,2,6277
保,4,12555
野,2,6277
車,12,37665
頤,2,6277
珠,6,18832
米,2,6277
功,2,6277
載,2,6277
白,4,12555
手,2,6277
征,2,6277
夏,2,6277
退,2,6277
吹,2,6277
卷,2,6277
兔,2,6277
塞,4,12555
鹿,2,6277
迷,2,6277
甘,2,6277
桎,2,6277
雍,4,12555
敵,2,6277
齊,6,18832
禮,2,6277
賁,2,6277
