Character, Abs. Freq., Rel. Freq.
浦,2,6588
肯,2,6588
孔,2,6588
雲,4,13175
安,16,52701
酸,2,6588
羅,2,6588
女,4,13175
乾,4,13175
泰,2,6588
福,16,52701
盻,2,6588
更,4,13175
雪,2,6588
伯,6,19763
鴟,2,6588
蜲,2,6588
斯,2,6588
簡,2,6588
居,6,19763
索,2,6588
常,4,13175
魄,2,6588
昭,2,6588
嗜,2,6588
世,2,6588
事,2,6588
請,2,6588
剗,2,6588
賜,2,6588
破,2,6588
箕,2,6588
烏,2,6588
牛,4,13175
仇,4,13175
妹,2,6588
升,2,6588
陷,4,13175
宋,2,6588
銕,4,13175
季,2,6588
魯,2,6588
極,2,6588
囂,2,6588
冀,2,6588
和,2,6588
念,2,6588
覆,2,6588
君,12,39526
我,30,98814
誰,2,6588
流,6,19763
道,4,13175
竊,4,13175
祁,2,6588
難,4,13175
歸,8,26350
本,2,6588
殷,2,6588
陶,2,6588
各,2,6588
莒,2,6588
久,4,13175
烈,2,6588
復,4,13175
寄,2,6588
剝,2,6588
明,8,26350
跖,4,13175
就,4,13175
雨,2,6588
飲,2,6588
小,6,19763
鷯,2,6588
色,2,6588
宿,2,6588
盬,2,6588
漸,2,6588
口,6,19763
池,2,6588
霸,2,6588
國,24,79051
翼,2,6588
金,6,19763
豕,2,6588
妣,2,6588
忘,2,6588
見,2,6588
牢,2,6588
多,4,13175
戒,2,6588
枝,4,13175
蛇,2,6588
北,4,13175
革,2,6588
任,4,13175
逆,2,6588
賁,2,6588
封,4,13175
風,4,13175
檀,2,6588
顛,4,13175
名,4,13175
側,2,6588
雞,4,13175
殆,2,6588
絕,2,6588
網,4,13175
入,8,26350
晦,2,6588
望,2,6588
目,6,19763
慶,2,6588
嘔,2,6588
亡,6,19763
聚,4,13175
耳,2,6588
珠,2,6588
龜,2,6588
藏,2,6588
郭,2,6588
悅,2,6588
后,2,6588
黃,4,13175
文,2,6588
華,2,6588
百,4,13175
禦,2,6588
床,2,6588
豐,2,6588
生,12,39526
翔,4,13175
妄,2,6588
稱,2,6588
凶,6,19763
邑,8,26350
根,2,6588
褁,2,6588
賊,12,39526
折,10,32938
惠,2,6588
照,2,6588
角,2,6588
孽,2,6588
合,8,26350
師,6,19763
征,6,19763
衛,2,6588
遇,2,6588
號,4,13175
宵,2,6588
鳧,2,6588
俱,8,26350
鰥,2,6588
室,2,6588
宜,2,6588
厥,2,6588
孚,2,6588
宣,2,6588
完,4,13175
陽,6,19763
蒙,4,13175
待,2,6588
無,2,6588
頸,2,6588
井,4,13175
渙,2,6588
嗑,2,6588
鴞,2,6588
仲,2,6588
除,6,19763
陂,2,6588
政,4,13175
成,12,39526
斷,2,6588
餌,2,6588
傾,2,6588
玉,6,19763
鵲,2,6588
衣,2,6588
馬,2,6588
夷,6,19763
青,2,6588
姤,2,6588
噬,2,6588
內,2,6588
群,2,6588
