Character, Abs. Freq., Rel. Freq.
期,2,6588
須,2,6588
頤,2,6588
圍,2,6588
便,2,6588
舜,2,6588
祁,2,6588
遇,4,13175
帝,2,6588
訟,2,6588
帶,2,6588
缺,2,6588
褰,2,6588
鹿,2,6588
失,12,39526
布,2,6588
老,4,13175
元,2,6588
龍,2,6588
塿,2,6588
鸝,2,6588
獵,2,6588
時,10,32938
浴,2,6588
走,2,6588
阪,4,13175
瘢,2,6588
賈,2,6588
禮,2,6588
沐,2,6588
損,2,6588
鄰,2,6588
笑,2,6588
代,2,6588
西,8,26350
患,10,32938
我,32,105402
株,2,6588
兵,4,13175
挺,2,6588
孟,2,6588
皇,2,6588
耗,2,6588
別,2,6588
口,6,19763
巽,2,6588
跛,2,6588
衘,2,6588
谿,2,6588
妬,2,6588
路,2,6588
風,6,19763
中,6,19763
獨,4,13175
濁,2,6588
虐,2,6588
直,2,6588
牙,6,19763
凶,6,19763
敗,6,19763
牛,4,13175
恆,2,6588
鄉,4,13175
棘,2,6588
獲,4,13175
頭,2,6588
馬,10,32938
市,4,13175
雚,2,6588
柔,2,6588
季,2,6588
處,8,26350
擾,2,6588
盛,2,6588
戶,8,26350
泰,4,13175
萃,2,6588
乾,2,6588
狼,4,13175
鎡,2,6588
居,4,13175
上,6,19763
蕩,2,6588
法,2,6588
里,2,6588
齒,6,19763
畜,4,13175
范,2,6588
延,2,6588
禿,2,6588
嗑,2,6588
揚,4,13175
天,4,13175
勤,2,6588
雪,2,6588
樂,2,6588
開,4,13175
陳,2,6588
害,4,13175
見,4,13175
殘,2,6588
燕,2,6588
側,2,6588
送,4,13175
屯,2,6588
他,2,6588
政,2,6588
祥,2,6588
羅,2,6588
大,18,59289
嬰,2,6588
藝,2,6588
強,4,13175
豫,2,6588
望,4,13175
回,2,6588
駕,4,13175
牢,4,13175
全,2,6588
衰,2,6588
鵲,2,6588
猬,2,6588
囚,2,6588
兌,2,6588
䵷,4,13175
貞,4,13175
鳳,2,6588
張,6,19763
豐,2,6588
卻,2,6588
欲,4,13175
姬,2,6588
卿,2,6588
蓄,2,6588
謙,2,6588
還,4,13175
惠,2,6588
使,16,52701
災,4,13175
一,4,13175
鼎,2,6588
鳥,6,19763
財,2,6588
溫,2,6588
瘦,2,6588
妺,2,6588
固,2,6588
并,4,13175
丘,2,6588
漸,2,6588
麟,2,6588
益,6,19763
孚,2,6588
蹄,2,6588
拘,4,13175
亂,4,13175
兔,4,13175
衣,4,13175
波,2,6588
人,14,46113
叔,8,26350
霸,2,6588
魯,2,6588
舞,2,6588
夜,2,6588
落,4,13175
光,2,6588
入,4,13175
逢,6,19763
黃,8,26350
終,2,6588
避,8,26350
險,4,13175
流,2,6588
思,2,6588
建,2,6588
雨,4,13175
北,8,26350
匿,2,6588
虎,8,26350
師,8,26350
穀,2,6588
孤,2,6588
闢,2,6588
放,2,6588
舌,4,13175
蒙,6,19763
完,2,6588
井,2,6588
及,2,6588
枯,2,6588
曹,2,6588
河,2,6588
淵,4,13175
民,2,6588
身,6,19763
晝,2,6588
豹,2,6588
坤,2,6588
連,2,6588
祛,2,6588
爪,2,6588
麗,2,6588
退,4,13175
休,4,13175
歷,2,6588
並,2,6588
伍,2,6588
克,2,6588
藪,2,6588
遲,2,6588
培,2,6588
久,2,6588
疆,2,6588
弱,2,6588
同,4,13175
啟,2,6588
消,2,6588
酒,2,6588
高,6,19763
室,10,32938
仲,4,13175
新,4,13175
陽,2,6588
禍,4,13175
植,2,6588
：,128,421607
作,6,19763
虛,2,6588
傾,2,6588
自,4,13175
向,2,6588
縮,2,6588
步,2,6588
免,4,13175
沙,2,6588
罷,6,19763
積,2,6588
雷,4,13175
治,2,6588
月,4,13175
驢,2,6588
尾,2,6588
漬,2,6588
遏,2,6588
嬴,2,6588
枝,2,6588
乘,4,13175
登,6,19763
義,4,13175
熊,2,6588
發,2,6588
行,8,26350
各,2,6588
貧,4,13175
多,6,19763
合,4,13175
躓,4,13175
踦,2,6588
國,14,46113
壯,4,13175
裘,2,6588
根,4,13175
俱,6,19763
極,2,6588
熱,2,6588
苦,14,46113
瘠,2,6588
裝,2,6588
起,14,46113
梏,2,6588
脫,12,39526
棄,2,6588
鳧,2,6588
教,2,6588
旅,4,13175
雌,2,6588
釋,2,6588
羊,4,13175
搔,2,6588
役,2,6588
病,2,6588
王,6,19763
需,2,6588
喪,2,6588
毀,2,6588
稷,2,6588
舉,2,6588
崩,6,19763
車,6,19763
跟,2,6588
比,2,6588
遊,8,26350
革,2,6588
廉,2,6588
賁,2,6588
縱,2,6588
仁,4,13175
息,4,13175
廓,2,6588
斧,2,6588
戰,2,6588
遽,2,6588
華,2,6588
常,2,6588
遯,2,6588
怯,2,6588
功,4,13175
潛,2,6588
舂,2,6588
吞,2,6588
設,2,6588
安,8,26350
除,2,6588
妨,2,6588
孽,2,6588
吾,4,13175
噬,2,6588
志,2,6588
求,4,13175
順,4,13175
暮,4,13175
涉,6,19763
言,4,13175
濟,6,19763
福,10,32938
飡,2,6588
臣,2,6588
嫉,2,6588
頹,2,6588
譽,2,6588
明,8,26350
骨,2,6588
堂,2,6588
塞,2,6588
邑,4,13175
隱,10,32938
羔,2,6588
跳,2,6588
機,2,6588
剝,2,6588
水,6,19763
頸,4,13175
輻,2,6588
鼓,2,6588
震,2,6588
梁,2,6588
南,8,26350
正,2,6588
陸,2,6588
山,12,39526
姤,2,6588
弘,2,6588
荷,2,6588
復,16,52701
晉,4,13175
駒,4,13175
升,2,6588
俟,2,6588
江,2,6588
離,2,6588
旦,6,19763
位,2,6588
說,2,6588
渙,2,6588
幽,2,6588
蕢,2,6588
違,2,6588
利,20,65876
遠,2,6588
冤,4,13175
榭,2,6588
共,2,6588
百,4,13175
郡,2,6588
池,4,13175
火,4,13175
好,2,6588
履,4,13175
泉,2,6588
寒,2,6588
无,38,125165
楚,2,6588
奔,4,13175
轡,2,6588
觴,2,6588
餌,2,6588
微,2,6588
仕,2,6588
坎,2,6588
觀,4,13175
艮,2,6588
潔,4,13175
遂,6,19763
葉,4,13175
進,8,26350
往,4,13175
