Character, Abs. Freq., Rel. Freq.
融,2,31949
汜,2,31949
覆,2,31949
途,8,127796
前,6,95847
非,2,31949
望,2,31949
成,8,127796
當,2,31949
陳,2,31949
胡,2,31949
再,4,63898
北,2,31949
丘,92,1469649
還,4,63898
天,2,31949
大,2,31949
牆,2,31949
溦,2,31949
阿,2,31949
偏,2,31949
防,2,31949
一,2,31949
黎,2,31949
厓,10,159744
泥,2,31949
章,2,31949
陵,8,127796
都,2,31949
旄,2,31949
瀆,2,31949
水,12,191693
銳,2,31949
滸,2,31949
為,22,351438
隈,4,63898
陶,2,31949
臨,2,31949
夷,2,31949
敦,6,95847
畢,2,31949
畝,4,63898
窮,2,31949
潦,4,63898
岸,8,127796
墳,2,31949
右,8,127796
陼,4,63898
渻,2,31949
崙,2,31949
晉,2,31949
背,2,31949
潛,2,31949
泰,2,31949
京,2,31949
絕,2,31949
中,4,63898
乘,4,63898
咸,2,31949
邐,2,31949
戴,2,31949
昌,2,31949
澤,4,63898
人,2,31949
涘,2,31949
堂,2,31949
方,2,31949
上,10,159744
淮,2,31949
沮,2,31949
崑,2,31949
外,2,31949
河,4,63898
宛,8,127796
重,2,31949
營,2,31949
梧,2,31949
迤,2,31949
埒,2,31949
高,14,223642
谷,2,31949
名,2,31949
洒,4,63898
沙,2,31949
負,2,31949
隩,4,63898
南,4,63898
正,4,63898
止,2,31949
畫,2,31949
內,2,31949
漘,2,31949
州,2,31949
定,2,31949
左,6,95847
