Character, Abs. Freq., Rel. Freq.
權,18,27726
里,10,15404
婦,10,15404
齊,2,3081
兄,4,6161
毫,2,3081
絕,12,18484
慢,2,3081
增,4,6161
災,6,9242
己,4,6161
土,2,3081
整,2,3081
管,2,3081
？,42,64695
競,2,3081
明,8,12323
情,2,3081
蓄,2,3081
寵,2,3081
試,6,9242
父,4,6161
《,12,18484
廣,4,6161
言,12,18484
待,2,3081
百,8,12323
威,2,3081
常,12,18484
左,4,6161
愆,4,6161
知,4,6161
禱,2,3081
山,2,3081
範,2,3081
爾,4,6161
福,2,3081
參,4,6161
俟,2,3081
尉,2,3081
澳,2,3081
藏,4,6161
；,60,92421
屬,2,3081
目,4,6161
建,2,3081
壁,2,3081
錢,20,30807
畿,2,3081
陟,2,3081
墜,4,6161
御,8,12323
尚,16,24646
立,8,12323
敦,10,15404
介,2,3081
一,30,46211
右,6,9242
清,6,9242
陶,2,3081
選,2,3081
處,4,6161
澹,2,3081
庶,2,3081
朝,14,21565
聞,2,3081
弊,2,3081
率,2,3081
問,12,18484
孔,2,3081
顯,2,3081
國,6,9242
執,4,6161
各,6,9242
樂,4,6161
制,32,49291
皇,12,18484
古,32,49291
弟,4,6161
抑,2,3081
示,2,3081
肉,8,12323
嗟,2,3081
舉,12,18484
記,10,15404
解,2,3081
舊,6,9242
訓,2,3081
祥,4,6161
大,18,27726
度,6,9242
優,4,6161
籍,4,6161
俗,2,3081
裁,2,3081
慎,2,3081
甚,2,3081
司,4,6161
真,2,3081
死,8,12323
治,12,18484
七,4,6161
『,2,3081
崇,8,12323
離,2,3081
買,2,3081
華,4,6161
萬,2,3081
盈,2,3081
他,2,3081
富,6,9242
說,6,9242
姦,2,3081
意,2,3081
妹,2,3081
逮,2,3081
除,2,3081
凶,2,3081
樸,2,3081
便,4,6161
備,16,24646
鑄,4,6161
校,2,3081
貴,6,9242
精,2,3081
師,6,9242
物,18,27726
實,10,15404
密,6,9242
遵,2,3081
寬,2,3081
逆,4,6161
宜,20,30807
官,20,30807
近,2,3081
反,4,6161
安,2,3081
犯,6,9242
賞,8,12323
借,2,3081
棄,2,3081
縣,12,18484
盜,6,9242
況,2,3081
欲,4,6161
欺,2,3081
輔,2,3081
責,2,3081
動,10,15404
天,26,40049
兵,6,9242
稱,4,6161
章,8,12323
放,4,6161
漢,4,6161
橈,2,3081
陽,4,6161
降,12,18484
力,4,6161
郡,14,21565
彤,2,3081
遠,6,9242
盤,2,3081
無,32,49291
拜,4,6161
脩,4,6161
違,12,18484
秦,6,9242
神,6,9242
牧,12,18484
：,92,141713
視,2,3081
吁,2,3081
務,6,9242
厥,2,3081
聽,6,9242
銖,4,6161
消,4,6161
強,2,3081
但,2,3081
聲,2,3081
人,22,33888
張,4,6161
邑,2,3081
帝,6,9242
憚,2,3081
議,8,12323
興,6,9242
命,2,3081
斬,2,3081
殺,8,12323
堅,2,3081
懲,2,3081
史,20,30807
榦,2,3081
秉,2,3081
擾,2,3081
注,4,6161
誦,2,3081
邈,2,3081
元,2,3081
祲,2,3081
縱,4,6161
惟,4,6161
田,10,15404
馬,6,9242
履,2,3081
滅,4,6161
妄,2,3081
概,2,3081
廢,8,12323
瑞,2,3081
語,4,6161
純,4,6161
秩,2,3081
登,2,3081
面,2,3081
集,2,3081
免,2,3081
太,8,12323
茲,2,3081
刺,2,3081
世,2,3081
石,4,6161
闕,4,6161
驗,2,3081
臣,2,3081
耕,2,3081
姬,2,3081
比,4,6161
論,4,6161
求,8,12323
使,6,9242
避,18,27726
武,10,15404
都,2,3081
異,18,27726
方,6,9242
殷,2,3081
弱,2,3081
盛,2,3081
斷,2,3081
申,2,3081
跖,2,3081
滯,2,3081
匪,2,3081
惡,10,15404
月,6,9242
伎,2,3081
靡,2,3081
積,4,6161
南,2,3081
公,14,21565
守,2,3081
卿,4,6161
市,6,9242
宅,2,3081
書,34,52372
主,6,9242
職,8,12323
霜,2,3081
流,2,3081
祀,18,27726
枝,2,3081
罰,4,6161
貶,4,6161
宮,2,3081
固,4,6161
爭,2,3081
廉,4,6161
約,10,15404
文,4,6161
性,4,6161
聖,4,6161
功,14,21565
勸,4,6161
牛,2,3081
吉,2,3081
終,2,3081
好,2,3081
斯,8,12323
楚,2,3081
依,8,12323
事,50,77018
沒,2,3081
應,6,9242
政,6,9242
從,8,12323
水,2,3081
學,10,15404
昔,2,3081
貨,6,9242
尤,2,3081
科,6,9242
定,14,21565
夷,4,6161
寢,2,3081
豐,8,12323
作,8,12323
省,2,3081
紂,2,3081
傳,4,6161
通,8,12323
磨,2,3081
枉,2,3081
輸,4,6161
寇,4,6161
儀,4,6161
彌,2,3081
敗,2,3081
食,6,9242
存,4,6161
專,10,15404
厭,2,3081
統,6,9242
匱,8,12323
罪,12,18484
沴,2,3081
貿,2,3081
易,12,18484
列,4,6161
爵,2,3081
惠,2,3081
法,18,27726
蔓,2,3081
果,2,3081
上,8,12323
極,6,9242
充,2,3081
士,10,15404
憂,2,3081
內,18,27726
蒐,2,3081
望,2,3081
孰,2,3081
經,6,9242
臧,2,3081
狩,2,3081
察,4,6161
鼎,2,3081
玩,2,3081
稠,2,3081
恤,2,3081
平,2,3081
令,6,9242
屢,2,3081
」,92,141713
穀,2,3081
誰,6,9242
急,2,3081
野,4,6161
嗣,2,3081
奢,2,3081
害,4,6161
補,2,3081
男,2,3081
小,6,9242
纖,2,3081
止,2,3081
最,2,3081
遺,2,3081
加,2,3081
用,20,30807
外,6,9242
譽,4,6161
滋,2,3081
偽,4,6161
女,4,6161
勢,8,12323
瀆,2,3081
起,4,6161
復,22,33888
刑,34,52372
拘,4,6161
信,4,6161
進,4,6161
峻,4,6161
設,4,6161
京,4,6161
荒,2,3081
損,2,3081
王,20,30807
庚,2,3081
創,2,3081
湯,2,3081
忘,2,3081
散,4,6161
戰,6,9242
思,4,6161
化,8,12323
廟,2,3081
相,4,6161
收,6,9242
趾,2,3081
虛,8,12323
報,6,9242
赦,4,6161
麗,2,3081
否,4,6161
海,4,6161
井,4,6161
乙,2,3081
質,2,3081
財,2,3081
嶽,2,3081
居,2,3081
毀,2,3081
蓋,2,3081
全,2,3081
瘁,2,3081
年,4,6161
利,6,9242
訟,4,6161
軍,2,3081
洪,2,3081
考,14,21565
踰,2,3081
紛,4,6161
智,2,3081
私,8,12323
即,2,3081
邪,2,3081
盡,4,6161
陷,2,3081
典,18,27726
本,8,12323
教,24,36969
今,30,46211
』,2,3081
數,2,3081
吾,2,3081
難,14,21565
「,100,154036
唐,2,3081
嚮,2,3081
葉,2,3081
仲,6,9242
業,6,9242
祿,20,30807
隆,2,3081
順,4,6161
柄,2,3081
益,6,9242
禍,2,3081
革,4,6161
患,2,3081
淫,8,12323
殄,2,3081
禁,16,24646
告,2,3081
浮,2,3081
夏,2,3081
靜,6,9242
開,2,3081
千,10,15404
撫,4,6161
尼,6,9242
陰,4,6161
退,2,3081
名,4,6161
熙,2,3081
敘,2,3081
初,6,9242
總,2,3081
博,12,18484
隱,4,6161
鮮,2,3081
序,2,3081
及,2,3081
每,2,3081
州,8,12323
偷,2,3081
掌,10,15404
末,4,6161
道,16,24646
輕,4,6161
首,6,9242
詭,2,3081
咸,2,3081
奚,2,3081
圖,2,3081
折,2,3081
造,2,3081
宗,2,3081
獻,2,3081
周,10,15404
俱,2,3081
遷,4,6161
象,4,6161
失,2,3081
覆,2,3081
冰,2,3081
曠,2,3081
亂,12,18484
路,2,3081
榮,2,3081
侯,10,15404
招,2,3081
凌,2,3081
別,2,3081
民,66,101664
交,2,3081
惜,2,3081
孝,2,3081
地,8,12323
諸,18,27726
戎,2,3081
妖,2,3081
黜,2,3081
奇,2,3081
間,2,3081
式,4,6161
傷,4,6161
講,2,3081
覽,2,3081
雲,2,3081
歸,4,6161
賊,2,3081
懼,2,3081
節,4,6161
改,2,3081
同,6,9242
昭,4,6161
讎,16,24646
巽,2,3081
限,2,3081
為,26,40049
久,2,3081
任,4,6161
誠,2,3081
正,16,24646
八,4,6161
深,2,3081
后,2,3081
閑,2,3081
見,4,6161
非,24,36969
緝,2,3081
鳥,6,9242
善,8,12323
封,4,6161
漸,4,6161
怪,2,3081
》,12,18484
要,6,9242
量,4,6161
等,2,3081
德,10,15404
遂,2,3081
繁,4,6161
保,2,3081
簡,8,12323
行,34,52372
位,12,18484
君,6,9242
綱,2,3081
監,4,6161
寸,4,6161
息,8,12323
績,2,3081
釐,2,3081
義,22,33888
冗,2,3081
將,4,6161
乘,2,3081
時,22,33888
生,18,27726
紀,4,6161
置,8,12323
成,8,12323
羅,4,6161
源,2,3081
略,2,3081
秋,2,3081
賢,4,6161
並,6,9242
桀,2,3081
屋,2,3081
賓,2,3081
堪,2,3081
致,4,6161
日,12,18484
宄,2,3081
辱,2,3081
家,16,24646
載,4,6161
貪,6,9242
幾,2,3081
賣,2,3081
自,8,12323
禮,16,24646
絀,4,6161
春,2,3081
摭,2,3081
飾,4,6161
奸,2,3081
寡,18,27726
勿,6,9242
茂,2,3081
重,14,21565
來,4,6161
忌,2,3081
云,2,3081
尺,4,6161
