Character, Abs. Freq., Rel. Freq.
降,4,4718
爾,6,7077
廢,2,2359
檷,4,4718
列,2,2359
缺,2,2359
迨,2,2359
禮,92,108516
本,4,4718
遺,4,4718
化,4,4718
周,4,4718
孫,2,2359
計,2,2359
光,2,2359
偶,14,16513
左,2,2359
時,22,25950
日,8,9436
臣,14,16513
乘,2,2359
顯,2,2359
姑,8,9436
惡,10,11795
受,2,2359
攝,4,4718
滿,4,4718
猶,2,2359
雉,2,2359
率,2,2359
原,2,2359
祿,2,2359
倫,6,7077
善,4,4718
學,10,11795
到,2,2359
稱,30,35386
知,8,9436
煞,2,2359
堅,2,2359
姬,18,21231
虧,2,2359
他,4,4718
聽,2,2359
閉,2,2359
姻,4,4718
百,2,2359
侯,46,54258
媵,8,9436
衿,2,2359
賓,4,4718
具,2,2359
防,12,14154
沒,2,2359
！,2,2359
》,108,127389
陽,46,54258
扶,6,7077
節,10,11795
州,2,2359
貺,8,9436
免,2,2359
示,16,18872
西,4,4718
名,8,9436
七,12,14154
嫌,2,2359
隨,4,4718
孔,2,2359
氣,2,2359
御,6,7077
纁,6,7077
施,12,14154
掃,2,2359
須,2,2359
夏,2,2359
友,2,2359
貴,8,9436
盥,2,2359
輪,2,2359
韓,2,2359
恥,6,7077
庶,6,7077
致,4,4718
屬,4,4718
畿,2,2359
乞,2,2359
傳,30,35386
記,8,9436
京,6,7077
多,2,2359
「,132,155697
弟,8,9436
羊,4,4718
應,2,2359
刑,2,2359
妒,4,4718
趣,2,2359
端,2,2359
恐,4,4718
茲,2,2359
祥,6,7077
海,2,2359
辭,8,9436
氤,2,2359
納,26,30668
人,128,150979
詞,10,11795
往,10,11795
郭,2,2359
奪,2,2359
卜,8,9436
閫,2,2359
吳,4,4718
寡,4,4718
中,4,4718
漱,2,2359
數,22,25950
親,38,44822
王,18,21231
禽,2,2359
開,4,4718
陰,44,51899
公,8,9436
為,66,77849
車,4,4718
舊,2,2359
燕,2,2359
絕,10,11795
漸,2,2359
叔,10,11795
終,6,7077
論,4,4718
雁,6,7077
淫,10,11795
邦,4,4718
衰,8,9436
婦,48,56617
櫛,2,2359
宜,2,2359
喪,12,14154
敬,10,11795
長,8,9436
間,2,2359
嗜,2,2359
行,16,18872
官,2,2359
妃,4,4718
群,2,2359
揖,2,2359
大,44,51899
賀,2,2359
骨,4,4718
歸,10,11795
心,10,11795
昏,18,21231
雲,2,2359
：,148,174569
仁,2,2359
謹,2,2359
築,8,9436
任,10,11795
膚,2,2359
誰,4,4718
師,10,11795
令,2,2359
比,2,2359
欲,6,7077
助,2,2359
功,8,9436
悖,2,2359
愈,2,2359
地,14,16513
？,84,99080
期,6,7077
各,4,4718
月,14,16513
重,18,21231
博,2,2359
襟,2,2359
殺,2,2359
繼,8,9436
充,2,2359
定,10,11795
南,2,2359
升,6,7077
稽,2,2359
樂,2,2359
因,4,4718
筋,2,2359
束,6,7077
玄,6,7077
淳,2,2359
兩,4,4718
明,36,42463
后,6,7077
保,4,4718
娶,92,108516
合,4,4718
盈,2,2359
諸,36,42463
冰,2,2359
灑,2,2359
德,8,9436
常,2,2359
『,2,2359
惠,2,2359
家,20,23590
篡,2,2359
服,10,11795
加,14,16513
祭,8,9436
舅,8,9436
特,2,2359
性,4,4718
飽,2,2359
吉,6,7077
感,4,4718
寢,8,9436
告,12,14154
恩,2,2359
綏,6,7077
嫁,52,61335
老,6,7077
再,14,16513
及,8,9436
葬,4,4718
體,6,7077
阜,2,2359
厭,2,2359
繡,2,2359
愚,2,2359
政,2,2359
姓,16,18872
違,4,4718
度,2,2359
夜,6,7077
紀,16,18872
孟,2,2359
非,8,9436
門,4,4718
鴈,6,7077
盡,2,2359
字,4,4718
」,132,155697
買,2,2359
承,12,14154
氳,2,2359
迎,24,28309
夙,6,7077
交,12,14154
己,6,7077
正,2,2359
幼,6,7077
妾,32,37745
厥,6,7077
否,4,4718
質,2,2359
即,2,2359
繫,10,11795
惟,4,4718
強,2,2359
童,6,7077
業,2,2359
《,108,127389
等,2,2359
越,2,2359
首,2,2359
會,4,4718
舟,2,2359
女,104,122670
封,12,14154
改,4,4718
嫡,10,11795
我,4,4718
序,6,7077
獸,2,2359
答,4,4718
云,18,21231
成,30,35386
顧,4,4718
渭,6,7077
說,2,2359
賢,8,9436
用,10,11795
雞,2,2359
相,18,21231
外,8,9436
聞,2,2359
益,2,2359
蓋,2,2359
處,2,2359
求,6,7077
遠,2,2359
志,2,2359
盛,2,2359
順,2,2359
法,12,14154
將,4,4718
安,2,2359
鳴,2,2359
牲,2,2359
疾,2,2359
當,6,7077
肌,2,2359
庭,4,4718
；,20,23590
譏,6,7077
秋,28,33027
似,2,2359
縱,2,2359
一,42,49540
嫉,4,4718
恭,2,2359
謙,4,4718
同,26,30668
小,24,28309
輔,2,2359
賤,10,11795
授,6,7077
萬,10,11795
少,4,4718
待,4,4718
梁,4,4718
諾,6,7077
朋,2,2359
增,2,2359
棄,2,2359
階,6,7077
鞶,4,4718
君,42,49540
主,18,21231
配,2,2359
國,52,61335
笄,8,9436
匪,2,2359
許,10,11795
儀,2,2359
物,12,14154
命,32,37745
促,4,4718
無,36,42463
祖,2,2359
席,2,2359
道,18,21231
父,58,68412
客,2,2359
絲,2,2359
執,2,2359
仲,2,2359
室,12,14154
傷,2,2359
聘,12,14154
堪,2,2359
郊,2,2359
舉,2,2359
誡,8,9436
典,2,2359
選,2,2359
尊,42,49540
右,2,2359
請,14,16513
異,8,9436
內,16,18872
勉,2,2359
捨,2,2359
倡,2,2359
問,10,11795
嗣,14,16513
舒,6,7077
城,2,2359
妁,2,2359
齒,4,4718
』,2,2359
備,12,14154
妣,2,2359
身,2,2359
觀,4,4718
擇,2,2359
蒙,2,2359
結,2,2359
姆,6,7077
入,6,7077
妹,2,2359
視,2,2359
婚,16,18872
歲,8,9436
離,10,11795
共,4,4718
母,46,54258
侄,12,14154
蠢,2,2359
智,2,2359
阼,2,2359
和,4,4718
預,2,2359
食,2,2359
爵,4,4718
幣,2,2359
疋,2,2359
季,2,2359
隱,2,2359
生,12,14154
就,6,7077
卿,6,7077
北,6,7077
聖,2,2359
言,12,14154
酒,2,2359
暖,2,2359
遣,4,4718
婿,14,16513
精,2,2359
齊,6,7077
通,2,2359
醮,2,2359
文,10,11795
帨,2,2359
飛,2,2359
綱,2,2359
惻,2,2359
佚,6,7077
情,4,4718
傅,6,7077
接,8,9436
爛,2,2359
血,2,2359
毀,4,4718
奠,4,4718
春,34,40104
兄,8,9436
族,2,2359
專,14,16513
世,8,9436
俱,4,4718
卒,4,4718
宮,4,4718
初,4,4718
廟,16,18872
某,32,37745
贄,6,7077
閨,2,2359
脈,2,2359
衣,2,2359
總,2,2359
從,22,25950
曾,6,7077
色,4,4718
類,2,2359
氏,10,11795
但,2,2359
拜,4,4718
敢,18,21231
愆,2,2359
還,2,2359
天,50,58976
廣,8,9436
忘,4,4718
面,4,4718
年,10,11795
止,4,4718
薄,2,2359
衽,2,2359
士,18,21231
代,4,4718
吊,4,4718
八,14,16513
系,6,7077
經,14,16513
聲,2,2359
宗,20,23590
逆,4,4718
娣,20,23590
詩,18,21231
兼,2,2359
進,2,2359
皮,10,11795
思,4,4718
徵,10,11795
新,2,2359
奇,8,9436
例,2,2359
火,2,2359
立,6,7077
妻,28,33027
對,2,2359
衍,2,2359
更,10,11795
男,36,42463
易,2,2359
媒,4,4718
教,8,9436
肉,4,4718
吾,10,11795
失,2,2359
曲,4,4718
義,28,33027
復,4,4718
卑,10,11795
語,4,4718
泆,4,4718
宋,2,2359
送,4,4718
帛,6,7077
居,2,2359
亂,6,7077
歿,4,4718
事,30,35386
見,10,11795
適,12,14154
伯,10,11795
踰,2,2359
冠,4,4718
死,16,18872
朝,8,9436
實,4,4718
路,4,4718
咸,2,2359
緦,2,2359
房,6,7077
歡,2,2359
造,2,2359
壯,4,4718
采,10,11795
來,8,9436
設,4,4718
自,26,30668
威,2,2359
上,6,7077
手,2,2359
祁,4,4718
支,2,2359
使,34,40104
