Character, Abs. Freq., Rel. Freq.
正,14,16770
鼓,18,21562
季,2,2396
長,8,9583
谷,2,2396
貴,14,16770
明,28,33541
聽,8,9583
護,6,7187
鄭,8,9583
最,2,2396
暮,4,4792
擇,2,2396
倡,2,2396
北,20,23958
歌,20,23958
屈,4,4792
喜,16,19166
徵,10,11979
像,8,9583
奮,2,2396
性,4,4792
喪,2,2396
化,8,9583
輔,2,2396
心,8,9583
庶,2,2396
伐,2,2396
繼,6,7187
總,2,2396
助,10,11979
僻,2,2396
鄉,4,4792
受,4,4792
當,8,9583
塤,12,14375
」,76,91040
桑,2,2396
黨,2,2396
多,2,2396
門,8,9583
前,4,4792
味,2,2396
王,56,67082
地,26,31145
容,6,7187
征,2,2396
文,22,26354
開,2,2396
離,8,9583
書,12,14375
合,14,16770
蓋,2,2396
克,2,2396
族,2,2396
即,8,9583
殷,12,14375
羽,16,19166
各,2,2396
雨,2,2396
夷,70,83852
仰,2,2396
章,6,7187
貌,2,2396
偃,2,2396
思,4,4792
復,4,4792
令,2,2396
蒸,2,2396
會,2,2396
事,10,11979
云,2,2396
恐,2,2396
加,2,2396
道,36,43124
持,14,16770
蜎,2,2396
！,4,4792
禹,8,9583
干,8,9583
差,2,2396
讓,10,11979
風,10,11979
終,6,7187
意,4,4792
人,52,62290
題,2,2396
本,14,16770
奢,4,4792
懲,2,2396
周,12,14375
敔,8,9583
孔,6,7187
殘,2,2396
雷,2,2396
非,10,11979
懌,2,2396
臣,14,16770
賊,2,2396
兆,2,2396
調,8,9583
執,4,4792
惻,2,2396
升,2,2396
？,62,74269
月,6,7187
因,4,4792
考,4,4792
饒,2,2396
衰,4,4792
色,2,2396
順,16,19166
慮,2,2396
謙,4,4792
誤,2,2396
邪,8,9583
鈇,2,2396
假,2,2396
艮,2,2396
聲,58,69478
戛,2,2396
鏘,2,2396
莖,6,7187
數,14,16770
搏,6,7187
習,2,2396
勳,4,4792
湯,8,9583
擊,4,4792
惟,2,2396
敬,6,7187
同,12,14375
父,6,7187
崇,4,4792
祖,6,7187
夏,6,7187
無,22,26354
旦,2,2396
絃,6,7187
整,2,2396
節,24,28749
隨,2,2396
卯,2,2396
象,16,19166
淨,2,2396
見,4,4792
央,2,2396
朝,4,4792
疑,2,2396
趾,2,2396
酌,6,7187
萬,52,62290
管,6,7187
濡,2,2396
簡,4,4792
問,4,4792
俯,2,2396
民,22,26354
易,14,16770
盛,18,21562
佾,16,19166
美,2,2396
昧,6,7187
君,24,28749
相,12,14375
戚,8,9583
新,2,2396
上,22,26354
列,6,7187
