Character, Abs. Freq., Rel. Freq.
簠,2,2162
薦,2,2162
辟,4,4323
公,54,58366
升,18,19455
前,6,6485
婦,12,12970
功,26,28102
即,4,4323
重,10,10808
免,4,4323
設,6,6485
邇,2,2162
酳,4,4323
兵,6,6485
入,26,28102
哀,6,6485
親,14,15132
敢,10,10808
客,4,4323
柩,8,8647
情,2,2162
玉,2,2162
？,126,136187
間,2,2162
聽,4,4323
遍,6,6485
慈,12,12970
徹,2,2162
歸,16,17294
姓,2,2162
俟,2,2162
欲,2,2162
執,6,6485
從,24,25940
祫,4,4323
雨,4,4323
絰,2,2162
初,6,6485
殺,2,2162
昭,6,6485
康,6,6485
杖,6,6485
虛,6,6485
機,2,2162
逆,2,2162
殤,18,19455
忍,4,4323
祭,114,123217
蓋,4,4323
尊,6,6485
圭,2,2162
氏,8,8647
棺,6,6485
薨,18,19455
世,8,8647
太,2,2162
家,20,21617
除,20,21617
驅,2,2162
陰,6,6485
縞,2,2162
俎,6,6485
聃,16,17294
數,2,2162
相,14,15132
菲,4,4323
送,2,2162
陳,6,6485
途,4,4323
利,4,4323
斯,2,2162
崩,14,15132
啟,8,8647
今,12,12970
宗,38,41072
吾,14,15132
思,4,4323
几,2,2162
患,4,4323
法,2,2162
位,12,12970
共,2,2162
』,32,34587
賜,4,4323
及,14,15132
群,6,6485
齊,26,28102
改,10,10808
外,8,8647
車,4,4323
諸,40,43234
祝,34,36749
聞,20,21617
祀,8,8647
上,6,6485
禰,16,17294
告,36,38911
讓,6,6485
卿,14,15132
樂,2,2162
袒,2,2162
接,2,2162
義,6,6485
醮,2,2162
各,4,4323
兄,6,6485
稷,6,6485
飾,2,2162
金,4,4323
孔,108,116732
國,20,21617
昏,4,4323
皇,2,2162
姑,2,2162
識,2,2162
失,6,6485
請,12,12970
反,36,38911
一,4,4323
當,6,6485
君,58,62689
遲,2,2162
比,2,2162
主,52,56204
自,40,43234
館,18,19455
止,6,6485
豆,4,4323
醴,4,4323
禮,74,79983
日,44,47557
藏,6,6485
廟,52,56204
痁,2,2162
牲,8,8647
「,212,229140
人,38,41072
服,46,49719
朝,18,19455
許,2,2162
安,2,2162
帛,4,4323
夜,2,2162
衛,4,4323
適,4,4323
無,42,45396
特,2,2162
宰,14,15132
練,10,10808
孤,6,6485
疏,2,2162
獻,2,2162
趨,2,2162
祔,4,4323
襲,2,2162
等,2,2162
異,2,2162
用,4,4323
色,4,4323
園,2,2162
徒,2,2162
門,10,10808
封,4,4323
哭,32,34587
弁,6,6485
賓,10,10808
稱,12,12970
息,2,2162
禘,4,4323
誄,8,8647
待,2,2162
月,4,4323
嘗,4,4323
陽,6,6485
輿,2,2162
布,4,4323
擇,2,2162
堩,4,4323
燭,2,2162
遺,2,2162
興,2,2162
爵,2,2162
堂,2,2162
介,4,4323
年,16,17294
使,22,23779
北,8,8647
常,4,4323
非,20,21617
孝,8,8647
某,20,21617
七,6,6485
遠,4,4323
兩,2,2162
受,2,2162
西,12,12970
巷,2,2162
曾,80,86468
行,50,54042
引,6,6485
土,4,4323
男,4,4323
游,4,4323
舍,14,15132
夏,6,6485
否,6,6485
臣,6,6485
致,8,8647
伯,8,8647
早,2,2162
賤,2,2162
墓,8,8647
誣,2,2162
首,2,2162
配,2,2162
昔,14,15132
燕,2,2162
見,22,23779
：,252,272374
納,2,2162
死,28,30264
為,36,38911
罪,4,4323
周,6,6485
帥,2,2162
疆,2,2162
斬,8,8647
丘,4,4323
王,4,4323
變,4,4323
奪,4,4323
弟,6,6485
侯,26,28102
離,2,2162
私,10,10808
命,26,28102
書,2,2162
亟,2,2162
鼎,2,2162
階,16,17294
肵,2,2162
身,4,4323
傅,2,2162
救,4,4323
貴,4,4323
制,4,4323
酒,2,2162
成,16,17294
老,18,19455
母,52,56204
東,10,10808
就,4,4323
天,46,49719
女,36,38911
廢,24,25940
佚,8,8647
》,2,2162
友,2,2162
幼,4,4323
輕,10,10808
攝,4,4323
立,6,6485
方,4,4323
宮,2,2162
幾,6,6485
示,2,2162
長,2,2162
尸,18,19455
遷,8,8647
魯,10,10808
逐,2,2162
式,2,2162
山,8,8647
稽,4,4323
善,2,2162
名,8,8647
酢,6,6485
逮,4,4323
假,2,2162
小,14,15132
舉,18,19455
勿,2,2162
禽,2,2162
阼,2,2162
麻,2,2162
郊,4,4323
說,2,2162
喪,114,123217
季,4,4323
」,212,229140
每,2,2162
拜,6,6485
居,8,8647
師,6,6485
明,2,2162
諾,2,2162
吊,16,17294
衣,4,4323
望,2,2162
南,4,4323
黨,4,4323
擯,2,2162
奔,2,2162
葬,32,34587
孫,8,8647
飯,4,4323
『,32,34587
奉,6,6485
面,8,8647
殷,10,10808
官,4,4323
幣,12,12970
籩,2,2162
革,4,4323
緦,6,6485
節,2,2162
遭,2,2162
嗣,4,4323
中,8,8647
來,2,2162
冕,10,10808
迎,6,6485
載,4,4323
內,10,10808
殯,24,25940
隅,2,2162
因,2,2162
庶,10,10808
衰,36,38911
總,2,2162
饌,2,2162
沾,4,4323
問,94,101600
蹕,2,2162
耳,6,6485
抱,2,2162
父,44,47557
《,2,2162
顙,4,4323
助,4,4323
卒,8,8647
踴,8,8647
容,4,4323
！,16,17294
食,18,19455
士,26,28102
教,2,2162
云,4,4323
毋,2,2162
冠,28,30264
桓,6,6485
社,10,10808
婿,22,23779
皮,2,2162
大,84,90791
聲,4,4323
言,6,6485
右,4,4323
生,6,6485
期,2,2162
掃,4,4323
綏,2,2162
良,2,2162
他,6,6485
宿,4,4323
終,6,6485
少,4,4323
火,12,12970
地,2,2162
往,4,4323
并,2,2162
事,38,41072
守,2,2162
靈,2,2162
奠,42,45396
召,4,4323
將,10,10808
暮,2,2162
司,10,10808
鄉,2,2162
巡,2,2162
畢,2,2162
室,6,6485
復,10,10808
知,8,8647
亂,2,2162
授,2,2162
后,2,2162
；,62,67013
記,2,2162
嫁,6,6485
戒,2,2162
朋,2,2162
同,2,2162
肉,2,2162
辭,8,8647
裨,4,4323
沒,4,4323
星,4,4323
玄,2,2162
修,2,2162
饗,2,2162
揖,6,6485
虞,2,2162
史,16,17294
深,2,2162
作,2,2162
白,2,2162
夕,6,6485
闕,2,2162
遂,12,12970
川,8,8647
壇,2,2162
束,2,2162
祥,4,4323
古,12,12970
盡,4,4323
斂,6,6485
饋,4,4323
椑,2,2162
道,6,6485
時,10,10808
偽,2,2162
祖,16,17294
旅,12,12970
豈,6,6485
厭,18,19455
吉,6,6485
房,6,6485
簋,2,2162
酬,8,8647
侑,4,4323
視,4,4323
降,4,4323
辯,2,2162
涂,4,4323
叔,2,2162
