Character, Abs. Freq., Rel. Freq.
寸,2,33445
抱,2,33445
各,2,33445
貴,2,33445
容,2,33445
手,2,33445
曲,2,33445
易,2,33445
相,2,33445
《,2,33445
衽,2,33445
制,4,66890
：,4,66890
髀,2,33445
廣,2,33445
續,2,33445
」,2,33445
規,8,133779
反,2,33445
具,4,66890
踝,2,33445
緣,2,33445
縫,2,33445
父,6,100334
義,2,33445
母,6,100334
當,2,33445
半,4,66890
方,8,133779
純,10,167224
詘,2,33445
為,6,100334
帶,2,33445
袂,6,100334
坤,2,33445
無,4,66890
舉,2,33445
骨,2,33445
齊,4,66890
行,2,33445
脅,2,33445
聖,2,33445
矩,6,100334
要,2,33445
應,12,200669
權,8,133779
衣,10,167224
土,2,33445
志,2,33445
及,4,66890
旅,2,33445
軍,2,33445
青,2,33445
古,2,33445
法,2,33445
人,2,33445
平,6,100334
厭,4,66890
完,2,33445
擯,2,33445
繢,2,33445
月,2,33445
文,2,33445
袷,2,33445
私,2,33445
袼,2,33445
圜,2,33445
幅,2,33445
上,2,33445
高,2,33445
邊,4,66890
王,2,33445
》,2,33445
治,2,33445
素,2,33445
深,2,33445
短,4,66890
政,2,33445
繩,8,133779
長,4,66890
運,2,33445
鉤,2,33445
「,2,33445
蓋,2,33445
費,2,33445
衡,8,133779
施,2,33445
膚,2,33445
毋,8,133779
負,4,66890
直,8,133779
武,2,33445
善,2,33445
孤,2,33445
心,2,33445
度,2,33445
安,2,33445
大,2,33445
服,2,33445
動,2,33445
肘,4,66890
；,16,267559
被,2,33445
見,2,33445
