Character, Abs. Freq., Rel. Freq.
厚,4,14937
體,2,7468
侍,2,7468
春,8,29873
質,2,7468
大,2,7468
食,4,14937
左,4,14937
終,12,44810
飲,16,59746
務,2,7468
士,2,7468
獻,6,22405
狗,2,7468
間,4,14937
安,12,44810
庠,2,7468
祖,4,14937
數,4,14937
朝,4,14937
齒,2,7468
役,2,7468
拜,18,67214
夏,4,14937
席,6,22405
別,2,7468
亂,6,22405
介,20,74683
政,6,22405
察,2,7468
為,14,52278
愁,4,14937
相,2,7468
遺,4,14937
象,18,67214
建,2,7468
鄉,22,82151
玄,4,14937
物,6,22405
阼,2,7468
聖,12,44810
偝,2,7468
豆,10,37341
秋,4,14937
射,2,7468
孝,8,29873
歌,4,14937
蠢,4,14937
光,6,22405
方,16,59746
酬,8,29873
爵,2,7468
揖,4,14937
設,2,7468
貴,8,29873
備,2,7468
洗,12,44810
慢,4,14937
和,4,14937
燕,4,14937
北,12,44810
明,6,22405
中,4,14937
八,2,7468
賓,48,179238
七,2,7468
知,12,44810
酢,2,7468
酒,18,67214
迎,2,7468
人,44,164302
遂,4,14937
老,6,22405
義,20,74683
陽,4,14937
從,2,7468
吾,4,14937
養,8,29873
非,6,22405
賤,6,22405
：,12,44810
速,2,7468
右,2,7468
入,12,44810
當,2,7468
暴,2,7468
孔,2,7468
說,2,7468
爭,6,22405
合,4,14937
俎,2,7468
制,4,14937
「,4,14937
經,2,7468
潔,8,29873
樂,8,29873
家,2,7468
屨,2,7468
祭,6,22405
外,4,14937
南,12,44810
無,8,29873
房,4,14937
及,6,22405
海,2,7468
僎,6,22405
成,12,44810
自,8,29873
戶,2,7468
產,6,22405
夕,2,7468
事,4,14937
殺,4,14937
氣,14,52278
尊,22,82151
面,2,7468
發,2,7468
嘗,2,7468
接,8,29873
羞,2,7468
諸,2,7468
長,16,59746
受,4,14937
嚴,4,14937
教,12,44810
聽,2,7468
幼,2,7468
坐,18,67214
鬬,4,14937
藏,4,14937
辨,8,29873
國,8,29873
紀,2,7468
時,6,22405
省,2,7468
行,6,22405
肺,2,7468
讓,18,67214
西,14,52278
本,6,22405
告,2,7468
繁,2,7468
專,4,14937
致,8,29873
末,2,7468
古,4,14937
居,2,7468
禮,28,104556
日,10,37341
廢,4,14937
辭,2,7468
見,2,7468
沃,2,7468
揚,4,14937
輔,4,14937
學,2,7468
立,20,74683
財,6,22405
隆,4,14937
假,4,14937
斯,2,7468
仁,8,29873
言,14,52278
地,20,74683
君,10,37341
溫,2,7468
弟,10,37341
盥,2,7468
修,2,7468
節,6,22405
造,2,7468
遠,2,7468
主,40,149365
升,10,37341
觶,6,22405
東,26,97087
」,4,14937
天,24,89619
盛,6,22405
卒,2,7468
忘,2,7468
少,2,7468
民,8,29873
門,4,14937
上,4,14937
術,2,7468
文,2,7468
冬,4,14937
一,2,7468
流,4,14937
階,6,22405
亨,2,7468
免,2,7468
薦,2,7468
參,4,14937
笙,2,7468
觀,4,14937
共,4,14937
卿,2,7468
嚌,2,7468
易,8,29873
水,2,7468
王,4,14937
送,4,14937
萬,6,22405
德,8,29873
道,8,29873
司,2,7468
；,22,82151
守,2,7468
正,6,22405
禍,4,14937
榮,2,7468
敬,12,44810
身,6,22405
啐,2,7468
月,10,37341
將,4,14937
降,4,14937
親,2,7468
凝,2,7468
實,2,7468
作,2,7468
魄,4,14937
陰,2,7468
工,4,14937
