Character, Abs. Freq., Rel. Freq.
告,2,59524
山,2,59524
月,6,178571
廟,2,59524
美,2,59524
使,2,59524
父,2,59524
戌,2,59524
己,2,59524
南,2,59524
讓,2,59524
命,6,178571
正,2,59524
太,2,59524
晉,2,59524
一,2,59524
冢,2,59524
廬,2,59524
夏,2,59524
康,4,119048
甲,2,59524
錫,4,119048
元,2,59524
宰,2,59524
百,2,59524
薨,8,238095
懿,2,59524
侯,6,178571
豐,4,119048
齊,4,119048
總,2,59524
公,10,297619
歌,2,59524
官,4,119048
禘,2,59524
狩,2,59524
定,2,59524
年,20,595238
闕,2,59524
巡,2,59524
諸,2,59524
戒,2,59524
門,2,59524
即,2,59524
唐,2,59524
吉,2,59524
申,4,119048
人,2,59524
茅,2,59524
畢,2,59524
作,2,59524
江,2,59524
召,4,119048
壬,2,59524
陟,2,59524
遷,2,59524
魯,4,119048
伋,2,59524
樂,2,59524
禽,2,59524
築,2,59524
王,12,357143
秋,4,119048
宮,4,119048
位,2,59524
農,2,59524
毛,2,59524
朝,2,59524
春,2,59524
