Character, Abs. Freq., Rel. Freq.
敗,2,4058
勸,2,4058
電,6,12175
內,4,8117
功,22,44643
鉉,2,4058
世,2,4058
使,2,4058
難,4,8117
靡,2,4058
族,2,4058
息,2,4058
名,2,4058
野,4,8117
謀,2,4058
境,6,12175
勢,6,12175
獨,16,32468
生,6,12175
君,8,16234
聖,2,4058
積,6,12175
楫,2,4058
遠,8,16234
具,4,8117
域,2,4058
？,2,4058
狀,2,4058
毀,6,12175
木,4,8117
令,24,48701
雄,2,4058
險,8,16234
為,24,48701
寶,8,16234
姦,8,16234
女,4,8117
械,8,16234
教,20,40584
試,4,8117
耳,2,4058
長,4,8117
寡,2,4058
陳,6,12175
發,2,4058
匿,6,12175
蓋,24,48701
旱,4,8117
恃,4,8117
斷,2,4058
蚤,4,8117
處,4,8117
救,4,8117
刑,2,4058
成,8,16234
辟,8,16234
官,10,20292
水,12,24351
決,8,16234
曲,2,4058
風,6,12175
育,8,16234
散,4,8117
寒,2,4058
道,10,20292
工,10,20292
動,2,4058
城,4,8117
雷,6,12175
稷,4,8117
罪,8,16234
規,2,4058
和,4,8117
反,2,4058
秋,2,4058
情,4,8117
目,2,4058
斗,2,4058
「,8,16234
擊,10,20292
居,6,12175
尊,2,4058
移,4,8117
致,8,16234
倍,2,4058
精,4,8117
數,32,64935
畜,6,12175
論,12,24351
軍,4,8117
順,4,8117
獸,2,4058
律,2,4058
懷,2,4058
比,2,4058
傷,20,40584
輪,2,4058
雕,2,4058
右,14,28409
泄,4,8117
圖,2,4058
忘,2,4058
流,6,12175
加,2,4058
便,2,4058
憲,2,4058
招,2,4058
士,30,60877
少,6,12175
疏,2,4058
甚,2,4058
厚,2,4058
繩,2,4058
山,4,8117
久,4,8117
塞,8,16234
速,2,4058
聚,4,8117
奪,2,4058
上,16,32468
常,4,8117
舉,12,24351
剛,2,4058
勝,40,81169
暑,2,4058
竭,2,4058
賢,2,4058
命,2,4058
列,2,4058
時,8,16234
機,12,24351
窺,2,4058
地,16,32468
權,2,4058
敵,44,89286
廢,6,12175
臣,4,8117
兵,38,77110
：,20,40584
嚮,2,4058
隱,2,4058
畫,2,4058
財,12,24351
變,6,12175
敢,8,16234
存,16,32468
服,12,24351
拘,2,4058
重,20,40584
心,10,20292
經,4,8117
似,2,4058
明,44,89286
誠,2,4058
籍,2,4058
貨,6,12175
戰,16,32468
虛,2,4058
蓄,6,12175
土,2,4058
續,2,4058
進,4,8117
檐,2,4058
開,4,8117
寸,2,4058
庫,2,4058
性,2,4058
宗,4,8117
國,36,73052
厲,4,8117
王,6,12175
一,14,28409
見,4,8117
春,2,4058
賞,14,28409
輯,4,8117
八,2,4058
車,2,4058
小,4,8117
祿,8,16234
輕,10,20292
亡,2,4058
守,8,16234
正,28,56818
備,4,8117
費,2,4058
絕,4,8117
易,8,16234
審,18,36526
物,2,4058
要,4,8117
政,8,16234
前,2,4058
利,6,12175
選,6,12175
習,10,20292
富,2,4058
猶,22,44643
聽,2,4058
虧,2,4058
偽,2,4058
禁,8,16234
毋,2,4058
符,2,4058
畏,2,4058
罰,8,16234
愛,14,28409
潦,2,4058
矩,2,4058
壙,2,4058
男,4,8117
伐,4,8117
墨,2,4058
張,2,4058
匱,2,4058
事,14,28409
失,4,8117
理,6,12175
號,6,12175
貴,10,20292
私,2,4058
御,6,12175
安,10,20292
漸,2,4058
里,4,8117
主,6,12175
齊,4,8117
金,4,8117
揉,2,4058
天,86,174513
短,4,8117
竿,2,4058
約,2,4058
行,24,48701
氣,2,4058
大,10,20292
法,26,52760
勞,4,8117
枉,2,4058
嘗,4,8117
亂,2,4058
設,2,4058
雨,6,12175
予,2,4058
閉,2,4058
固,6,12175
姓,4,8117
戚,6,12175
恕,2,4058
危,4,8117
極,2,4058
立,12,24351
器,24,48701
形,4,8117
當,2,4058
布,2,4058
角,4,8117
吏,8,16234
貪,2,4058
逆,2,4058
化,8,16234
分,6,12175
說,2,4058
根,2,4058
末,2,4058
彊,6,12175
非,14,28409
卒,4,8117
河,4,8117
徒,4,8117
書,2,4058
義,6,12175
施,2,4058
計,18,36526
將,2,4058
七,2,4058
群,2,4058
通,2,4058
無,44,89286
左,4,8117
知,36,73052
民,40,81169
體,4,8117
誅,4,8117
觀,2,4058
尺,2,4058
遍,12,24351
禮,6,12175
圉,2,4058
百,22,44643
斛,2,4058
朝,6,12175
課,2,4058
白,2,4058
制,8,16234
廟,4,8117
盜,4,8117
材,4,8117
鳥,8,16234
衡,4,8117
親,8,16234
嚴,2,4058
死,2,4058
錯,2,4058
卑,2,4058
均,4,8117
應,2,4058
人,36,73052
入,2,4058
豪,2,4058
賤,2,4058
威,10,20292
勇,4,8117
傑,2,4058
駿,2,4058
飛,6,12175
夕,4,8117
攻,10,20292
柔,2,4058
象,8,16234
弱,4,8117
惡,2,4058
指,2,4058
言,8,16234
養,4,8117
草,4,8117
藏,2,4058
俗,8,16234
日,2,4058
圍,2,4058
耕,2,4058
社,4,8117
奇,2,4058
多,8,16234
增,2,4058
敺,6,12175
自,4,8117
貧,6,12175
欲,22,44643
賊,4,8117
石,2,4058
實,10,20292
練,4,8117
治,28,56818
定,10,20292
本,2,4058
乘,2,4058
爵,10,20292
幸,6,12175
銳,4,8117
從,6,12175
量,4,8117
怨,4,8117
儀,4,8117
度,2,4058
；,58,117695
穫,2,4058
害,6,12175
近,2,4058
用,18,36526
收,4,8117
止,4,8117
破,2,4058
邑,6,12175
身,2,4058
舟,2,4058
術,8,16234
」,8,16234
類,2,4058
殺,2,4058
