Character, Abs. Freq., Rel. Freq.
生,14,25081
匡,4,7166
分,10,17915
常,26,46578
正,18,32247
遂,4,7166
代,2,3583
讓,2,3583
斛,4,7166
輕,2,3583
陶,2,3583
支,2,3583
非,8,14332
邪,2,3583
道,68,121820
物,4,7166
交,4,7166
奔,2,3583
選,2,3583
舉,8,14332
信,10,17915
實,4,7166
筴,2,3583
義,12,21498
茲,4,7166
滅,2,3583
動,2,3583
智,8,14332
役,4,7166
寇,2,3583
聚,2,3583
勢,2,3583
期,2,3583
解,2,3583
橫,2,3583
閒,4,7166
官,46,82408
忍,2,3583
情,6,10749
南,2,3583
專,4,7166
愿,2,3583
天,22,39412
湯,2,3583
吏,8,14332
長,6,10749
審,6,10749
發,4,7166
祿,2,3583
迕,2,3583
牧,4,7166
家,6,10749
灸,2,3583
貴,2,3583
任,22,39412
性,4,7166
兼,2,3583
寖,2,3583
導,2,3583
士,6,10749
父,6,10749
惑,6,10749
衣,2,3583
為,50,89574
侵,4,7166
稱,2,3583
工,4,7166
璽,2,3583
令,28,50161
將,4,7166
辱,2,3583
威,12,21498
慕,2,3583
召,2,3583
循,2,3583
食,4,7166
踰,4,7166
供,4,7166
術,2,3583
散,2,3583
因,4,7166
舍,2,3583
稽,10,17915
典,2,3583
冶,2,3583
合,8,14332
執,2,3583
別,6,10749
救,2,3583
臨,2,3583
戰,2,3583
太,2,3583
惠,8,14332
安,2,3583
忠,8,14332
象,4,7166
王,16,28664
嗇,14,25081
心,18,32247
命,2,3583
君,86,154067
車,2,3583
耕,2,3583
猶,4,7166
職,12,21498
賢,8,14332
反,2,3583
一,30,53744
諸,14,25081
違,6,10749
斗,4,7166
偽,10,17915
火,2,3583
逆,6,10749
面,2,3583
伏,2,3583
撓,2,3583
外,14,25081
歲,2,3583
寵,2,3583
婦,4,7166
罰,8,14332
間,4,7166
省,4,7166
權,6,10749
力,16,28664
畫,6,10749
設,10,17915
行,12,21498
教,10,17915
務,4,7166
萬,4,7166
見,2,3583
幸,2,3583
廢,2,3583
遺,2,3583
訾,2,3583
利,2,3583
肅,4,7166
曠,2,3583
離,4,7166
勞,4,7166
從,10,17915
知,22,39412
疾,4,7166
修,8,14332
益,2,3583
授,2,3583
敢,8,14332
言,24,42995
衡,6,10749
要,10,17915
除,4,7166
德,32,57327
節,4,7166
牆,2,3583
黨,2,3583
惡,4,7166
制,18,32247
商,2,3583
死,2,3583
體,12,21498
侯,4,7166
及,6,10749
庶,2,3583
頗,2,3583
愛,2,3583
文,2,3583
走,2,3583
公,12,21498
畢,2,3583
辟,4,7166
目,2,3583
百,22,39412
聰,8,14332
用,6,10749
女,4,7166
繅,4,7166
留,2,3583
殺,8,14332
仰,2,3583
