Character, Abs. Freq., Rel. Freq.
施,2,19724
兼,2,19724
燒,6,59172
饒,2,19724
管,12,118343
械,4,39448
猛,2,19724
視,4,39448
賦,2,19724
流,2,19724
當,2,19724
御,2,19724
問,2,19724
菜,2,19724
變,4,39448
君,2,19724
祈,2,19724
人,8,78895
澤,14,138067
益,6,59172
藪,6,59172
童,6,59172
丘,2,19724
己,4,39448
器,10,98619
譏,2,19724
麋,2,19724
菹,4,39448
操,2,19724
輔,2,19724
幣,2,19724
請,2,19724
使,2,19724
閉,2,19724
」,24,236686
今,2,19724
豫,2,19724
存,2,19724
乘,2,19724
竭,4,39448
民,10,98619
祥,2,19724
爪,2,19724
老,2,19724
非,2,19724
智,4,39448
王,18,177515
搏,2,19724
世,2,19724
重,2,19724
增,6,59172
壤,4,39448
淫,2,19724
春,2,19724
無,6,59172
駢,2,19724
帝,2,19724
馬,6,59172
秋,2,19724
聞,4,39448
「,24,236686
周,2,19724
山,12,118343
利,12,118343
來,2,19724
焚,6,59172
籍,2,19724
安,2,19724
臧,2,19724
虞,2,19724
殊,4,39448
牙,2,19724
立,16,157791
好,2,19724
林,2,19724
獸,2,19724
破,2,19724
亂,2,19724
萬,2,19724
備,2,19724
善,2,19724
筴,2,19724
為,6,59172
生,4,39448
守,2,19724
贏,2,19724
勿,4,39448
時,8,78895
准,6,59172
儀,4,39448
前,2,19724
：,24,236686
桓,12,118343
牛,6,59172
戈,2,19724
仁,2,19724
高,2,19724
用,10,98619
諸,4,39448
天,6,59172
家,12,118343
殷,2,19724
金,2,19724
鹿,2,19724
義,2,19724
謹,4,39448
沛,6,59172
一,4,39448
刃,2,19724
致,2,19724
侯,4,39448
壹,2,19724
牢,6,59172
固,4,39448
盡,6,59172
？,12,118343
逃,6,59172
代,2,19724
國,6,59172
官,2,19724
枯,2,19724
對,12,118343
穀,4,39448
后,2,19724
夏,2,19724
數,12,118343
黃,2,19724
公,12,118343
地,2,19724
物,4,39448
心,2,19724
殺,2,19724
