Character, Abs. Freq., Rel. Freq.
鹽,20,61350
丹,4,12270
賈,4,12270
煮,8,24540
家,10,30675
海,4,12270
濟,4,12270
各,2,6135
腫,2,6135
」,46,141104
教,2,6135
大,2,6135
錫,2,6135
興,2,6135
口,4,12270
寶,2,6135
逃,2,6135
榮,8,24540
侯,4,12270
毋,14,42945
今,2,6135
嬰,2,6135
失,4,12270
疾,12,36810
聚,2,6135
展,2,6135
乘,2,6135
雨,2,6135
慈,4,12270
兒,2,6135
內,4,12270
泉,4,12270
立,6,18405
末,2,6135
時,6,18405
天,46,141104
最,2,6135
怒,2,6135
行,10,30675
圉,2,6135
娀,4,12270
光,2,6135
北,4,12270
制,6,18405
；,2,6135
齊,4,12270
誰,2,6135
數,14,42945
分,4,12270
邊,2,6135
求,2,6135
鐵,6,18405
月,2,6135
衣,2,6135
盧,2,6135
籍,10,30675
塞,2,6135
瞠,2,6135
陶,4,12270
婦,2,6135
勝,2,6135
刈,2,6135
一,14,42945
送,2,6135
趙,2,6135
徐,10,30675
相,4,12270
名,2,6135
聞,4,12270
菹,4,12270
斷,4,12270
霸,2,6135
耗,6,18405
理,2,6135
罪,4,12270
鼓,2,6135
苟,4,12270
中,4,12270
移,2,6135
軍,2,6135
奈,4,12270
兼,4,12270
上,22,67485
令,20,61350
壤,2,6135
本,18,55215
號,4,12270
春,4,12270
利,8,24540
治,2,6135
用,18,55215
問,18,55215
歲,6,18405
武,12,36810
室,2,6135
自,2,6135
鉒,4,12270
欲,6,18405
楚,2,6135
見,10,30675
湯,6,18405
餘,4,12270
巨,10,30675
金,26,79755
伏,2,6135
泲,4,12270
筴,2,6135
犯,6,18405
桓,24,73620
衡,4,12270
牛,2,6135
宮,2,6135
橋,8,24540
通,6,18405
冢,2,6135
避,2,6135
成,2,6135
我,4,12270
宋,2,6135
氏,2,6135
丈,4,12270
錢,2,6135
鍾,2,6135
惡,2,6135
物,8,24540
處,2,6135
尤,4,12270
泰,2,6135
繕,2,6135
流,4,12270
赤,4,12270
築,2,6135
滿,2,6135
作,2,6135
庸,2,6135
帝,4,12270
壇,2,6135
觀,2,6135
商,2,6135
道,4,12270
陵,2,6135
民,12,36810
矛,4,12270
受,6,18405
為,32,98160
里,14,42945
入,4,12270
莞,2,6135
吾,14,42945
梁,4,12270
公,24,73620
對,26,79755
財,16,49080
加,6,18405
虜,2,6135
衢,2,6135
起,12,36810
修,4,12270
度,2,6135
禪,4,12270
粟,16,49080
繒,2,6135
身,4,12270
釜,6,18405
請,6,18405
動,2,6135
升,12,36810
文,4,12270
黃,16,49080
倍,10,30675
父,2,6135
墓,2,6135
遠,6,18405
陽,6,18405
刀,4,12270
牙,2,6135
涂,2,6135
人,10,30675
當,2,6135
狐,4,12270
野,4,12270
高,16,49080
國,8,24540
達,2,6135
赦,4,12270
銅,8,24540
趨,2,6135
游,2,6135
非,8,24540
功,2,6135
開,2,6135
赭,4,12270
管,38,116564
玉,4,12270
因,6,18405
輸,2,6135
事,6,18405
鎧,2,6135
善,6,18405
伐,4,12270
南,4,12270
榭,2,6135
輕,6,18405
七,8,24540
發,6,18405
決,2,6135
食,6,18405
渠,4,12270
桀,2,6135
劍,2,6135
百,16,49080
昔,4,12270
臺,2,6135
』,10,30675
菽,2,6135
市,2,6135
伯,6,18405
「,48,147239
農,2,6135
權,2,6135
沙,4,12270
外,4,12270
帛,2,6135
方,2,6135
稅,8,24540
：,58,177914
距,4,12270
石,6,18405
葛,2,6135
衛,2,6135
垣,2,6135
王,16,49080
珠,4,12270
糴,2,6135
洿,2,6135
壹,2,6135
銀,4,12270
濮,2,6135
戈,6,18405
樹,4,12270
『,10,30675
難,2,6135
汝,4,12270
年,2,6135
？,30,92025
使,4,12270
舉,2,6135
漢,4,12270
守,8,24540
燕,2,6135
遼,2,6135
萬,8,24540
戍,4,12270
什,12,36810
周,2,6135
山,28,85890
謹,6,18405
河,2,6135
布,2,6135
鉛,6,18405
左,4,12270
穀,8,24540
戟,6,18405
准,2,6135
死,4,12270
封,12,36810
尹,2,6135
豐,4,12270
騏,2,6135
風,2,6135
西,2,6135
驥,2,6135
折,2,6135
水,14,42945
禁,2,6135
諸,4,12270
蚤,2,6135
盡,2,6135
獨,6,18405
牆,2,6135
常,2,6135
伊,2,6135
重,18,55215
千,14,42945
拙,2,6135
闔,2,6135
富,4,12270
坐,2,6135
八,8,24540
右,6,18405
雍,4,12270
言,4,12270
芮,2,6135
東,4,12270
薪,4,12270
終,2,6135
從,4,12270
尸,2,6135
祭,2,6135
少,6,18405
費,2,6135
蚩,2,6135
半,6,18405
君,10,30675
貴,4,12270
減,2,6135
積,2,6135
正,2,6135
頓,2,6135
地,12,36810
幣,12,36810
薄,2,6135
無,4,12270
