Character, Abs. Freq., Rel. Freq.
載,2,8150
王,6,24450
私,4,16300
涸,4,16300
殷,2,8150
滿,4,16300
致,2,8150
父,6,24450
斲,2,8150
集,2,8150
設,2,8150
欲,2,8150
位,2,8150
蓬,2,8150
立,6,24450
參,2,8150
猱,2,8150
任,2,8150
失,12,48900
馬,2,8150
無,26,105949
久,2,8150
今,6,24450
賓,4,16300
夭,2,8150
堂,2,8150
定,4,16300
卑,4,16300
凶,2,8150
訾,4,16300
獨,6,24450
秋,2,8150
固,2,8150
夜,2,8150
羿,2,8150
拙,2,8150
順,4,16300
平,2,8150
猿,2,8150
倦,2,8150
濟,4,16300
身,2,8150
巧,4,16300
淵,2,8150
山,6,24450
復,6,24450
尊,2,8150
讆,2,8150
賤,2,8150
入,2,8150
廟,2,8150
踰,2,8150
假,2,8150
造,4,16300
深,4,16300
舉,6,24450
道,40,162999
肥,2,8150
節,4,16300
起,2,8150
言,16,65200
告,4,16300
哀,4,16300
顧,4,16300
來,10,40750
疑,4,16300
鴻,2,8150
崩,2,8150
諾,2,8150
岸,2,8150
龍,2,8150
衣,2,8150
待,2,8150
謹,2,8150
鳥,2,8150
豹,2,8150
天,48,195599
抱,2,8150
比,2,8150
雀,2,8150
餘,2,8150
箠,2,8150
神,8,32600
蛟,2,8150
名,2,8150
交,2,8150
變,2,8150
明,2,8150
非,6,24450
多,4,16300
媒,2,8150
雨,2,8150
母,2,8150
裁,2,8150
歌,2,8150
女,2,8150
冬,2,8150
鉉,2,8150
廣,2,8150
高,6,24450
受,2,8150
仲,2,8150
富,2,8150
毋,6,24450
威,6,24450
夏,2,8150
報,2,8150
棟,2,8150
政,2,8150
及,8,32600
異,4,16300
危,4,16300
難,2,8150
計,2,8150
虎,2,8150
儀,2,8150
日,2,8150
家,4,16300
遠,10,40750
氣,2,8150
往,12,48900
；,64,260799
人,24,97800
勞,4,16300
專,2,8150
助,4,16300
馭,2,8150
辭,2,8150
樂,2,8150
察,2,8150
食,2,8150
風,2,8150
削,2,8150
弱,2,8150
犧,2,8150
臣,6,24450
易,6,24450
銜,2,8150
國,10,40750
體,2,8150
野,2,8150
進,2,8150
冠,2,8150
親,12,48900
為,14,57050
鄉,6,24450
近,8,32600
鵠,2,8150
稚,2,8150
屋,2,8150
備,2,8150
蜀,2,8150
禁,2,8150
夕,2,8150
墜,2,8150
持,2,8150
功,14,57050
成,4,16300
玉,2,8150
古,6,24450
燕,2,8150
覆,2,8150
射,2,8150
士,2,8150
色,2,8150
見,12,48900
再,4,16300
厭,2,8150
幣,2,8150
？,6,24450
度,2,8150
璧,2,8150
朝,2,8150
門,4,16300
貴,4,16300
行,20,81500
操,2,8150
怨,6,24450
好,12,48900
安,6,24450
聞,10,40750
逆,4,16300
曙,2,8150
饗,2,8150
賴,2,8150
美,2,8150
春,2,8150
術,2,8150
結,4,16300
配,4,16300
醜,2,8150
圭,2,8150
地,8,32600
自,8,32600
將,4,16300
趣,2,8150
殃,2,8150
上,8,32600
解,2,8150
瓦,2,8150
化,4,16300
心,2,8150
紂,2,8150
祈,2,8150
君,14,57050
貧,2,8150
試,2,8150
同,2,8150
沈,2,8150
徒,2,8150
召,4,16300
役,2,8150
怠,4,16300
素,2,8150
鏘,4,16300
隰,2,8150
修,2,8150
彊,4,16300
違,6,24450
物,4,16300
水,2,8150
壽,2,8150
更,2,8150
隈,2,8150
逢,2,8150
退,2,8150
刑,2,8150
羊,2,8150
禍,4,16300
奚,8,32600
肅,2,8150
牷,2,8150
主,2,8150
月,2,8150
棄,2,8150
常,2,8150
使,2,8150
懷,6,24450
視,2,8150
問,2,8150
慈,2,8150
衰,2,8150
速,2,8150
寶,2,8150
內,6,24450
知,10,40750
鬼,2,8150
信,4,16300
予,2,8150
大,14,57050
釋,2,8150
伐,2,8150
邪,2,8150
戒,2,8150
德,2,8150
憂,4,16300
善,2,8150
飛,2,8150
長,2,8150
小,4,16300
歸,6,24450
忘,6,24450
原,2,8150
狡,2,8150
重,4,16300
振,2,8150
飲,2,8150
極,6,24450
怒,4,16300
生,6,24450
烏,2,8150
矜,2,8150
正,4,16300
譕,2,8150
和,4,16300
服,2,8150
仞,2,8150
幾,6,24450
施,2,8150
藏,2,8150
敗,2,8150
命,2,8150
事,16,65200
一,12,48900
幽,2,8150
萬,6,24450
死,2,8150
民,6,24450
用,4,16300
令,6,24450
勿,8,32600
方,2,8150
