Character, Abs. Freq., Rel. Freq.
己,2,5718
恬,4,11435
復,2,5718
制,6,17153
同,2,5718
義,14,40023
吾,4,11435
君,16,45740
意,2,5718
事,12,34305
象,2,5718
理,20,57176
靜,24,68611
聽,4,11435
設,12,34305
官,8,22870
難,8,22870
毋,10,28588
羽,2,5718
間,10,28588
職,8,22870
除,4,11435
舍,18,51458
文,2,5718
育,2,5718
無,76,217267
說,4,11435
為,28,80046
庸,4,11435
修,4,11435
大,4,11435
別,2,5718
私,2,5718
揖,2,5718
亂,4,11435
開,2,5718
簡,2,5718
陽,2,5718
姑,2,5718
安,4,11435
趮,2,5718
禮,8,22870
視,4,11435
藏,4,11435
誅,4,11435
館,2,5718
顧,8,22870
嗜,2,5718
門,6,17153
遠,4,11435
應,26,74328
守,2,5718
施,2,5718
道,50,142939
埶,2,5718
影,2,5718
知,26,74328
因,28,80046
耳,10,28588
陰,6,17153
潔,10,28588
損,2,5718
處,18,51458
萬,12,34305
遍,4,11435
偶,4,11435
僇,4,11435
宜,8,22870
強,4,11435
見,14,40023
感,2,5718
變,12,34305
飛,4,11435
各,2,5718
走,4,11435
小,4,11435
節,2,5718
惡,12,34305
翼,2,5718
奚,4,11435
天,12,34305
循,2,5718
忘,2,5718
父,2,5718
體,6,17153
禁,4,11435
物,38,108634
定,2,5718
聖,10,28588
失,12,34305
主,2,5718
名,18,51458
讓,2,5718
神,12,34305
盡,4,11435
等,2,5718
務,6,17153
法,10,28588
疏,2,5718
一,4,11435
術,4,11435
求,8,22870
降,2,5718
謀,2,5718
休,2,5718
化,8,22870
觀,4,11435
紛,2,5718
用,8,22870
臣,2,5718
非,18,51458
覆,2,5718
聞,6,17153
反,2,5718
罪,4,11435
欲,14,40023
死,2,5718
賤,2,5718
使,4,11435
督,4,11435
充,2,5718
留,2,5718
人,46,131504
仵,2,5718
緣,4,11435
正,4,11435
𧺴,4,11435
愉,4,11435
將,2,5718
響,2,5718
虛,40,114351
奪,4,11435
代,8,22870
伐,4,11435
獘,2,5718
成,2,5718
形,30,85763
投,2,5718
海,6,17153
智,16,45740
權,4,11435
精,8,22870
目,10,28588
位,14,40023
慮,4,11435
並,4,11435
闕,2,5718
親,2,5718
迫,6,17153
異,8,22870
當,2,5718
明,8,22870
聲,6,17153
立,10,28588
外,4,11435
登,2,5718
上,4,11435
率,2,5718
利,4,11435
善,2,5718
離,4,11435
：,8,22870
適,2,5718
存,2,5718
言,42,120069
動,22,62893
世,2,5718
德,12,34305
心,16,45740
馬,4,11435
掃,2,5718
地,6,17153
索,4,11435
自,14,40023
直,2,5718
搖,2,5718
深,2,5718
執,2,5718
素,2,5718
辟,2,5718
竅,8,22870
情,4,11435
內,2,5718
諭,2,5718
；,2,5718
殊,2,5718
流,2,5718
返,2,5718
「,4,11435
囿,2,5718
宮,8,22870
」,4,11435
治,2,5718
生,8,22870
好,12,34305
實,4,11435
口,4,11435
怵,4,11435
宣,4,11435
誠,2,5718
屈,4,11435
貴,8,22870
固,8,22870
力,2,5718
分,8,22870
時,2,5718
殺,6,17153
益,4,11435
延,2,5718
獨,4,11435
極,6,17153
紀,4,11435
鳥,4,11435
入,2,5718
色,6,17153
