Character, Abs. Freq., Rel. Freq.
國,4,23585
明,6,35377
凶,2,11792
神,6,35377
兵,2,11792
財,2,11792
己,2,11792
原,2,11792
愛,6,35377
氣,12,70755
功,2,11792
一,14,82547
從,2,11792
戴,2,11792
新,2,11792
昔,2,11792
亂,12,70755
視,2,11792
制,2,11792
察,6,35377
遠,2,11792
金,4,23585
歿,2,11792
變,10,58962
雷,2,11792
意,8,47170
令,2,11792
利,6,35377
援,2,11792
鼓,2,11792
百,4,23585
物,16,94340
毋,6,35377
王,4,23585
聚,2,11792
被,2,11792
化,4,23585
定,2,11792
平,2,11792
理,2,11792
行,4,23585
姓,4,23585
身,2,11792
圓,2,11792
樂,6,35377
善,2,11792
父,2,11792
離,2,11792
言,10,58962
內,6,35377
上,2,11792
方,2,11792
表,2,11792
靜,6,35377
吉,2,11792
翼,2,11792
官,4,23585
貨,4,23585
本,2,11792
口,2,11792
兄,2,11792
私,6,35377
應,4,23585
載,4,23585
移,2,11792
證,2,11792
遂,2,11792
治,22,129717
因,2,11792
端,2,11792
；,4,23585
暴,2,11792
母,2,11792
光,2,11792
骨,2,11792
裁,2,11792
怒,6,35377
哀,2,11792
止,2,11792
專,4,23585
解,2,11792
涸,2,11792
世,2,11792
萬,4,23585
見,2,11792
煩,2,11792
堅,2,11792
同,4,23585
精,6,35377
強,2,11792
存,2,11792
時,2,11792
正,16,94340
惡,8,47170
鬼,4,23585
耳,2,11792
道,6,35377
生,4,23585
覆,2,11792
實,2,11792
守,2,11792
迎,4,23585
美,2,11792
形,14,82547
筮,2,11792
民,10,58962
服,4,23585
失,8,47170
禮,4,23585
來,6,35377
加,2,11792
德,8,47170
地,6,35377
月,4,23585
自,4,23585
我,4,23585
事,8,47170
使,2,11792
性,2,11792
知,16,94340
清,2,11792
中,8,47170
末,4,23585
反,4,23585
目,2,11792
司,2,11792
卜,2,11792
竭,2,11792
亡,4,23585
弟,2,11792
操,4,23585
無,16,94340
極,12,70755
思,8,47170
飾,2,11792
色,2,11792
戈,2,11792
體,2,11792
豈,4,23585
節,4,23585
肕,2,11792
問,2,11792
支,2,11792
裡,2,11792
？,14,82547
害,2,11792
傷,2,11792
義,2,11792
危,2,11792
用,6,35377
顏,2,11792
匿,2,11792
慕,4,23585
聖,10,58962
非,10,58962
泉,6,35377
鏡,2,11792
日,8,47170
等,2,11792
外,4,23585
充,4,23585
君,4,23585
安,10,58962
畢,2,11792
作,2,11792
親,2,11792
容,2,11792
智,2,11792
固,4,23585
刑,6,35377
昭,4,23585
心,32,188679
教,2,11792
聞,2,11792
筋,2,11792
天,26,153302
喜,2,11792
名,2,11792
通,6,35377
敬,4,23585
處,2,11792
執,6,35377
大,8,47170
人,22,129717
力,2,11792
選,4,23585
附,2,11792
為,8,47170
