Character, Abs. Freq., Rel. Freq.
義,4,15773
陋,2,7886
川,4,15773
廩,6,23659
孝,2,7886
恥,4,15773
菅,2,7886
涸,4,15773
月,2,7886
節,8,31546
鬼,4,15773
審,2,7886
辟,2,7886
室,4,15773
繁,4,15773
；,72,283912
人,4,15773
分,2,7886
事,6,23659
偷,4,15773
飾,2,7886
安,10,39432
覆,4,15773
祖,4,15773
復,6,23659
起,2,7886
國,28,110410
長,6,23659
滅,10,39432
育,8,31546
緩,2,7886
聞,2,7886
兩,2,7886
麻,4,15773
兵,2,7886
嗜,2,7886
食,6,23659
畏,2,7886
位,4,15773
久,4,15773
悟,2,7886
叛,2,7886
亡,2,7886
嚴,4,15773
府,4,15773
惟,2,7886
枉,4,15773
水,4,15773
行,16,63091
來,2,7886
宗,4,15773
召,2,7886
萌,2,7886
親,12,47319
立,2,7886
德,4,15773
憂,4,15773
絕,12,47319
博,2,7886
積,4,15773
蕪,2,7886
明,8,31546
助,2,7886
舉,2,7886
授,4,15773
渠,2,7886
力,6,23659
患,10,39432
一,8,31546
要,2,7886
毋,10,39432
貧,4,15773
世,4,15773
法,2,7886
心,14,55205
賞,4,15773
墜,4,15773
正,2,7886
邪,4,15773
地,14,55205
多,4,15773
置,2,7886
民,74,291798
貴,6,23659
知,8,31546
路,6,23659
欺,4,15773
財,10,39432
」,2,7886
同,6,23659
意,4,15773
將,2,7886
養,4,15773
巧,6,23659
全,2,7886
敵,2,7886
惡,24,94637
留,2,7886
近,2,7886
踰,4,15773
賢,2,7886
畜,4,15773
異,2,7886
？,4,15773
禍,2,7886
聽,2,7886
怨,2,7886
校,2,7886
生,12,47319
維,20,78864
王,2,7886
偽,2,7886
道,4,15773
慶,4,15773
危,10,39432
上,18,70978
轡,2,7886
量,6,23659
甲,2,7886
予,2,7886
溝,2,7886
彊,6,23659
右,10,39432
文,4,15773
興,2,7886
淫,2,7886
城,2,7886
實,2,7886
妄,2,7886
「,2,7886
存,4,15773
流,4,15773
寶,2,7886
神,4,15773
榮,2,7886
廢,2,7886
令,16,63091
衣,2,7886
威,4,15773
滿,4,15773
形,2,7886
舊,4,15773
言,4,15773
郭,2,7886
廟,4,15773
用,4,15773
錯,6,23659
恭,4,15773
桑,4,15773
守,6,23659
難,2,7886
日,2,7886
曠,2,7886
省,2,7886
我,8,31546
原,6,23659
藏,4,15773
富,6,23659
辱,2,7886
度,6,23659
傾,8,31546
鄉,12,47319
禁,4,15773
死,4,15773
倉,10,39432
天,16,63091
順,10,39432
匿,2,7886
自,8,31546
利,2,7886
吝,2,7886
戮,4,15773
處,6,23659
悌,2,7886
璋,2,7886
臣,10,39432
敬,4,15773
佚,4,15773
應,2,7886
聖,2,7886
廉,4,15773
信,6,23659
堂,4,15773
進,4,15773
政,8,31546
開,4,15773
奉,2,7886
軸,4,15773
士,4,15773
勞,4,15773
樂,4,15773
成,6,23659
賤,4,15773
祇,4,15773
刑,12,47319
察,2,7886
使,10,39432
經,4,15773
遠,12,47319
盈,2,7886
務,10,39432
輕,2,7886
牧,2,7886
欲,2,7886
穀,4,15773
各,4,15773
君,16,63091
恐,2,7886
逆,2,7886
好,4,15773
固,4,15773
殺,4,15773
為,44,173502
私,4,15773
御,2,7886
爭,4,15773
時,8,31546
山,4,15773
服,8,31546
失,4,15773
竭,4,15773
罰,8,31546
汝,6,23659
野,2,7886
從,8,31546
蔽,6,23659
求,6,23659
備,8,31546
官,6,23659
無,18,70978
家,6,23659
禮,6,23659
門,6,23659
張,4,15773
小,2,7886
頌,2,7886
