Character, Abs. Freq., Rel. Freq.
空,4,10633
謁,2,5316
害,2,5316
倍,2,5316
貪,2,5316
惡,2,5316
完,2,5316
賤,4,10633
怠,6,15949
見,2,5316
無,8,21265
奚,2,5316
誅,4,10633
小,2,5316
德,4,10633
工,2,5316
衢,2,5316
成,4,10633
草,2,5316
等,2,5316
時,6,15949
並,4,10633
請,2,5316
黨,4,10633
周,2,5316
衣,4,10633
菽,2,5316
虛,18,47847
文,2,5316
縱,2,5316
一,12,31898
專,2,5316
廩,4,10633
位,4,10633
富,12,31898
鄉,2,5316
喜,4,10633
穀,2,5316
守,10,26582
慶,2,5316
綦,2,5316
錯,2,5316
欲,2,5316
法,4,10633
重,18,47847
節,2,5316
靜,2,5316
役,2,5316
；,30,79745
奸,2,5316
賞,16,42531
」,16,42531
和,2,5316
美,2,5316
懦,2,5316
己,2,5316
本,10,26582
粟,2,5316
離,2,5316
誣,2,5316
地,4,10633
百,6,15949
益,8,21265
侯,14,37214
逆,14,37214
交,2,5316
詭,2,5316
號,12,31898
器,8,21265
罪,10,26582
竭,2,5316
衰,2,5316
比,4,10633
犯,6,15949
長,2,5316
組,2,5316
當,2,5316
巧,4,10633
聽,6,15949
佞,4,10633
嚴,10,26582
存,4,10633
侈,6,15949
臣,16,42531
寒,2,5316
攻,12,31898
變,8,21265
爵,2,5316
示,2,5316
輕,6,15949
卒,4,10633
錦,2,5316
赦,2,5316
踰,2,5316
雕,2,5316
社,2,5316
進,4,10633
鏤,2,5316
求,16,42531
伐,6,15949
反,2,5316
留,4,10633
順,4,10633
止,4,10633
辟,10,26582
敬,2,5316
將,14,37214
國,44,116959
安,4,10633
群,2,5316
俗,8,21265
貨,4,10633
明,6,15949
功,16,42531
行,44,116959
樹,2,5316
近,6,15949
寡,4,10633
傲,2,5316
人,22,58480
實,2,5316
諸,14,37214
聚,2,5316
好,4,10633
女,2,5316
拂,2,5316
應,4,10633
失,4,10633
相,8,21265
：,16,42531
心,12,31898
墾,2,5316
察,4,10633
吏,6,15949
要,2,5316
更,2,5316
餘,2,5316
兼,4,10633
說,2,5316
疑,2,5316
亂,8,21265
凍,2,5316
為,28,74428
帛,2,5316
外,8,21265
度,2,5316
民,54,143541
勝,24,63796
士,8,21265
違,2,5316
非,8,21265
服,12,31898
途,4,10633
親,4,10633
緩,6,15949
從,2,5316
野,4,10633
令,78,207337
免,4,10633
遠,8,21265
帥,2,5316
稷,2,5316
分,6,15949
疏,2,5316
謹,4,10633
使,8,21265
勸,6,15949
政,4,10633
動,4,10633
論,10,26582
刻,2,5316
死,18,47847
陳,2,5316
經,24,63796
矜,2,5316
毋,48,127592
畜,2,5316
虧,2,5316
姦,2,5316
尚,2,5316
加,2,5316
理,2,5316
私,4,10633
飢,2,5316
主,2,5316
傷,2,5316
待,8,21265
彊,6,15949
正,6,15949
力,8,21265
禁,14,37214
盛,2,5316
買,2,5316
貴,12,31898
邪,8,21265
君,16,42531
亡,8,21265
治,8,21265
財,6,15949
兩,2,5316
盡,2,5316
稚,8,21265
殖,2,5316
產,8,21265
威,22,58480
收,2,5316
懷,2,5316
同,4,10633
榮,2,5316
敵,10,26582
大,8,21265
教,6,15949
蓺,2,5316
色,4,10633
卑,6,15949
信,2,5316
擾,2,5316
兵,20,53163
罰,8,21265
固,8,21265
倉,4,10633
餓,2,5316
鉞,10,26582
毀,2,5316
自,12,31898
鄰,4,10633
乘,2,5316
弱,4,10633
道,10,26582
損,6,15949
玩,2,5316
患,4,10633
譽,2,5316
侵,2,5316
便,10,26582
捷,2,5316
務,4,10633
泰,4,10633
恐,4,10633
利,2,5316
朝,10,26582
尊,8,21265
繡,2,5316
？,16,42531
里,2,5316
養,2,5316
藏,2,5316
王,14,37214
布,2,5316
恣,2,5316
生,2,5316
名,2,5316
侮,2,5316
敗,2,5316
征,2,5316
立,2,5316
農,2,5316
受,8,21265
攘,2,5316
事,10,26582
施,2,5316
「,16,42531
奪,4,10633
內,6,15949
官,6,15949
祿,16,42531
通,8,21265
危,12,31898
阿,6,15949
辭,2,5316
用,22,58480
權,2,5316
制,10,26582
視,2,5316
天,22,58480
戰,10,26582
難,8,21265
斧,10,26582
繫,4,10633
上,28,74428
驕,10,26582
身,2,5316
霸,6,15949
華,2,5316
數,4,10633
萬,2,5316
惟,2,5316
爭,2,5316
末,4,10633
