Character, Abs. Freq., Rel. Freq.
受,2,31348
自,2,31348
神,2,31348
德,2,31348
刑,10,156740
還,4,62696
察,2,31348
生,4,62696
懼,4,62696
罰,8,125392
貪,2,31348
誰,2,31348
應,2,31348
執,4,62696
殺,18,282132
國,2,31348
杓,2,31348
己,2,31348
除,2,31348
移,2,31348
使,2,31348
畏,8,125392
斗,2,31348
天,8,125392
欲,8,125392
聊,2,31348
化,4,62696
方,2,31348
設,2,31348
無,2,31348
死,10,156740
深,2,31348
常,6,94044
民,14,219436
圓,2,31348
？,8,125392
巧,2,31348
王,4,62696
治,4,62696
收,2,31348
臨,2,31348
酷,2,31348
寬,2,31348
夏,2,31348
情,2,31348
明,2,31348
木,2,31348
道,6,94044
紀,4,62696
殃,2,31348
疾,2,31348
藏,2,31348
功,2,31348
身,4,62696
知,2,31348
度,2,31348
反,2,31348
敢,4,62696
殘,2,31348
代,14,219436
理,2,31348
希,2,31348
恢,4,62696
司,10,156740
綱,4,62696
吾,2,31348
嗜,2,31348
長,2,31348
居,2,31348
教,6,94044
秋,2,31348
行,4,62696
運,2,31348
孰,2,31348
奇,4,62696
勞,2,31348
拙,4,62696
失,4,62696
當,2,31348
人,8,125392
傷,6,94044
老,2,31348
春,2,31348
利,2,31348
從,2,31348
疏,2,31348
高,2,31348
匠,8,125392
斲,8,125392
剋,2,31348
財,2,31348
冬,2,31348
大,8,125392
犯,2,31348
法,4,62696
君,6,94044
奈,4,62696
手,2,31348
猶,6,94044
為,4,62696
節,2,31348
時,2,31348
網,2,31348
