Character, Abs. Freq., Rel. Freq.
除,2,21552
惚,2,21552
御,4,43103
萬,4,43103
設,2,21552
情,2,21552
預,2,21552
視,4,43103
闇,2,21552
白,2,21552
影,2,21552
上,6,64655
見,12,129310
合,4,43103
口,2,21552
受,2,21552
長,2,21552
音,2,21552
本,2,21552
歸,6,64655
大,2,21552
自,2,21552
綱,2,21552
首,2,21552
明,2,21552
夷,6,64655
昧,6,64655
短,2,21552
無,36,387931
商,2,21552
末,2,21552
天,4,43103
別,2,21552
希,6,64655
聲,8,86207
致,4,43103
執,4,43103
恍,6,64655
道,8,86207
采,2,21552
級,2,21552
形,14,150862
忽,4,43103
問,2,21552
混,4,43103
紀,4,43103
象,4,43103
聽,6,64655
聖,2,21552
黃,2,21552
存,2,21552
聞,2,21552
隨,2,21552
生,2,21552
宮,2,21552
為,8,86207
羽,2,21552
微,6,64655
繩,8,86207
古,8,86207
傳,2,21552
靜,2,21552
動,2,21552
迎,2,21552
光,2,21552
度,2,21552
摶,2,21552
非,6,64655
詰,6,64655
青,2,21552
體,2,21552
小,2,21552
看,2,21552
復,4,43103
狀,8,86207
徵,2,21552
端,2,21552
神,2,21552
色,8,86207
黑,2,21552
物,14,150862
人,4,43103
今,4,43103
角,2,21552
亡,2,21552
知,8,86207
作,2,21552
求,2,21552
待,2,21552
皦,6,64655
守,2,21552
窮,2,21552
欲,2,21552
當,6,64655
書,2,21552
跡,2,21552
質,6,64655
言,16,172414
一,38,409483
行,2,21552
持,2,21552
名,12,129310
搏,2,21552
冥,2,21552
