Character, Abs. Freq., Rel. Freq.
伐,2,5647
帶,2,5647
政,4,11293
兩,4,11293
遍,2,5647
物,12,33879
誕,2,5647
儀,2,5647
志,8,22586
肫,4,11293
信,10,28233
用,4,11293
階,2,5647
憂,8,22586
淺,2,5647
對,28,79051
席,2,5647
性,6,16940
：,88,248447
亡,6,16940
馬,18,50819
『,4,11293
壞,2,5647
啍,4,11293
鮮,4,11293
「,72,203275
本,2,5647
市,2,5647
越,2,5647
車,2,5647
思,12,33879
任,4,11293
命,2,5647
朝,6,16940
宮,2,5647
啜,2,5647
己,2,5647
臣,4,11293
數,2,5647
懼,6,16940
馳,2,5647
益,8,22586
前,2,5647
東,8,22586
粥,2,5647
定,12,33879
理,2,5647
乘,2,5647
非,10,28233
門,4,11293
地,2,5647
鵲,2,5647
窮,14,39526
折,2,5647
竊,2,5647
良,2,5647
樹,2,5647
駛,2,5647
譬,2,5647
裳,4,11293
立,2,5647
守,2,5647
選,4,11293
姓,2,5647
繆,4,11293
委,2,5647
鳥,2,5647
舜,12,33879
列,4,11293
居,4,11293
啄,2,5647
味,2,5647
處,2,5647
民,6,16940
執,2,5647
衣,4,11293
起,2,5647
哀,34,95991
病,2,5647
苴,2,5647
獸,2,5647
左,2,5647
要,2,5647
多,8,22586
爽,2,5647
菅,2,5647
爭,2,5647
聽,6,16940
昧,2,5647
庶,2,5647
忠,2,5647
右,4,11293
德,2,5647
載,2,5647
勞,6,16940
審,6,16940
將,16,45172
大,14,39526
古,12,33879
計,8,22586
天,10,28233
平,4,11293
詐,2,5647
婦,2,5647
鄰,2,5647
虛,2,5647
俯,4,11293
豺,2,5647
存,2,5647
畢,8,22586
几,2,5647
轡,2,5647
請,2,5647
拘,2,5647
烏,2,5647
器,2,5647
茹,2,5647
率,2,5647
弓,2,5647
黼,4,11293
賢,12,33879
口,8,22586
遂,2,5647
冠,8,22586
紳,4,11293
闇,2,5647
食,2,5647
務,16,45172
校,2,5647
趨,2,5647
言,12,33879
入,6,16940
樂,2,5647
變,4,11293
辨,4,11293
魯,14,39526
雨,2,5647
邪,2,5647
棟,2,5647
力,2,5647
道,12,33879
猶,4,11293
問,40,112931
巢,2,5647
筵,2,5647
窺,2,5647
歸,2,5647
進,2,5647
銜,2,5647
殺,2,5647
長,4,11293
怒,8,22586
邑,4,11293
傷,4,11293
斯,10,28233
小,2,5647
為,10,28233
危,8,22586
文,2,5647
慮,2,5647
規,2,5647
從,4,11293
肆,2,5647
健,4,11293
語,2,5647
日,10,28233
明,10,28233
斬,2,5647
一,2,5647
生,8,22586
論,2,5647
善,30,84698
路,2,5647
法,2,5647
廟,2,5647
貪,2,5647
讒,2,5647
身,8,22586
丘,6,16940
蓋,2,5647
王,2,5647
來,2,5647
狼,2,5647
深,2,5647
庸,8,22586
行,8,22586
嗣,2,5647
耳,2,5647
見,2,5647
召,2,5647
世,4,11293
庭,2,5647
人,42,118577
仰,2,5647
絇,2,5647
盜,2,5647
退,2,5647
郊,4,11293
險,2,5647
水,6,16940
勁,2,5647
愨,4,11293
義,2,5647
少,2,5647
富,4,11293
遠,2,5647
詌,4,11293
損,2,5647
士,16,45172
騁,2,5647
笏,2,5647
俗,4,11293
財,2,5647
絻,2,5647
步,2,5647
服,16,45172
肌,2,5647
甫,4,11293
欲,2,5647
禮,2,5647
卑,2,5647
賊,2,5647
事,6,16940
！,20,56465
謁,2,5647
正,4,11293
悅,2,5647
端,4,11293
盡,4,11293
固,2,5647
攫,2,5647
手,2,5647
聖,10,28233
駕,2,5647
玄,2,5647
胙,2,5647
櫛,2,5647
末,2,5647
』,2,5647
登,2,5647
葷,4,11293
舍,6,16940
國,6,16940
託,2,5647
膚,2,5647
舟,6,16940
貧,2,5647
今,12,33879
布,2,5647
易,2,5647
惡,2,5647
鳳,2,5647
使,8,22586
野,10,28233
驟,2,5647
動,2,5647
好,4,11293
失,10,28233
體,2,5647
無,18,50819
自,4,11293
流,2,5647
色,2,5647
上,2,5647
察,2,5647
成,2,5647
致,2,5647
桓,2,5647
章,4,11293
視,2,5647
顏,12,33879
酒,2,5647
循,2,5647
領,2,5647
貴,4,11293
昔,2,5647
嘗,10,28233
總,2,5647
繩,2,5647
？,38,107284
百,2,5647
怨,2,5647
亂,4,11293
止,2,5647
月,2,5647
屨,4,11293
寡,8,22586
萬,6,16940
應,4,11293
勝,4,11293
杖,4,11293
仁,4,11293
敢,12,33879
；,42,118577
諸,2,5647
孔,38,107284
父,6,16940
及,4,11293
歷,2,5647
求,8,22586
榱,2,5647
美,2,5647
覆,2,5647
調,2,5647
公,42,118577
」,72,203275
風,2,5647
肉,2,5647
廄,2,5647
情,4,11293
吾,12,33879
中,4,11293
主,4,11293
孫,2,5647
知,46,129870
通,4,11293
治,2,5647
彊,2,5647
施,2,5647
望,2,5647
識,6,16940
尒,2,5647
化,2,5647
巧,4,11293
聞,10,28233
昃,2,5647
賤,2,5647
侯,2,5647
麟,2,5647
心,6,16940
號,2,5647
驂,2,5647
鑿,2,5647
擇,2,5647
馭,4,11293
淵,12,33879
造,6,16940
術,2,5647
辭,2,5647
衰,4,11293
搢,2,5647
資,2,5647
君,42,118577
蹴,2,5647
