Character, Abs. Freq., Rel. Freq.
宗,2,5171
組,2,5171
感,8,20683
利,2,5171
中,8,20683
應,8,20683
朝,4,10341
繁,4,10341
合,6,15512
國,8,20683
簫,4,10341
徵,2,5171
旄,2,5171
欲,8,20683
物,4,10341
盜,2,5171
德,4,10341
姓,4,10341
辱,2,5171
聰,2,5171
說,2,5171
哭,2,5171
寧,2,5171
爭,4,10341
笙,6,15512
幾,2,5171
事,2,5171
移,4,10341
飲,4,10341
甫,2,5171
極,2,5171
惑,2,5171
平,4,10341
師,4,10341
度,2,5171
修,2,5171
化,2,5171
墨,18,46536
憲,2,5171
里,2,5171
氣,12,31024
介,10,25853
學,4,10341
發,4,10341
瞽,2,5171
戚,4,10341
本,4,10341
淫,8,20683
命,2,5171
民,18,46536
易,16,41365
似,12,31024
人,52,134436
酒,2,5171
夕,2,5171
流,12,31024
揖,8,20683
綴,2,5171
廣,4,10341
俗,8,20683
衰,2,5171
身,4,10341
聖,4,10341
賊,2,5171
形,6,15512
導,2,5171
目,6,15512
深,4,10341
齊,12,31024
及,6,15512
自,4,10341
王,36,93071
麗,2,5171
容,6,15512
會,2,5171
勉,2,5171
美,2,5171
唱,2,5171
歌,10,25853
猛,2,5171
侮,2,5171
階,2,5171
冶,4,10341
積,2,5171
坐,4,10341
旋,2,5171
慎,4,10341
楚,2,5171
非,14,36194
著,2,5171
帶,2,5171
甲,2,5171
隆,4,10341
貌,2,5171
遂,4,10341
道,30,77559
為,14,36194
「,4,10341
間,2,5171
水,2,5171
忘,2,5171
伍,2,5171
瘠,2,5171
爵,2,5171
筦,4,10341
讓,10,25853
酢,2,5171
哀,2,5171
父,2,5171
酬,8,20683
方,4,10341
周,2,5171
鉞,2,5171
沒,2,5171
志,8,20683
夷,2,5171
聾,2,5171
刑,2,5171
城,4,10341
死,2,5171
理,2,5171
盡,6,15512
惡,12,31024
」,4,10341
詘,2,5171
靡,2,5171
文,10,25853
廢,6,15512
治,10,25853
誠,2,5171
習,2,5171
率,2,5171
名,2,5171
邪,12,31024
冑,2,5171
別,4,10341
畏,2,5171
猶,6,15512
瑟,4,10341
脩,8,20683
萬,4,10341
賤,12,31024
竹,2,5171
制,8,20683
正,14,36194
義,8,20683
亂,30,77559
絲,2,5171
力,4,10341
反,2,5171
和,32,82730
良,2,5171
異,2,5171
犯,2,5171
諰,2,5171
逆,6,15512
窮,2,5171
速,6,15512
親,4,10341
海,2,5171
睦,2,5171
泣,2,5171
商,2,5171
聞,2,5171
敵,4,10341
君,18,46536
竽,4,10341
鞀,2,5171
婦,4,10341
日,2,5171
章,4,10341
耳,6,15512
少,4,10341
篪,2,5171
武,2,5171
色,2,5171
匿,2,5171
內,2,5171
怒,8,20683
知,12,31024
心,16,41365
輝,2,5171
入,12,31024
禁,2,5171
告,2,5171
紀,2,5171
服,6,15512
一,6,15512
口,2,5171
塤,2,5171
意,8,20683
工,4,10341
嬰,4,10341
傷,2,5171
富,2,5171
愚,2,5171
辰,2,5171
遺,4,10341
受,2,5171
固,2,5171
磬,6,15512
悖,2,5171
衛,2,5171
揚,2,5171
象,12,31024
清,8,20683
遲,2,5171
相,4,10341
變,8,20683
地,4,10341
旅,2,5171
危,6,15512
采,2,5171
干,4,10341
遇,2,5171
屨,2,5171
順,10,25853
舞,6,15512
兵,4,10341
主,14,36194
備,2,5171
管,4,10341
信,2,5171
曷,2,5171
好,4,10341
雅,6,15512
天,16,41365
石,2,5171
羽,2,5171
鄉,12,31024
莊,6,15512
無,20,51706
音,12,31024
籥,4,10341
盛,4,10341
鼓,10,25853
願,2,5171
偽,2,5171
免,4,10341
節,14,36194
鈇,2,5171
善,10,25853
要,4,10341
廉,6,15512
博,2,5171
鞷,2,5171
就,2,5171
肅,2,5171
處,4,10341
外,2,5171
悲,2,5171
月,2,5171
成,10,25853
兄,2,5171
北,2,5171
光,2,5171
樂,108,279214
曲,2,5171
柷,2,5171
聲,28,72389
拊,2,5171
琴,4,10341
齒,2,5171
險,4,10341
定,2,5171
性,2,5171
使,18,46536
時,4,10341
實,2,5171
同,8,20683
白,4,10341
見,2,5171
；,52,134436
鐘,8,20683
兆,2,5171
視,2,5171
鄙,4,10341
安,14,36194
！,10,25853
送,4,10341
獻,6,15512
敬,2,5171
族,2,5171
生,6,15512
