Character, Abs. Freq., Rel. Freq.
己,8,34722
惡,16,69444
妙,2,8681
汝,2,8681
！,10,43403
郊,2,8681
化,4,17361
』,2,8681
親,6,26042
家,2,8681
行,8,34722
艾,2,8681
變,2,8681
坐,2,8681
迎,2,8681
漱,2,8681
夜,2,8681
期,2,8681
游,2,8681
好,2,8681
譽,2,8681
弟,4,17361
奚,2,8681
惠,4,17361
久,2,8681
孰,2,8681
南,2,8681
顏,2,8681
年,28,121528
反,4,17361
西,2,8681
」,26,112847
「,24,104167
妻,2,8681
從,2,8681
受,2,8681
參,2,8681
為,12,52083
櫛,4,17361
齊,10,43403
梁,2,8681
中,2,8681
曆,2,8681
藉,2,8681
敬,2,8681
外,4,17361
進,2,8681
罔,2,8681
八,2,8681
禪,2,8681
蹴,2,8681
果,2,8681
七,6,26042
今,14,60764
虻,2,8681
父,6,26042
相,8,34722
孔,8,34722
地,2,8681
一,2,8681
予,4,17361
欲,2,8681
本,4,17361
括,2,8681
強,6,26042
請,4,17361
視,2,8681
終,6,26042
郭,2,8681
敢,4,17361
鳴,2,8681
求,2,8681
公,4,17361
教,2,8681
天,20,86806
代,2,8681
才,2,8681
異,2,8681
非,20,86806
經,2,8681
哀,2,8681
倫,2,8681
陰,2,8681
老,8,34722
論,2,8681
身,4,17361
秦,2,8681
形,2,8681
縣,6,26042
物,12,52083
野,2,8681
曼,2,8681
仰,4,17361
義,2,8681
兩,2,8681
卮,6,26042
鬼,6,26042
莊,4,17361
脫,2,8681
聃,2,8681
和,6,26042
死,6,26042
謝,2,8681
綦,2,8681
道,6,26042
來,6,26042
服,6,26042
辱,2,8681
盛,2,8681
灶,2,8681
誰,2,8681
被,2,8681
俯,2,8681
數,2,8681
勤,2,8681
心,8,34722
東,2,8681
固,4,17361
卒,4,17361
日,8,34722
白,2,8681
答,2,8681
罪,6,26042
曾,2,8681
遊,2,8681
命,6,26042
因,2,8681
法,2,8681
耆,4,17361
樂,2,8681
環,2,8681
執,4,17361
成,4,17361
通,2,8681
問,10,43403
應,6,26042
睢,4,17361
大,6,26042
尼,2,8681
使,2,8681
邪,6,26042
屯,2,8681
陽,14,60764
末,2,8681
蛻,2,8681
待,4,17361
適,4,17361
盱,4,17361
萬,2,8681
邀,2,8681
席,6,26042
德,2,8681
定,4,17361
律,2,8681
向,10,43403
種,2,8681
髮,2,8681
洎,2,8681
稍,2,8681
及,4,17361
沛,2,8681
千,4,17361
利,2,8681
悲,2,8681
吾,18,78125
景,4,17361
將,2,8681
靈,2,8681
口,2,8681
寓,4,17361
：,30,130208
煬,2,8681
前,6,26042
止,2,8681
倪,8,34722
『,2,8681
復,2,8681
均,4,17361
蜩,2,8681
況,2,8681
入,2,8681
嘗,6,26042
直,2,8681
蛇,2,8681
？,36,156250
甲,2,8681
衍,2,8681
知,14,60764
言,42,182292
搜,4,17361
媒,2,8681
雀,2,8681
重,4,17361
再,4,17361
我,6,26042
云,2,8681
蚊,2,8681
據,2,8681
起,2,8681
釜,4,17361
火,2,8681
蘁,2,8681
同,8,34722
屨,2,8681
戶,2,8681
爭,2,8681
；,14,60764
勸,2,8681
避,4,17361
盥,2,8681
立,2,8681
時,2,8681
巾,4,17361
緯,2,8681
當,4,17361
鍾,4,17361
生,8,34722
舍,8,34722
陳,4,17361
自,14,60764
觀,2,8681
聞,4,17361
志,2,8681
往,6,26042
仲,2,8681
遇,2,8681
膝,2,8681
居,8,34722
無,28,121528
歎,2,8681
仕,6,26042
人,20,86806
似,2,8681
窮,2,8681
容,2,8681
閒,4,17361
