Character, Abs. Freq., Rel. Freq.
昭,12,18040
抱,2,3007
己,2,3007
縕,2,3007
逍,2,3007
艾,2,3007
誅,2,3007
帛,2,3007
友,8,12026
犬,2,3007
丹,4,6013
神,4,6013
辱,4,6013
肯,2,3007
遇,2,3007
存,4,6013
因,8,12026
笑,8,12026
堯,4,6013
叔,6,9020
財,2,3007
貴,8,12026
胝,2,3007
登,2,3007
方,6,9020
鄭,4,6013
陳,8,12026
志,4,6013
銘,2,3007
大,24,36079
車,4,6013
動,4,6013
農,6,9020
彈,2,3007
娛,4,6013
家,8,12026
君,40,60132
歎,2,3007
辭,6,9020
投,4,6013
鍾,2,3007
藜,4,6013
金,2,3007
復,6,9020
告,2,3007
當,4,6013
郭,4,6013
伯,10,15033
桑,2,3007
履,4,6013
舜,10,15033
孔,14,21046
外,2,3007
犯,2,3007
喟,2,3007
任,2,3007
兄,2,3007
餘,4,6013
事,14,21046
腫,2,3007
獨,4,6013
非,32,48106
治,20,30066
布,4,6013
貧,8,12026
嘻,4,6013
真,4,6013
仕,6,9020
力,4,6013
佚,2,3007
帝,2,3007
輕,12,18040
處,6,9020
廉,2,3007
憲,16,24053
萬,4,6013
怍,2,3007
上,8,12026
蓬,2,3007
託,2,3007
對,6,9020
省,2,3007
水,4,6013
顏,26,39086
乘,6,9020
視,2,3007
種,2,3007
牲,4,6013
勞,2,3007
旌,4,6013
妻,6,9020
冬,2,3007
諸,2,3007
孤,2,3007
享,2,3007
特,2,3007
耕,2,3007
降,2,3007
菜,2,3007
要,4,6013
求,8,12026
周,12,18040
盟,4,6013
甕,2,3007
執,2,3007
聖,4,6013
居,26,39086
隱,2,3007
宇,2,3007
葛,2,3007
苟,4,6013
溼,2,3007
闔,16,24053
田,4,6013
妾,2,3007
負,4,6013
自,36,54119
逡,2,3007
薰,2,3007
收,2,3007
忠,2,3007
亂,10,15033
恥,2,3007
羞,2,3007
迹,2,3007
旦,2,3007
世,22,33073
楚,4,6013
賜,2,3007
容,6,9020
致,4,6013
弦,8,12026
遂,12,18040
遺,8,12026
戚,2,3007
漏,2,3007
死,6,9020
果,2,3007
勝,8,12026
來,8,12026
肆,4,6013
數,2,3007
入,14,21046
弟,2,3007
行,18,27060
邪,2,3007
王,48,72159
音,2,3007
邠,2,3007
人,68,102225
紺,2,3007
商,4,6013
天,54,81179
綦,4,6013
扢,2,3007
幽,4,6013
語,2,3007
霜,2,3007
聞,24,36079
嘗,4,6013
隨,14,21046
魏,6,9020
使,22,33073
絺,2,3007
風,2,3007
累,4,6013
絜,2,3007
宋,2,3007
越,8,12026
利,18,27060
望,2,3007
善,10,15033
飢,4,6013
樞,2,3007
胼,2,3007
琴,8,12026
纓,2,3007
余,4,6013
棄,2,3007
憊,2,3007
畝,6,9020
相,10,15033
鼓,4,6013
決,2,3007
武,4,6013
作,6,9020
器,2,3007
袍,2,3007
捲,4,6013
室,6,9020
固,4,6013
亶,6,9020
海,4,6013
貨,2,3007
臣,16,24053
幸,2,3007
窮,24,36079
正,2,3007
惡,8,12026
忘,6,9020
魯,8,12026
士,14,21046
前,2,3007
土,6,9020
夷,4,6013
韓,6,9020
剋,2,3007
無,34,51112
就,2,3007
瞻,6,9020
支,8,12026
完,4,6013
僖,8,12026
仁,8,12026
杖,4,6013
；,28,42093
守,2,3007
葆,2,3007
仞,2,3007
秋,2,3007
伊,4,6013
奈,2,3007
圍,2,3007
樂,16,24053
貪,2,3007
閭,2,3007
許,6,9020
環,2,3007
戴,2,3007
殺,12,18040
壽,2,3007
門,4,6013
軒,2,3007
拊,2,3007
古,6,9020
匡,2,3007
茂,2,3007
希,2,3007
瞀,8,12026
仰,2,3007
攜,2,3007
臂,4,6013
興,2,3007
多,2,3007
逃,2,3007
延,2,3007
名,2,3007
盡,4,6013
噲,2,3007
筴,2,3007
后,6,9020
冠,4,6013
江,2,3007
書,4,6013
敢,6,9020
吾,56,84185
肘,2,3007
馬,8,12026
功,6,9020
華,10,15033
胡,4,6013
侵,2,3007
泠,2,3007
惑,2,3007
牛,2,3007
齊,4,6013
斂,2,3007
綏,2,3007
原,10,15033
曾,2,3007
患,6,9020
養,12,18040
殷,2,3007
昔,4,6013
畏,2,3007
民,6,9020
試,2,3007
我,30,45099
侯,14,21046
應,6,9020
夏,2,3007
戾,2,3007
愁,2,3007
飯,2,3007
甚,6,9020
國,26,39086
司,2,3007
聽,2,3007
飾,2,3007
七,2,3007
草,2,3007
今,26,39086
及,2,3007
悲,4,6013
加,2,3007
信,4,6013
保,2,3007
軍,2,3007
衣,10,15033
干,2,3007
列,12,18040
察,2,3007
皮,4,6013
削,4,6013
『,8,12026
闕,2,3007
雀,2,3007
歌,8,12026
寒,4,6013
見,26,39086
久,4,6013
寡,4,6013
將,4,6013
卷,4,6013
失,14,21046
序,2,3007
政,6,9020
表,4,6013
官,6,9020
罪,8,12026
清,2,3007
細,2,3007
深,2,3007
謀,12,18040
火,4,6013
潁,2,3007
踐,2,3007
輿,4,6013
西,2,3007
茨,2,3007
暴,2,3007
愧,2,3007
受,18,27060
再,6,9020
忍,10,15033
難,10,15033
阻,2,3007
玉,2,3007
羹,2,3007
欲,6,9020
用,4,6013
素,2,3007
光,8,12026
共,4,6013
知,30,45099
戶,6,9020
尹,4,6013
暑,2,3007
休,2,3007
巡,2,3007
衛,4,6013
形,8,12026
寇,6,9020
塞,2,3007
間,4,6013
愀,2,3007
雨,2,3007
松,2,3007
祿,8,12026
陋,2,3007
害,4,6013
滿,2,3007
連,2,3007
縰,4,6013
手,10,15033
他,4,6013
審,6,9020
病,10,15033
！,52,78172
立,4,6013
祀,2,3007
臨,2,3007
樹,2,3007
賞,8,12026
埋,2,3007
伏,2,3007
約,2,3007
俗,4,6013
堵,2,3007
意,6,9020
弒,2,3007
重,24,36079
等,2,3007
色,12,18040
一,2,3007
伐,10,15033
幣,4,6013
吳,2,3007
召,2,3007
狄,6,9020
甽,2,3007
比,2,3007
變,2,3007
桀,8,12026
州,8,12026
謬,2,3007
富,10,15033
石,8,12026
威,2,3007
高,10,15033
珠,4,6013
捉,2,3007
強,6,9020
踵,2,3007
亡,2,3007
廢,8,12026
禁,2,3007
通,10,15033
