Character, Abs. Freq., Rel. Freq.
弟,2,13661
前,12,81967
留,2,13661
賚,2,13661
朝,4,27322
杜,2,13661
采,2,13661
士,4,27322
駒,2,13661
人,2,13661
功,2,13661
廟,2,13661
中,4,27322
美,10,68306
遣,2,13661
白,2,13661
燕,24,163934
將,2,13661
蕭,2,13661
鴦,2,13661
青,2,13661
嘉,2,13661
宮,2,13661
茨,2,13661
餞,2,13661
戍,2,13661
尊,2,13661
弓,4,27322
作,4,27322
賓,4,27322
比,10,68306
隰,4,27322
流,2,13661
天,38,259563
柔,2,13661
懷,2,13661
政,2,13661
師,2,13661
免,2,13661
洛,4,27322
及,2,13661
田,6,40984
樂,2,13661
民,2,13661
新,2,13661
鳸,2,13661
喪,2,13661
勞,4,27322
興,32,218579
薹,2,13661
周,2,13661
遠,2,13661
諸,16,109290
武,2,13661
伯,2,13661
末,12,81967
使,4,27322
農,12,81967
瞻,2,13661
落,2,13661
彤,2,13661
楚,2,13661
賢,6,40984
陳,2,13661
重,2,13661
《,72,491803
全,4,27322
風,2,13661
一,2,13661
禱,2,13661
佚,2,13661
葉,2,13661
賜,2,13661
祝,4,27322
成,4,27322
大,6,40984
首,6,40984
煌,2,13661
敵,2,13661
還,2,13661
保,2,13661
頌,4,27322
敬,2,13661
友,2,13661
詞,2,13661
上,2,13661
鹿,6,40984
藻,2,13661
來,2,13661
南,4,27322
菁,2,13661
同,2,13661
祭,2,13661
甫,2,13661
臣,6,40984
事,4,27322
桑,6,40984
弁,2,13661
史,2,13661
章,46,314208
入,2,13661
族,4,27322
祀,4,27322
麗,2,13661
等,2,13661
方,4,27322
歌,14,95628
頍,2,13661
湛,2,13661
干,2,13661
鴛,2,13661
鴻,2,13661
公,2,13661
侯,16,109290
賦,58,396175
獻,2,13661
》,72,491803
蓼,2,13661
錫,2,13661
莪,4,27322
鴈,2,13661
隱,2,13661
邠,2,13661
祖,2,13661
詩,44,300546
華,4,27322
伐,4,27322
愾,2,13661
棣,2,13661
輕,2,13661
殺,2,13661
露,2,13661
并,2,13661
常,6,40984
勸,2,13661
犒,2,13661
隆,2,13661
尗,2,13661
矢,2,13661
魚,6,40984
蓋,2,13661
杕,2,13661
牡,2,13661
斯,2,13661
喜,2,13661
會,2,13661
：,68,464481
瓠,2,13661
邑,2,13661
山,4,27322
起,2,13661
兄,2,13661
鳴,6,40984
奏,2,13661
篇,4,27322
姓,2,13661
宗,2,13661
木,4,27322
王,12,81967
報,2,13661
