Character, Abs. Freq., Rel. Freq.
猋,2,19268
票,2,19268
《,12,115607
進,6,57803
欒,2,19268
游,16,154143
率,2,19268
建,8,77071
偃,2,19268
皮,2,19268
从,60,578035
繼,2,19268
木,2,19268
鳥,2,19268
導,2,19268
追,2,19268
縣,2,19268
旐,6,57803
旂,2,19268
衆,10,96339
秋,2,19268
旄,4,38536
「,12,115607
鄙,2,19268
旇,2,19268
讀,2,19268
星,2,19268
字,4,38536
沛,2,19268
亝,2,19268
周,10,96339
毛,4,38536
首,2,19268
曲,4,38536
飛,2,19268
卒,4,38536
矢,4,38536
析,2,19268
疋,4,38536
為,8,77071
大,2,19268
」,12,115607
入,2,19268
都,2,19268
畫,2,19268
發,2,19268
幢,2,19268
旃,6,57803
指,2,19268
動,2,19268
敵,2,19268
柄,2,19268
要,2,19268
族,6,57803
番,2,19268
旌,18,173410
旆,2,19268
長,2,19268
屬,4,38536
揚,2,19268
罰,2,19268
里,2,19268
州,2,19268
旚,4,38536
㫃,60,578035
靡,2,19268
施,8,77071
名,2,19268
石,2,19268
注,2,19268
允,4,38536
春,2,19268
室,2,19268
帛,2,19268
士,8,77071
百,2,19268
斤,2,19268
鈴,2,19268
置,2,19268
知,2,19268
旋,4,38536
上,4,38536
汓,2,19268
旅,4,38536
全,2,19268
熊,2,19268
胡,2,19268
遂,2,19268
蹇,2,19268
會,2,19268
載,4,38536
丹,2,19268
鼓,2,19268
蛇,2,19268
傳,2,19268
象,4,38536
車,4,38536
人,6,57803
古,2,19268
兆,2,19268
羽,4,38536
俱,2,19268
聲,38,366089
奇,2,19268
屮,2,19268
錯,2,19268
》,12,115607
麾,2,19268
攸,2,19268
令,2,19268
精,2,19268
旞,2,19268
旝,6,57803
𣎵,4,38536
披,2,19268
皃,6,57803
旗,36,346821
垂,4,38536
鋒,2,19268
詩,2,19268
禮,8,77071
流,4,38536
旛,2,19268
林,2,19268
通,2,19268
軍,2,19268
期,2,19268
表,2,19268
生,2,19268
幅,2,19268
相,2,19268
：,58,558767
旖,4,38536
營,2,19268
龜,2,19268
機,2,19268
革,2,19268
旟,8,77071
繇,2,19268
束,2,19268
