Character, Abs. Freq., Rel. Freq.
階,2,11905
婁,2,11905
木,4,23810
𢊺,14,83333
技,2,11905
廏,6,35714
無,4,23810
庂,2,11905
春,4,23810
傾,2,11905
廡,6,35714
書,4,23810
牙,2,11905
縣,6,35714
土,2,11905
為,4,23810
開,2,11905
儲,2,11905
馬,6,35714
牆,6,35714
輿,2,11905
臭,2,11905
庖,4,23810
侈,2,11905
居,8,47619
久,2,11905
廂,2,11905
文,4,23810
比,2,11905
鉅,2,11905
光,2,11905
召,2,11905
鳴,2,11905
上,2,11905
綱,2,11905
大,2,11905
祭,2,11905
廥,2,11905
庢,2,11905
府,2,11905
讀,10,59524
飲,2,11905
濟,2,11905
藁,2,11905
廊,4,23810
依,2,11905
序,6,35714
廉,2,11905
倉,4,23810
屯,2,11905
廬,2,11905
陶,2,11905
人,4,23810
庳,4,23810
廷,2,11905
黃,2,11905
廛,2,11905
庮,2,11905
庪,4,23810
陰,2,11905
臾,2,11905
地,2,11905
氐,2,11905
付,2,11905
伯,2,11905
溝,2,11905
瓦,2,11905
因,2,11905
僕,2,11905
舍,6,35714
環,2,11905
蔽,2,11905
堇,2,11905
曷,2,11905
嬰,2,11905
東,4,23810
皃,2,11905
劣,2,11905
雝,2,11905
庶,2,11905
名,2,11905
行,2,11905
槽,2,11905
予,2,11905
隹,2,11905
止,4,23810
牛,2,11905
麗,2,11905
广,116,690476
穜,2,11905
》,12,71429
屰,2,11905
郎,4,23810
廣,4,23810
廁,2,11905
頓,2,11905
寄,2,11905
殷,2,11905
庉,2,11905
廔,4,23810
冬,2,11905
我,2,11905
高,4,23810
怱,2,11905
卑,2,11905
樓,2,11905
匹,2,11905
老,2,11905
庾,2,11905
安,2,11905
屬,2,11905
兼,2,11905
包,2,11905
廑,2,11905
夜,2,11905
廖,2,11905
半,2,11905
字,4,23810
羊,2,11905
姓,2,11905
朽,4,23810
廫,4,23810
庌,4,23810
家,2,11905
一,14,83333
語,2,11905
廈,2,11905
里,2,11905
漢,2,11905
庰,2,11905
蔭,2,11905
會,4,23810
通,2,11905
中,8,47619
車,4,23810
底,2,11905
庱,2,11905
祖,2,11905
陳,2,11905
屋,42,250000
廟,2,11905
廙,2,11905
廚,4,23810
犮,2,11905
畱,2,11905
養,2,11905
少,2,11905
歆,2,11905
置,2,11905
寺,2,11905
幷,2,11905
西,4,23810
牝,2,11905
从,112,666667
國,2,11905
尔,2,11905
周,10,59524
宮,2,11905
礙,2,11905
形,2,11905
清,2,11905
詩,2,11905
藏,6,35714
夏,8,47619
空,2,11905
廮,4,23810
龍,2,11905
鹿,2,11905
膠,2,11905
俠,2,11905
異,2,11905
庠,4,23810
欽,2,11905
虜,2,11905
逋,2,11905
廢,2,11905
：,120,714286
聲,98,583333
龐,2,11905
朝,2,11905
庤,2,11905
酉,2,11905
辟,4,23810
炗,4,23810
古,2,11905
㢚,22,130952
饗,2,11905
對,2,11905
堂,2,11905
《,12,71429
校,2,11905
鹵,2,11905
儼,4,23810
發,2,11905
伏,2,11905
服,2,11905
山,4,23810
天,2,11905
省,4,23810
八,2,11905
尌,2,11905
秅,2,11905
廱,4,23810
張,2,11905
殿,2,11905
維,2,11905
迫,2,11905
芻,2,11905
畝,2,11905
剌,2,11905
當,2,11905
官,2,11905
「,10,59524
廦,2,11905
百,2,11905
象,2,11905
水,2,11905
虚,2,11905
尊,2,11905
用,2,11905
相,4,23810
禮,8,47619
秋,4,23810
庇,2,11905
廞,2,11905
盧,2,11905
詳,4,23810
郤,2,11905
」,10,59524
庭,6,35714
庫,2,11905
兵,2,11905
