Character, Abs. Freq., Rel. Freq.
𣞤,10,240385
書,4,96154
崩,2,48077
域,2,48077
今,2,48077
庶,4,96154
積,2,48077
木,18,432692
條,2,48077
皃,4,96154
繁,2,48077
楚,2,48077
疋,2,48077
傳,2,48077
叢,6,144231
規,2,48077
字,2,48077
麓,6,144231
屬,4,96154
《,4,96154
生,2,48077
豐,2,48077
多,4,96154
商,2,48077
棼,2,48077
矛,2,48077
春,2,48077
自,2,48077
為,2,48077
釋,2,48077
从,24,576923
西,2,48077
山,4,96154
》,4,96154
讀,2,48077
鬱,2,48077
守,2,48077
大,2,48077
」,4,96154
模,2,48077
一,4,96154
秋,2,48077
平,2,48077
儷,2,48077
義,2,48077
無,2,48077
沙,2,48077
林,30,721154
鹿,2,48077
名,2,48077
枝,2,48077
吏,2,48077
參,4,96154
曾,2,48077
棟,2,48077
楙,2,48077
同,2,48077
複,2,48077
；,4,96154
棽,4,96154
省,2,48077
屋,2,48077
森,2,48077
數,2,48077
「,4,96154
：,24,576923
盛,2,48077
說,2,48077
荊,2,48077
梵,2,48077
聲,12,288462
草,2,48077
土,2,48077
分,2,48077
詳,2,48077
意,4,96154
