Character, Abs. Freq., Rel. Freq.
孔,2,5516
震,2,5516
柴,2,5516
飛,6,16547
令,2,5516
蟲,2,5516
爓,2,5516
尉,2,5516
燧,2,5516
纳,2,5516
；,2,5516
齊,2,5516
炪,4,11031
烙,2,5516
閻,2,5516
炎,2,5516
爤,4,11031
肙,2,5516
鴈,2,5516
頃,2,5516
炫,2,5516
番,2,5516
炊,6,16547
俊,2,5516
陽,2,5516
肰,2,5516
各,2,5516
燂,2,5516
共,2,5516
外,2,5516
堯,2,5516
呂,2,5516
禮,8,22063
文,4,11031
豭,2,5516
粦,2,5516
多,4,11031
熯,4,11031
予,2,5516
爗,6,16547
疾,2,5516
燥,6,16547
煙,6,16547
詩,20,55157
周,14,38610
小,2,5516
田,2,5516
吹,2,5516
爟,8,22063
燠,2,5516
燹,2,5516
𤈦,56,154440
耎,2,5516
敖,2,5516
聿,2,5516
蘭,2,5516
卭,2,5516
熚,6,16547
逢,2,5516
爨,2,5516
雚,2,5516
將,2,5516
高,2,5516
奥,2,5516
告,2,5516
爇,12,33094
焌,6,16547
尾,2,5516
伊,2,5516
管,2,5516
屬,2,5516
日,4,11031
傷,2,5516
熇,6,16547
戠,2,5516
方,2,5516
昆,2,5516
亢,2,5516
壽,2,5516
烝,8,22063
湯,2,5516
卒,2,5516
溫,10,27579
麻,2,5516
龜,8,22063
雁,2,5516
持,6,16547
商,2,5516
昭,2,5516
炦,2,5516
網,2,5516
炭,4,11031
微,2,5516
隺,2,5516
照,6,16547
褒,2,5516
死,4,11031
干,2,5516
灺,2,5516
喿,2,5516
奐,2,5516
南,2,5516
聲,214,590182
昷,2,5516
圭,2,5516
覆,2,5516
似,2,5516
牙,2,5516
邊,2,5516
明,16,44126
宗,2,5516
久,2,5516
庭,2,5516
丙,2,5516
息,2,5516
焯,6,16547
猛,2,5516
焜,2,5516
鬱,2,5516
交,6,16547
甚,2,5516
瀞,2,5516
治,2,5516
煴,2,5516
昫,2,5516
爞,2,5516
名,2,5516
爆,2,5516
政,2,5516
謀,2,5516
繒,2,5516
軍,2,5516
乾,12,33094
气,10,27579
爛,2,5516
形,2,5516
馰,4,11031
摽,2,5516
巧,2,5516
炳,2,5516
焞,6,16547
燋,4,11031
兼,2,5516
單,2,5516
遂,2,5516
行,10,27579
室,2,5516
竈,2,5516
灸,2,5516
悤,2,5516
皀,2,5516
烖,4,11031
烓,4,11031
堅,2,5516
樂,2,5516
傳,10,27579
炟,2,5516
炯,2,5516
烄,2,5516
蓺,2,5516
炱,4,11031
電,2,5516
束,2,5516
爍,4,11031
皃,18,49641
柬,2,5516
卓,2,5516
司,2,5516
曾,2,5516
煎,4,11031
煜,2,5516
扇,2,5516
粲,2,5516
絕,2,5516
逸,2,5516
燿,8,22063
赤,4,11031
天,8,22063
豩,2,5516
垔,2,5516
燎,4,11031
煦,2,5516
犧,2,5516
丞,2,5516
燓,2,5516
放,2,5516
餔,2,5516
孚,2,5516
差,2,5516
筩,2,5516
巸,2,5516
烈,2,5516
辛,2,5516
餘,6,16547
釁,2,5516
秋,10,27579
春,10,27579
王,2,5516
熄,2,5516
尞,6,16547
焦,6,16547
戌,6,16547
燭,6,16547
光,18,49641
宵,2,5516
焆,6,16547
䶴,26,71704
昱,2,5516
昜,2,5516
雥,2,5516
省,12,33094
煉,2,5516
岸,2,5516
手,2,5516
讀,18,49641
滅,6,16547
教,2,5516
熭,2,5516
木,8,22063
溥,2,5516
煇,4,11031
夋,2,5516
暴,4,11031
狡,2,5516
》,44,121346
案,2,5516
赫,4,11031
旣,2,5516
諱,2,5516
衞,2,5516
《,44,121346
同,2,5516
勺,2,5516
意,4,11031
炥,2,5516
炅,2,5516
烰,6,16547
埶,2,5516
烘,4,11031
稫,2,5516
屈,2,5516
鑠,2,5516
毛,2,5516
矦,2,5516
熱,10,27579
祓,2,5516
盛,12,33094
蒸,2,5516
曹,2,5516
負,2,5516
爚,2,5516
喜,2,5516
憂,2,5516
味,2,5516
纲,2,5516
置,2,5516
燦,4,11031
燀,4,11031
苣,2,5516
氣,2,5516
籒,2,5516
孰,2,5516
翏,2,5516
靡,2,5516
望,2,5516
盡,2,5516
炙,10,27579
地,2,5516
煌,6,16547
畏,2,5516
上,10,27579
熲,2,5516
炕,2,5516
包,2,5516
盆,2,5516
表,2,5516
前,4,11031
」,44,121346
人,2,5516
煁,4,11031
焅,2,5516
爵,2,5516
書,6,16547
中,6,16547
彤,2,5516
韋,4,11031
柔,4,11031
煣,6,16547
門,2,5516
熮,4,11031
一,8,22063
龠,2,5516
警,2,5516
：,282,777716
色,2,5516
兆,4,11031
旱,4,11031
薪,4,11031
熠,8,22063
灰,4,11031
刃,2,5516
車,2,5516
爰,2,5516
掌,2,5516
燒,10,27579
燬,6,16547
拙,4,11031
覃,2,5516
習,2,5516
見,4,11031
犮,2,5516
炮,4,11031
古,2,5516
