Character, Abs. Freq., Rel. Freq.
引,2,40000
中,2,40000
矦,8,160000
春,2,40000
熊,4,80000
人,4,80000
委,2,40000
鏑,2,40000
矮,2,40000
豕,4,80000
矰,2,40000
作,2,40000
箝,2,40000
羽,2,40000
古,2,40000
服,2,40000
曾,2,40000
天,2,40000
聲,14,280000
牟,2,40000
䠶,12,240000
：,24,480000
知,2,40000
箭,2,40000
饗,2,40000
為,4,80000
喬,2,40000
諸,2,40000
矤,2,40000
況,2,40000
矯,2,40000
射,4,80000
厂,2,40000
祝,2,40000
豆,2,40000
屬,2,40000
猛,2,40000
短,6,120000
朝,2,40000
遠,2,40000
詞,8,160000
象,4,80000
弩,4,80000
昜,2,40000
士,2,40000
伉,2,40000
身,4,80000
布,2,40000
矢,38,760000
傷,2,40000
初,2,40000
正,2,40000
隿,2,40000
惑,2,40000
虎,4,80000
田,2,40000
揉,2,40000
王,2,40000
除,2,40000
𥏫,2,40000
；,10,200000
張,2,40000
省,2,40000
害,2,40000
从,32,640000
語,2,40000
豹,2,40000
寕,2,40000
汝,2,40000
夷,2,40000
鹿,2,40000
弓,4,80000
口,2,40000
入,2,40000
長,2,40000
麋,4,80000
形,2,40000
毋,2,40000
發,2,40000
「,2,40000
」,2,40000
栝,2,40000
大,2,40000
