Character, Abs. Freq., Rel. Freq.
入,4,35524
巽,2,17762
心,2,17762
叕,2,17762
隸,2,17762
用,2,17762
竹,2,17762
秦,2,17762
積,2,17762
冂,2,17762
象,2,17762
米,2,17762
干,2,17762
氏,2,17762
議,2,17762
思,2,17762
否,2,17762
多,2,17762
鳥,6,53286
柴,2,17762
「,8,71048
奄,2,17762
詈,4,35524
𦌾,22,195382
庖,2,17762
林,2,17762
部,2,17762
《,8,71048
遣,4,35524
今,2,17762
言,4,35524
聚,2,17762
古,6,53286
水,2,17762
罾,2,17762
器,2,17762
罳,4,35524
音,2,17762
字,2,17762
赦,2,17762
絡,2,17762
罟,12,106572
寡,2,17762
頭,2,17762
舞,2,17762
釣,2,17762
銳,2,17762
曾,2,17762
通,2,17762
署,4,35524
貫,2,17762
罝,2,17762
人,2,17762
犧,2,17762
中,4,35524
典,2,17762
罻,2,17762
一,2,17762
罜,6,53286
變,2,17762
童,2,17762
罽,2,17762
漁,2,17762
兔,4,35524
罭,2,17762
罷,2,17762
从,82,728242
文,4,35524
綰,2,17762
置,2,17762
經,2,17762
瓜,2,17762
行,2,17762
罛,4,35524
憂,2,17762
䍏,24,213144
禮,2,17762
絆,2,17762
罩,2,17762
維,2,17762
屏,2,17762
罪,4,35524
牖,2,17762
阻,2,17762
互,2,17762
辟,2,17762
畱,6,53286
」,8,71048
曲,2,17762
罨,2,17762
雉,2,17762
包,2,17762
網,2,17762
：,82,728242
捕,8,71048
》,8,71048
作,4,35524
直,2,17762
繩,2,17762
馬,6,53286
周,4,35524
罠,2,17762
梁,2,17762
笱,2,17762
交,2,17762
聲,58,515098
非,2,17762
鹿,2,17762
婦,2,17762
罧,2,17762
主,2,17762
詳,2,17762
罵,4,35524
車,4,35524
罘,2,17762
繯,4,35524
罬,4,35524
詩,6,53286
魚,18,159858
離,4,35524
羀,2,17762
籒,2,17762
屬,4,35524
网,108,959147
罹,2,17762
為,2,17762
羅,4,35524
罿,2,17762
卓,2,17762
賢,2,17762
施,2,17762
初,2,17762
濊,4,35524
絲,2,17762
罯,2,17762
民,2,17762
結,2,17762
芒,2,17762
覆,6,53286
辠,6,53286
