Character, Abs. Freq., Rel. Freq.
文,2,26954
」,10,134771
舟,2,26954
周,2,26954
野,4,53908
貜,2,26954
貒,2,26954
中,2,26954
似,12,161725
猰,2,26954
豺,4,53908
鼠,4,53908
貓,2,26954
俞,2,26954
黑,4,53908
獻,2,26954
言,2,26954
》,8,107817
貀,4,53908
國,4,53908
湍,2,26954
語,2,26954
區,2,26954
貘,2,26954
貉,8,107817
猛,4,53908
漢,2,26954
司,2,26954
皮,2,26954
干,2,26954
《,8,107817
捕,2,26954
百,2,26954
：,52,700809
伏,2,26954
貈,4,53908
貛,2,26954
貙,10,134771
雚,2,26954
零,2,26954
貆,2,26954
纱,2,26954
北,2,26954
「,10,134771
貍,6,80863
居,2,26954
聲,42,566038
律,2,26954
𦟝,6,80863
胡,4,53908
耑,2,26954
書,2,26954
庸,2,26954
貔,8,107817
丁,2,26954
豕,2,26954
召,2,26954
熊,2,26954
無,2,26954
虎,6,80863
各,2,26954
勺,2,26954
豸,52,700809
黃,4,53908
善,4,53908
玃,2,26954
貁,2,26954
長,2,26954
惡,2,26954
圜,2,26954
豻,2,26954
殺,2,26954
蜀,2,26954
貚,2,26954
欲,2,26954
旋,2,26954
單,2,26954
購,2,26954
類,2,26954
穴,2,26954
詩,2,26954
獸,14,188679
屬,14,188679
獌,2,26954
色,2,26954
讀,2,26954
錢,2,26954
論,2,26954
狼,2,26954
迅,2,26954
穜,2,26954
从,42,566038
大,2,26954
睡,2,26954
食,2,26954
前,2,26954
走,2,26954
里,2,26954
爪,2,26954
矍,2,26954
形,2,26954
厚,2,26954
才,2,26954
貐,4,53908
豹,4,53908
為,2,26954
人,2,26954
貂,2,26954
地,2,26954
方,2,26954
亘,2,26954
孔,2,26954
狐,4,53908
狗,4,53908
行,2,26954
苗,2,26954
