Character, Abs. Freq., Rel. Freq.
箸,2,62893
《,2,62893
「,4,125786
：,20,628931
履,4,125786
古,4,125786
卑,2,62893
義,2,62893
為,2,62893
从,18,566038
𪎭,10,314465
占,2,62893
相,2,62893
䵒,6,188679
》,2,62893
酒,2,62893
米,2,62893
傳,2,62893
黏,12,377358
黎,2,62893
穜,2,62893
文,2,62893
葉,2,62893
潰,2,62893
春,2,62893
作,2,62893
利,2,62893
暑,2,62893
大,2,62893
聲,16,503145
孔,2,62893
日,2,62893
水,2,62893
屬,6,188679
」,4,125786
禾,8,251572
雨,2,62893
畐,2,62893
豆,2,62893
省,4,125786
黍,30,943396
穄,2,62893
麻,2,62893
入,2,62893
治,2,62893
秋,2,62893
