Character, Abs. Freq., Rel. Freq.
單,1,37037
蝦,1,37037
鼂,3,111111
行,2,74074
䵶,4,148148
鼃,2,74074
長,1,37037
鼉,1,37037
鼄,3,111111
甲,1,37037
」,1,37037
營,2,74074
句,1,37037
它,2,74074
食,1,37037
同,1,37037
林,1,37037
屬,2,74074
海,1,37037
：,16,592593
形,1,37037
大,4,148148
旦,2,74074
似,1,37037
楊,1,37037
薉,1,37037
東,1,37037
鼀,4,148148
貉,1,37037
遼,1,37037
省,1,37037
朱,1,37037
民,1,37037
象,1,37037
兩,1,37037
蟊,1,37037
詹,3,111111
𪓑,16,592593
鼇,1,37037
爾,1,37037
蜥,1,37037
鳴,1,37037
敖,1,37037
非,1,37037
元,1,37037
易,1,37037
言,1,37037
為,1,37037
諸,3,111111
《,1,37037
讀,1,37037
黿,1,37037
皮,1,37037
》,1,37037
蟲,5,185185
朝,2,74074
奚,1,37037
頭,3,111111
黽,12,444444
蟇,1,37037
从,18,666667
聲,11,407407
圥,5,185185
匽,2,74074
虫,1,37037
「,1,37037
說,1,37037
蠅,2,74074
雄,1,37037
青,1,37037
杜,1,37037
水,2,74074
腹,1,37037
鼈,3,111111
角,1,37037
敝,1,37037
詩,1,37037
圭,1,37037
名,1,37037
