Character, Abs. Freq., Rel. Freq.
班,2,1394
吠,2,1394
鼓,12,8362
壞,2,1394
離,6,4181
菟,6,4181
治,6,4181
父,30,20906
景,12,8362
學,2,1394
珪,2,1394
波,2,1394
淫,6,4181
鄭,2,1394
仁,20,13937
事,34,23693
黿,2,1394
尚,8,5575
執,4,2787
旗,2,1394
辟,4,2787
狗,8,5575
遊,10,6969
逄,2,1394
朕,2,1394
浪,2,1394
用,16,11150
膽,2,1394
斷,4,2787
母,2,1394
新,14,9756
韓,2,1394
弋,2,1394
寡,14,9756
直,2,1394
立,20,13937
譽,2,1394
卵,2,1394
華,2,1394
忽,6,4181
廉,2,1394
州,6,4181
援,2,1394
瘠,2,1394
摶,6,4181
土,2,1394
度,2,1394
地,12,8362
袂,2,1394
儒,2,1394
宣,2,1394
竹,2,1394
將,28,19512
妄,6,4181
魚,8,5575
文,32,22300
麗,2,1394
德,14,9756
歸,8,5575
」,284,197909
陵,6,4181
尊,4,2787
揚,2,1394
名,4,2787
群,6,4181
杞,2,1394
家,12,8362
青,4,2787
祁,4,2787
疽,2,1394
荊,8,5575
甕,2,1394
實,2,1394
舌,4,2787
衣,32,22300
帝,10,6969
檻,4,2787
偶,2,1394
奴,2,1394
『,34,23693
溝,2,1394
絕,6,4181
決,4,2787
冠,4,2787
軾,2,1394
報,6,4181
間,2,1394
贍,4,2787
察,2,1394
長,14,9756
兒,2,1394
崩,2,1394
爭,2,1394
賤,10,6969
皇,4,2787
端,6,4181
抃,2,1394
羆,2,1394
獵,6,4181
同,4,2787
摩,2,1394
灰,2,1394
譬,12,8362
轡,6,4181
固,36,25087
深,10,6969
萬,4,2787
爵,2,1394
怨,4,2787
雍,8,5575
骨,4,2787
犬,2,1394
益,8,5575
偃,2,1394
憂,14,9756
戰,2,1394
擊,4,2787
著,2,1394
錢,2,1394
滲,2,1394
被,4,2787
救,4,2787
肉,6,4181
舞,2,1394
把,4,2787
曠,2,1394
向,12,8362
託,22,15331
虎,6,4181
膠,2,1394
軍,6,4181
逃,2,1394
奇,2,1394
賞,8,5575
抱,4,2787
枑,2,1394
說,62,43206
種,2,1394
忿,2,1394
連,6,4181
傳,4,2787
衿,2,1394
安,18,12544
舟,10,6969
陽,2,1394
弱,2,1394
季,2,1394
流,10,6969
禹,2,1394
災,2,1394
危,12,8362
中,36,25087
洞,2,1394
容,2,1394
惿,2,1394
寤,2,1394
身,20,13937
觀,2,1394
驂,6,4181
營,2,1394
毛,2,1394
面,2,1394
衢,2,1394
易,6,4181
難,4,2787
神,4,2787
告,4,2787
廣,6,4181
滑,2,1394
苟,2,1394
釜,2,1394
拾,2,1394
鬵,2,1394
俊,2,1394
宗,2,1394
戒,2,1394
驚,2,1394
飛,2,1394
定,2,1394
無,106,73868
蒯,2,1394
駟,2,1394
孔,18,12544
嚭,8,5575
枯,2,1394
徵,4,2787
漏,2,1394
秦,28,19512
象,2,1394
衰,4,2787
裁,2,1394
否,4,2787
送,4,2787
常,2,1394
試,2,1394
尸,4,2787
汝,10,6969
友,8,5575
客,14,9756
儐,2,1394
食,18,12544
切,4,2787
蹙,2,1394
耳,12,8362
裂,2,1394
清,2,1394
廩,4,2787
倡,2,1394
脩,8,5575
觴,2,1394
髮,4,2787
加,2,1394
真,2,1394
諂,2,1394
輻,2,1394
燕,2,1394
居,8,5575
掌,2,1394
羞,2,1394
遂,4,2787
墓,8,5575
忠,6,4181
悅,2,1394
邊,2,1394
管,24,16725
坐,4,2787
賊,2,1394
通,18,12544
放,2,1394
近,2,1394
邃,2,1394
耶,6,4181
誅,2,1394
道,22,15331
珍,4,2787
親,14,9756
腹,2,1394
衛,2,1394
冬,2,1394
兵,4,2787
對,42,29268
會,2,1394
孫,4,2787
伐,4,2787
擾,2,1394
虛,14,9756
詬,2,1394
老,26,18118
小,12,8362
術,2,1394
愧,4,2787
蠡,2,1394
豎,2,1394
山,16,11150
馬,4,2787
醉,2,1394
生,68,47387
搴,2,1394
牛,4,2787
粟,12,8362
瑞,2,1394
好,4,2787
死,34,23693
釂,4,2787
丁,2,1394
玉,18,12544
泫,2,1394
捕,2,1394
發,10,6969
業,2,1394
主,8,5575
橫,4,2787
