Character, Abs. Freq., Rel. Freq.
晉,2,3815
平,4,7631
小,2,3815
勝,4,7631
度,2,3815
靜,2,3815
賈,2,3815
意,4,7631
漢,12,22892
惡,4,7631
序,2,3815
損,2,3815
更,6,11446
屋,2,3815
進,4,7631
辨,4,7631
華,10,19077
須,2,3815
宜,4,7631
數,4,7631
時,2,3815
壞,4,7631
經,8,15261
孝,2,3815
頗,4,7631
同,6,11446
感,2,3815
曉,4,7631
令,4,7631
生,10,19077
帛,2,3815
情,6,11446
偉,2,3815
孟,10,19077
浮,4,7631
卓,2,3815
見,12,22892
安,6,11446
術,2,3815
衍,6,11446
主,4,7631
鬼,6,11446
民,20,38153
竹,2,3815
增,10,19077
況,4,7631
千,2,3815
奉,4,7631
猶,8,15261
圖,2,3815
暑,2,3815
改,2,3815
理,2,3815
氏,2,3815
覽,4,7631
彈,2,3815
好,8,15261
聽,2,3815
議,2,3815
覆,2,3815
紀,2,3815
役,2,3815
壽,2,3815
遊,2,3815
流,6,11446
《,120,228920
非,32,61045
患,2,3815
間,8,15261
奚,4,7631
縻,2,3815
黃,2,3815
免,2,3815
水,2,3815
刖,2,3815
繩,2,3815
否,4,7631
具,4,7631
押,2,3815
楚,4,7631
胸,4,7631
害,10,19077
人,36,68676
虛,30,57230
起,10,19077
自,6,11446
黜,2,3815
便,4,7631
桀,2,3815
調,2,3815
文,38,72491
難,2,3815
橫,2,3815
教,8,15261
丘,2,3815
顏,2,3815
愚,4,7631
許,2,3815
盛,4,7631
麾,2,3815
校,2,3815
陳,4,7631
魂,2,3815
縣,2,3815
頌,2,3815
列,2,3815
忍,2,3815
斯,4,7631
受,4,7631
春,8,15261
危,2,3815
心,20,38153
飲,2,3815
石,4,7631
地,2,3815
密,2,3815
散,2,3815
宣,4,7631
倉,6,11446
恢,2,3815
誅,2,3815
杌,2,3815
室,2,3815
法,2,3815
越,2,3815
皮,2,3815
班,2,3815
汝,4,7631
諸,4,7631
樂,2,3815
趨,2,3815
藏,2,3815
飾,2,3815
懷,2,3815
吏,6,11446
訂,6,11446
皇,2,3815
職,2,3815
定,4,7631
奇,8,15261
沒,2,3815
造,24,45784
迷,4,7631
審,2,3815
化,10,19077
還,4,7631
藝,2,3815
史,4,7631
丹,2,3815
著,4,7631
銓,2,3815
外,2,3815
臺,4,7631
動,4,7631
愁,2,3815
歸,4,7631
輒,2,3815
禁,6,11446
事,30,57230
求,2,3815
思,2,3815
古,2,3815
驂,4,7631
楊,8,15261
林,4,7631
日,14,26707
據,2,3815
公,4,7631
父,2,3815
暮,2,3815
頡,6,11446
朝,4,7631
為,48,91568
庭,2,3815
負,2,3815
世,32,61045
驅,4,7631
車,8,15261
瓦,4,7631
務,16,30523
題,4,7631
中,8,15261
轉,6,11446
年,4,7631
略,2,3815
將,2,3815
孔,8,15261
草,6,11446
？,28,53415
今,16,30523
戰,2,3815
觸,4,7631
大,2,3815
本,6,11446
濟,2,3815
垂,2,3815
成,8,15261
純,2,3815
孳,2,3815
手,4,7631
悟,6,11446
偽,20,38153
「,8,15261
憂,4,7631
歉,2,3815
雲,2,3815
微,2,3815
退,6,11446
耳,6,11446
衣,2,3815
隱,2,3815
稱,8,15261
旨,2,3815
恩,2,3815
濁,2,3815
細,2,3815
纖,2,3815
上,24,45784
歛,2,3815
君,4,7631
坤,2,3815
唐,2,3815
伯,4,7631
魯,4,7631
尊,2,3815
誤,2,3815
臆,2,3815
實,40,76307
被,2,3815
空,6,11446
失,12,22892
拓,2,3815
苟,4,7631
道,18,34338
核,2,3815
才,2,3815
說,22,41969
割,4,7631
寒,2,3815
貪,2,3815
雨,2,3815
效,2,3815
徒,6,11446
貶,4,7631
忌,2,3815
秋,8,15261
顓,2,3815
萬,2,3815
朱,2,3815
云,4,7631
家,8,15261
釋,2,3815
王,8,15261
極,4,7631
廢,4,7631
掖,2,3815
放,4,7631
獄,2,3815
消,2,3815
遭,2,3815
馬,4,7631
傷,4,7631
顯,2,3815
奢,2,3815
涌,2,3815
筆,6,11446
反,4,7631
立,10,19077
易,6,11446
盡,4,7631
通,4,7631
爭,2,3815
神,2,3815
喪,2,3815
嫉,2,3815
再,2,3815
淮,2,3815
材,2,3815
賊,6,11446
采,6,11446
多,6,11446
余,2,3815
鄒,6,11446
救,2,3815
國,8,15261
詔,2,3815
薄,12,22892
！,4,7631
前,6,11446
盜,4,7631
賢,14,26707
八,6,11446
異,6,11446
並,4,7631
黨,2,3815
一,10,19077
荀,2,3815
死,14,26707
截,2,3815
語,12,22892
獸,2,3815
侈,2,3815
廷,2,3815
記,22,41969
邑,2,3815
典,2,3815
