Character, Abs. Freq., Rel. Freq.
聖,14,23419
君,2,3346
祐,2,3346
使,28,46838
庚,6,10037
買,2,3346
視,12,20074
光,8,13382
為,46,76949
化,4,6691
利,2,3346
秋,8,13382
徵,2,3346
俱,8,13382
白,14,23419
達,2,3346
豆,2,3346
小,2,3346
養,4,6691
澤,2,3346
當,8,13382
蓂,14,23419
詩,6,10037
變,2,3346
熟,2,3346
冬,8,13382
遠,2,3346
立,2,3346
聽,2,3346
嬴,2,3346
洽,2,3346
娛,2,3346
馬,4,6691
夕,2,3346
父,4,6691
杖,2,3346
精,6,10037
厭,2,3346
言,66,110405
殞,2,3346
潤,4,6691
揚,2,3346
滋,2,3346
助,4,6691
褒,2,3346
皇,4,6691
欺,2,3346
卓,2,3346
政,2,3346
檻,2,3346
高,4,6691
同,2,3346
數,26,43493
惟,2,3346
魚,2,3346
霣,2,3346
煩,8,13382
春,6,10037
身,2,3346
穀,4,6691
室,4,6691
女,6,10037
枯,2,3346
因,8,13382
直,4,6691
扆,2,3346
性,18,30110
舟,6,10037
沾,2,3346
破,4,6691
術,2,3346
躬,2,3346
急,4,6691
津,2,3346
市,4,6691
更,16,26765
反,2,3346
卑,2,3346
觟,20,33456
度,2,3346
手,6,10037
適,6,10037
觸,14,23419
竈,2,3346
假,4,6691
傍,2,3346
步,2,3346
莢,64,107059
應,12,20074
業,2,3346
甘,44,73603
烏,2,3346
軼,20,33456
價,8,13382
濡,2,3346
匪,2,3346
令,8,13382
甚,2,3346
啟,4,6691
間,4,6691
宮,2,3346
和,10,16728
世,4,6691
吉,4,6691
涌,2,3346
累,2,3346
家,4,6691
豐,2,3346
釋,6,10037
音,2,3346
擾,4,6691
往,2,3346
近,2,3346
稱,2,3346
指,30,50184
勞,2,3346
鳳,8,13382
盛,2,3346
相,8,13382
月,24,40147
耕,2,3346
賣,2,3346
府,2,3346
豈,4,6691
軫,4,6691
沒,2,3346
自,28,46838
少,2,3346
臭,4,6691
復,18,30110
南,6,10037
上,4,6691
來,8,13382
貨,2,3346
懸,6,10037
無,26,43493
末,12,20074
道,8,13382
伐,4,6691
信,2,3346
車,2,3346
人,70,117096
燕,2,3346
獨,2,3346
倉,8,13382
獄,8,13382
即,2,3346
頭,4,6691
半,2,3346
較,2,3346
體,2,3346
增,6,10037
鵲,4,6691
罪,18,30110
輒,8,13382
廚,14,23419
禍,2,3346
尚,6,10037
齒,2,3346
說,10,16728
夾,4,6691
宣,2,3346
紀,2,3346
北,2,3346
求,8,13382
西,4,6691
地,12,20074
干,2,3346
俗,2,3346
陶,10,16728
露,40,66912
周,2,3346
龍,2,3346
著,12,20074
朔,4,6691
脯,14,23419
山,2,3346
平,26,43493
濕,2,3346
鼓,8,13382
長,8,13382
；,18,30110
孟,2,3346
畫,2,3346
識,2,3346
異,20,33456
疾,2,3346
朱,2,3346
訟,4,6691
意,2,3346
須,14,23419
