Character, Abs. Freq., Rel. Freq.
驕,2,1691
家,10,8456
川,6,5074
民,4,3382
省,2,1691
鴟,2,1691
篇,2,1691
諱,8,6765
立,20,16912
鑊,12,10147
乳,2,1691
禹,50,42280
拂,2,1691
蒼,16,13530
石,2,1691
一,40,33824
忠,2,1691
共,4,3382
視,8,6765
誅,4,3382
肉,4,3382
千,18,15221
示,2,1691
疽,8,6765
葅,6,5074
瀦,2,1691
顙,2,1691
堪,2,1691
損,2,1691
安,16,13530
撫,2,1691
莽,4,3382
敢,4,3382
境,2,1691
垂,2,1691
古,2,1691
鉛,2,1691
隔,2,1691
邊,2,1691
天,56,47353
適,2,1691
顯,2,1691
夕,2,1691
罪,2,1691
膝,2,1691
正,8,6765
驅,8,6765
察,8,6765
翁,2,1691
妄,6,5074
動,2,1691
血,4,3382
衰,4,3382
悲,2,1691
詭,2,1691
塗,2,1691
兼,2,1691
辨,2,1691
壞,2,1691
聞,8,6765
肯,4,3382
向,2,1691
驚,2,1691
事,20,16912
土,10,8456
羊,2,1691
怒,14,11838
回,2,1691
卿,2,1691
前,14,11838
消,2,1691
招,2,1691
施,2,1691
微,2,1691
思,6,5074
滅,4,3382
梧,16,13530
野,2,1691
操,8,6765
萬,6,5074
異,12,10147
草,2,1691
來,10,8456
太,32,27059
歎,2,1691
貶,4,3382
君,28,23677
冒,2,1691
尊,4,3382
》,44,37206
欺,2,1691
籠,2,1691
客,6,5074
韓,8,6765
姑,6,5074
備,2,1691
常,6,5074
旁,2,1691
郡,10,8456
甯,2,1691
飛,2,1691
造,2,1691
輔,2,1691
霍,2,1691
委,2,1691
』,2,1691
投,14,11838
泗,12,10147
堯,14,11838
帛,2,1691
猶,16,13530
湘,10,8456
歟,2,1691
茅,2,1691
副,4,3382
通,6,5074
毫,2,1691
責,8,6765
寄,4,3382
擊,24,20294
盛,4,3382
色,4,3382
傳,52,43971
步,2,1691
齒,6,5074
流,22,18603
柳,2,1691
俠,4,3382
燎,2,1691
離,8,6765
終,10,8456
行,34,28750
婁,2,1691
訃,2,1691
靈,4,3382
刀,2,1691
幽,6,5074
曠,2,1691
早,4,3382
管,18,15221
排,2,1691
節,4,3382
室,6,5074
師,2,1691
傷,6,5074
聚,4,3382
遠,16,13530
彊,2,1691
著,2,1691
仰,4,3382
悔,2,1691
左,6,5074
誠,2,1691
威,4,3382
亞,2,1691
仁,4,3382
里,18,15221
匡,2,1691
原,8,6765
聖,26,21985
煮,4,3382
烏,2,1691
鼎,6,5074
冀,4,3382
陰,6,5074
狹,4,3382
陸,2,1691
荊,4,3382
卒,6,5074
諸,38,32133
烹,4,3382
竹,2,1691
纖,2,1691
漼,2,1691
饑,2,1691
偶,2,1691
井,14,11838
隨,4,3382
使,48,40589
魂,6,5074
容,2,1691
靡,2,1691
？,124,104854
津,2,1691
螺,2,1691
理,12,10147
雨,2,1691
令,4,3382
遭,2,1691
多,14,11838
泊,2,1691
拙,2,1691
北,6,5074
憐,2,1691
賈,2,1691
親,4,3382
翦,2,1691
襲,2,1691
鎌,2,1691
吸,2,1691
況,12,10147
戴,2,1691
馳,2,1691
即,4,3382
猛,6,5074
姜,4,3382
門,10,8456
汲,4,3382
琅,2,1691
報,22,18603
漢,6,5074
音,6,5074
讎,4,3382
沙,8,6765
甲,8,6765
稽,38,32133
昌,6,5074
精,16,13530
侯,44,37206
岸,4,3382
形,2,1691
谷,4,3382
『,2,1691
寧,2,1691
眇,2,1691
吳,52,43971
對,2,1691
率,6,5074
累,4,3382
貞,2,1691
專,2,1691
鳩,14,11838
攝,2,1691
難,10,8456
讖,2,1691
顧,2,1691
昧,2,1691
禮,10,8456
騰,2,1691
請,2,1691
并,4,3382
文,12,10147
附,2,1691
為,118,99780
綸,2,1691
尤,2,1691
憂,4,3382
干,2,1691
右,4,3382
良,2,1691
犯,4,3382
漾,2,1691
虞,8,6765
斬,4,3382
青,4,3382
殺,30,25368
刑,2,1691
狂,2,1691
非,30,25368
睛,4,3382
嫡,2,1691
狄,4,3382
游,6,5074
趙,2,1691
蜚,2,1691
散,4,3382
龍,4,3382
汎,2,1691
仇,4,3382
露,2,1691
丹,14,11838
眼,2,1691
崇,4,3382
齊,12,10147
曲,4,3382
糜,2,1691
謝,2,1691
今,12,10147
空,4,3382
深,4,3382
心,6,5074
竟,6,5074
神,22,18603
軍,2,1691
合,4,3382
棄,2,1691
裸,2,1691
劍,6,5074
冠,2,1691
梁,2,1691
愈,2,1691
受,4,3382
枚,2,1691
往,6,5074
運,2,1691
胥,42,35515
益,8,6765
譎,2,1691
孰,4,3382
顏,20,16912
平,6,5074
序,2,1691
汁,2,1691
勞,2,1691
襄,6,5074
物,8,6765
交,2,1691
分,8,6765
波,2,1691
溺,4,3382
驗,8,6765
胤,2,1691
致,10,8456
王,64,54118
女,8,6765
夔,14,11838
亭,2,1691
殊,6,5074
浮,2,1691
婦,38,32133
巍,2,1691
睹,2,1691
害,6,5074
追,2,1691
守,10,8456
統,2,1691
廟,2,1691
河,8,6765
南,18,15221
蹔,2,1691
嚴,2,1691
遂,10,8456
踊,2,1691
鉤,2,1691
好,2,1691
病,12,10147
宋,8,6765
秩,6,5074
論,12,10147
還,6,5074
發,6,5074
鄉,4,3382
及,2,1691
短,4,3382
低,8,6765
斷,8,6765
駭,2,1691
缺,2,1691
兩,2,1691
許,2,1691
舊,2,1691
歸,2,1691
手,2,1691
漎,2,1691
目,20,16912
瀨,6,5074
庭,2,1691
葵,2,1691
錢,10,8456
獸,18,15221
路,10,8456
明,20,16912
武,2,1691
壯,2,1691
當,22,18603
嘉,2,1691
恆,2,1691
變,2,1691
留,2,1691
方,20,16912
勤,4,3382
