Character, Abs. Freq., Rel. Freq.
引,2,2187
令,2,2187
噞,2,2187
亂,4,4374
正,4,4374
浚,2,2187
材,2,2187
廩,2,2187
病,4,4374
符,4,4374
准,4,4374
市,2,2187
侯,10,10936
冉,2,2187
吉,4,4374
左,2,2187
防,8,8749
予,4,4374
史,10,10936
良,4,4374
肉,2,2187
力,2,2187
古,4,4374
善,14,15311
宮,2,2187
趙,8,8749
難,6,6562
絕,18,19685
緣,2,2187
禮,2,2187
樂,6,6562
呼,4,4374
殖,4,4374
超,2,2187
言,74,80927
敦,2,2187
徹,2,2187
逢,2,2187
志,10,10936
勉,2,2187
曉,4,4374
履,2,2187
欲,14,15311
的,2,2187
厲,4,4374
延,2,2187
親,8,8749
見,74,80927
殺,6,6562
客,8,8749
？,94,102800
富,2,2187
田,12,13123
竊,6,6562
早,4,4374
私,2,2187
冀,4,4374
積,2,2187
實,30,32808
相,12,13123
用,18,19685
聞,36,39370
遇,8,8749
詩,2,2187
玉,2,2187
當,32,34996
朱,2,2187
休,2,2187
廟,10,10936
監,2,2187
昭,4,4374
長,2,2187
觀,8,8749
揆,2,2187
應,12,13123
期,2,2187
告,6,6562
幾,2,2187
孔,104,113736
默,2,2187
柳,6,6562
虞,6,6562
厄,2,2187
道,16,17498
歟,2,2187
鼓,2,2187
功,6,6562
狂,4,4374
復,14,15311
反,8,8749
舉,2,2187
賓,10,10936
魯,18,19685
性,2,2187
荅,2,2187
奮,2,2187
帝,2,2187
產,4,4374
舜,16,17498
孫,6,6562
商,4,4374
頑,2,2187
終,2,2187
宰,6,6562
詘,16,17498
髡,16,17498
漢,2,2187
服,2,2187
桓,4,4374
廣,2,2187
就,4,4374
語,2,2187
一,16,17498
喜,6,6562
諸,16,17498
手,2,2187
大,12,13123
患,6,6562
聽,2,2187
顏,10,10936
求,2,2187
毉,2,2187
識,2,2187
遟,2,2187
定,10,10936
千,2,2187
濟,2,2187
骨,2,2187
心,14,15311
嘗,4,4374
入,10,10936
知,202,220910
『,14,15311
塋,2,2187
別,4,4374
仲,20,21872
關,2,2187
處,6,6562
溺,2,2187
載,2,2187
教,6,6562
耕,2,2187
觸,4,4374
遭,6,6562
藏,6,6562
議,2,2187
數,6,6562
才,8,8749
賜,2,2187
佚,2,2187
洎,2,2187
兼,4,4374
門,8,8749
勞,8,8749
井,2,2187
久,4,4374
恭,4,4374
懷,2,2187
殷,2,2187
察,2,2187
堂,2,2187
物,12,13123
殊,14,15311
情,6,6562
億,4,4374
稟,2,2187
直,2,2187
路,8,8749
再,2,2187
父,8,8749
論,8,8749
使,22,24059
邦,2,2187
愁,2,2187
刪,2,2187
薄,2,2187
駭,2,2187
謹,2,2187
黨,2,2187
德,4,4374
筆,2,2187
專,2,2187
舍,6,6562
百,6,6562
悖,2,2187
貨,8,8749
邪,8,8749
脩,2,2187
凶,2,2187
貿,4,4374
宜,16,17498
風,6,6562
行,22,24059
多,10,10936
為,74,80927
甫,6,6562
掇,2,2187
律,2,2187
閔,6,6562
工,2,2187
徒,10,10936
揣,2,2187
御,8,8749
豚,2,2187
發,6,6562
殯,6,6562
視,8,8749
意,22,24059
倫,2,2187
嗟,2,2187
庶,2,2187
遙,2,2187
儉,4,4374
果,4,4374
惚,2,2187
鄭,2,2187
窺,2,2187
受,2,2187
鍾,2,2187
證,4,4374
往,10,10936
怫,2,2187
倍,4,4374
陽,4,4374
館,2,2187
巧,4,4374
昌,2,2187
右,2,2187
騫,6,6562
七,2,2187
爾,2,2187
恍,2,2187
