Character, Abs. Freq., Rel. Freq.
虹,2,4490
逃,2,4490
雲,2,4490
忌,6,13471
邊,4,8981
止,4,8981
難,4,8981
耳,8,17961
震,2,4490
寒,4,8981
青,4,8981
火,6,13471
河,4,8981
繁,2,4490
積,4,8981
萬,4,8981
負,6,13471
煙,2,4490
釋,4,8981
憎,2,4490
乾,4,8981
復,14,31432
太,82,184104
邑,2,4490
部,2,4490
春,6,13471
縣,2,4490
紹,2,4490
公,2,4490
時,24,53884
豈,6,13471
妄,4,8981
荊,2,4490
避,6,13471
定,2,4490
尉,2,4490
言,12,26942
登,2,4490
典,2,4490
娶,2,4490
鄉,2,4490
地,28,62865
物,2,4490
名,8,17961
自,8,17961
殊,2,4490
陽,2,4490
雷,6,13471
分,4,8981
今,12,26942
見,6,13471
伎,8,17961
宮,2,4490
亥,10,22452
胎,2,4490
敗,2,4490
北,58,130220
禍,6,13471
掩,4,8981
往,2,4490
論,14,31432
累,2,4490
音,2,4490
赤,2,4490
椎,2,4490
責,2,4490
塗,2,4490
險,4,8981
坎,2,4490
楊,2,4490
王,16,35923
實,8,17961
令,20,44903
曲,6,13471
七,2,4490
冀,2,4490
囚,6,13471
獨,14,31432
西,44,98788
無,18,40413
連,2,4490
乘,2,4490
心,6,13471
伏,2,4490
治,2,4490
略,2,4490
《,2,4490
對,2,4490
輩,2,4490
議,2,4490
使,12,26942
立,16,35923
意,4,8981
通,2,4490
逢,4,8981
中,14,31432
傳,2,4490
寅,4,8981
形,2,4490
主,2,4490
殺,2,4490
害,16,35923
終,2,4490
居,10,22452
左,2,4490
橫,2,4490
元,6,13471
紀,2,4490
問,2,4490
雒,4,8981
抵,26,58374
車,6,13471
專,2,4490
兌,2,4490
午,18,40413
嫁,2,4490
疑,2,4490
滅,2,4490
危,2,4490
輿,2,4490
好,2,4490
日,10,22452
歸,2,4490
被,4,8981
里,10,22452
豫,2,4490
室,2,4490
經,8,17961
相,24,53884
運,2,4490
歲,114,255950
」,8,17961
人,60,134710
儒,8,17961
合,2,4490
衍,4,8981
同,2,4490
陳,2,4490
世,6,13471
明,8,17961
熱,4,8981
衝,28,62865
覽,2,4490
俱,2,4490
廷,2,4490
南,48,107768
來,2,4490
為,70,157162
木,2,4490
水,6,13471
死,16,35923
惡,6,13471
民,16,35923
安,8,17961
指,2,4490
帝,10,22452
徙,92,206556
犯,10,22452
建,2,4490
動,2,4490
處,6,13471
艮,6,13471
神,38,85317
工,8,17961
際,2,4490
假,8,17961
正,8,17961
周,2,4490
堡,2,4490
東,50,112259
數,6,13471
書,2,4490
殆,2,4490
卜,2,4490
營,2,4490
猶,16,35923
途,2,4490
山,2,4490
說,2,4490
鄒,4,8981
；,16,35923
龍,4,8981
節,2,4490
廢,2,4490
行,26,58374
凶,32,71846
大,6,13471
類,2,4490
維,8,17961
土,10,22452
常,6,13471
審,18,40413
傷,6,13471
仆,2,4490
天,42,94297
弓,2,4490
非,8,17961
用,6,13471
迅,2,4490
譬,2,4490
百,10,22452
蜮,2,4490
普,2,4490
坤,8,17961
步,2,4490
方,16,35923
夏,10,22452
聲,2,4490
億,2,4490
象,2,4490
溺,2,4490
位,32,71846
路,2,4490
千,12,26942
微,2,4490
遇,2,4490
伐,2,4490
昔,2,4490
文,14,31432
都,2,4490
羲,2,4490
沒,2,4490
丈,4,8981
盛,2,4490
一,24,53884
空,2,4490
生,2,4490
別,2,4490
悟,2,4490
廣,4,8981
服,4,8981
怒,4,8981
直,16,35923
起,2,4490
竟,10,22452
散,2,4490
射,6,13471
家,6,13471
俗,4,8981
氣,20,44903
鈞,2,4490
當,8,17961
禁,14,31432
揔,2,4490
信,4,8981
親,2,4490
離,2,4490
徐,2,4490
霧,2,4490
法,2,4490
霸,2,4490
蜺,2,4490
上,8,17961
冬,8,17961
陵,2,4490
甲,16,35923
驚,2,4490
右,2,4490
破,28,62865
橋,6,13471
道,10,22452
從,18,40413
輒,2,4490
》,2,4490
及,2,4490
卦,2,4490
案,2,4490
「,8,17961
申,4,8981
駕,2,4490
魁,2,4490
丑,12,26942
吏,14,31432
：,8,17961
走,4,8981
秋,2,4490
馬,4,8981
疾,4,8981
折,10,22452
載,4,8981
近,2,4490
張,4,8981
移,26,58374
宅,14,31432
兗,2,4490
義,2,4490
雅,4,8981
體,6,13471
間,6,13471
饒,2,4490
擊,2,4490
抱,2,4490
虛,4,8981
屬,2,4490
干,6,13471
極,6,13471
舍,2,4490
休,2,4490
知,8,17961
核,2,4490
巽,2,4490
吉,4,8981
勝,2,4490
絕,2,4490
異,4,8981
暴,6,13471
陰,2,4490
觸,36,80826
盡,2,4490
八,4,8981
月,14,31432
殃,2,4490
雍,2,4490
梁,2,4490
長,16,35923
？,62,139201
統,6,13471
宜,18,40413
器,2,4490
聖,2,4490
聚,2,4490
巳,4,8981
內,6,13471
須,2,4490
州,24,53884
凌,2,4490
