Character, Abs. Freq., Rel. Freq.
見,14,63234
齊,4,18067
逮,2,9033
國,4,18067
溫,2,9033
語,4,18067
『,14,63234
「,38,171635
兕,2,9033
隱,4,18067
貧,4,18067
顏,2,9033
達,2,9033
立,6,27100
力,2,9033
德,4,18067
來,6,27100
守,2,9033
社,2,9033
童,2,9033
天,14,63234
思,20,90334
費,2,9033
臾,10,45167
修,2,9033
視,2,9033
固,2,9033
躁,2,9033
傾,2,9033
止,2,9033
崩,2,9033
任,2,9033
求,10,45167
直,2,9033
及,10,45167
世,12,54201
義,4,18067
遊,2,9033
大,10,45167
賢,2,9033
剛,2,9033
損,8,36134
：,56,252936
顓,10,45167
祿,2,9033
自,10,45167
節,2,9033
玉,2,9033
季,8,36134
孔,28,126468
日,4,18067
獨,4,18067
明,2,9033
疑,2,9033
欲,6,27100
血,6,27100
舍,2,9033
貌,2,9033
人,34,153568
千,2,9033
周,2,9033
喜,2,9033
和,2,9033
患,8,36134
湯,2,9033
遠,6,27100
柔,2,9033
景,2,9033
孫,6,27100
叔,2,9033
列,2,9033
忿,2,9033
命,6,27100
宴,2,9033
柙,2,9033
斯,6,27100
戈,2,9033
執,2,9033
侍,2,9033
希,6,27100
知,6,27100
困,4,18067
小,6,27100
恐,2,9033
寡,6,27100
到,2,9033
友,18,81301
便,4,18067
侯,4,18067
一,2,9033
上,2,9033
壯,2,9033
稱,14,63234
持,2,9033
疾,2,9033
王,2,9033
內,4,18067
道,12,54201
邦,14,63234
諒,2,9033
色,6,27100
樂,26,117435
相,4,18067
辟,2,9033
首,2,9033
辭,2,9033
馬,2,9033
恭,2,9033
聞,18,81301
狎,2,9033
櫝,2,9033
戒,8,36134
侮,2,9033
稷,2,9033
文,2,9033
中,4,18067
餓,2,9033
他,2,9033
問,6,27100
公,4,18067
夷,2,9033
」,38,171635
禮,14,63234
干,2,9033
室,2,9033
牆,2,9033
失,6,27100
多,4,18067
庭,4,18067
；,26,117435
均,4,18067
微,2,9033
詩,8,36134
駟,2,9033
亢,4,18067
！,6,27100
誰,2,9033
龜,2,9033
分,2,9033
魚,2,9033
鬭,2,9033
妻,2,9033
昔,2,9033
君,22,99368
忠,2,9033
陽,2,9033
』,14,63234
扶,2,9033
政,4,18067
桓,2,9033
動,2,9033
死,2,9033
將,6,27100
今,8,36134
虎,2,9033
善,8,36134
庶,2,9033
家,2,9033
對,6,27100
嘗,2,9033
陪,2,9033
安,6,27100
佞,2,9033
吾,10,45167
事,4,18067
言,22,99368
民,6,27100
衰,2,9033
憂,4,18067
析,2,9033
退,6,27100
東,2,9033
伐,8,36134
路,2,9033
諸,6,27100
聖,4,18067
學,18,81301
伯,4,18067
志,2,9033
蓋,4,18067
危,2,9033
愆,2,9033
瞽,2,9033
？,16,72267
征,4,18067
謀,2,9033
服,4,18067
蒙,2,9033
少,2,9033
老,2,9033
用,2,9033
佚,2,9033
聽,2,9033
趨,4,18067
敬,2,9033
蕭,2,9033
方,2,9033
益,8,36134
探,2,9033
氏,4,18067
毀,2,9033
就,2,9033
無,16,72267
近,2,9033
域,2,9033
定,2,9033
離,2,9033
居,2,9033
冉,6,27100
生,2,9033
畏,10,45167
驕,2,9033
為,10,45167
議,2,9033
臣,6,27100
主,2,9033
行,2,9033
氣,6,27100
鯉,8,36134
異,6,27100
聰,2,9033
爾,4,18067
時,2,9033
難,2,9033
丘,2,9033
顛,2,9033
陳,6,27100
