Character, Abs. Freq., Rel. Freq.
優,2,5456
樂,4,10911
童,2,5456
尚,2,5456
畝,2,5456
億,2,5456
長,2,5456
恥,6,16367
賈,6,16367
百,8,21822
末,2,5456
；,10,27278
飾,2,5456
鮀,2,5456
報,8,21822
到,2,5456
文,12,32733
諸,10,27278
簡,2,5456
薨,2,5456
飯,2,5456
我,8,21822
哀,2,5456
方,2,5456
諒,4,10911
滕,2,5456
忽,2,5456
宮,4,10911
侯,4,10911
稼,2,5456
怨,12,32733
邦,8,21822
懷,2,5456
盪,2,5456
病,2,5456
栖,4,10911
述,2,5456
服,2,5456
路,14,38189
云,2,5456
直,2,5456
霸,2,5456
《,2,5456
要,4,10911
宰,2,5456
利,2,5456
危,8,21822
欲,8,21822
里,2,5456
誨,2,5456
叔,8,21822
告,16,43644
義,4,10911
殺,4,10911
難,8,21822
小,4,10911
玉,2,5456
衽,2,5456
僎,2,5456
心,2,5456
廟,2,5456
老,4,10911
莊,2,5456
官,2,5456
召,2,5456
東,2,5456
經,2,5456
臧,4,10911
高,4,10911
南,4,10911
位,6,16367
怍,2,5456
久,2,5456
被,2,5456
驥,2,5456
覺,2,5456
佞,4,10911
荷,2,5456
創,2,5456
俟,2,5456
市,2,5456
匡,2,5456
藝,2,5456
斯,6,16367
禹,2,5456
髮,2,5456
躬,2,5456
暇,2,5456
為,42,114566
曾,2,5456
西,2,5456
猶,4,10911
同,2,5456
敢,6,16367
闕,2,5456
浴,2,5456
聞,2,5456
賢,6,16367
對,4,10911
魯,2,5456
世,4,10911
軍,2,5456
天,8,21822
姓,4,10911
淺,2,5456
笑,6,16367
思,4,10911
信,6,16367
康,2,5456
客,2,5456
舟,2,5456
衛,4,10911
硜,4,10911
夷,2,5456
君,24,65466
尤,2,5456
色,4,10911
平,2,5456
勇,8,21822
命,12,32733
門,6,16367
民,4,10911
討,4,10911
王,2,5456
達,6,16367
自,8,21822
圉,2,5456
明,4,10911
己,18,49100
授,2,5456
薛,2,5456
黨,2,5456
孫,8,21822
鄙,2,5456
喪,4,10911
氏,6,16367
七,2,5456
富,2,5456
諶,2,5456
！,40,109111
婦,2,5456
溝,2,5456
射,2,5456
禮,4,10911
疏,2,5456
朝,4,10911
伐,2,5456
駢,2,5456
益,4,10911
弒,4,10911
」,158,430987
將,6,16367
綽,4,10911
年,4,10911
裨,2,5456
知,20,54555
固,4,10911
舜,2,5456
稱,4,10911
管,12,32733
德,16,43644
堯,2,5456
适,4,10911
糾,4,10911
愛,2,5456
學,6,16367
合,2,5456
答,2,5456
季,2,5456
：,162,441899
從,4,10911
產,4,10911
』,4,10911
厭,6,16367
》,2,5456
「,158,430987
微,4,10911
奚,6,16367
豈,4,10911
求,6,16367
無,18,49100
杖,2,5456
疾,2,5456
靈,2,5456
作,2,5456
受,2,5456
一,2,5456
羿,2,5456
瀆,2,5456
陰,2,5456
吾,14,38189
寡,2,5456
欺,2,5456
賊,2,5456
事,2,5456
趙,2,5456
詐,2,5456
原,2,5456
貢,8,21822
犯,2,5456
懼,2,5456
蕢,2,5456
冉,2,5456
磬,4,10911
治,6,16367
古,4,10911
惠,2,5456
恆,2,5456
克,2,5456
賓,2,5456
居,4,10911
速,2,5456
抑,2,5456
桓,10,27278
蘧,2,5456
坐,2,5456
謀,2,5456
孟,2,5456
今,6,16367
奪,2,5456
勿,6,16367
食,2,5456
大,8,21822
譎,4,10911
道,18,49100
潤,2,5456
貧,2,5456
論,2,5456
臣,2,5456
勞,2,5456
丘,2,5456
相,4,10911
俱,2,5456
見,8,21822
仁,22,60011
壤,2,5456
敬,2,5456
忘,2,5456
冢,2,5456
升,2,5456
幼,2,5456
地,2,5456
宗,6,16367
非,6,16367
公,44,120022
使,10,27278
車,2,5456
旅,2,5456
患,4,10911
果,2,5456
脛,2,5456
書,2,5456
草,2,5456
匹,4,10911
賜,4,10911
言,28,76378
請,2,5456
邑,2,5456
正,4,10911
生,6,16367
揭,2,5456
脩,10,27278
張,2,5456
弟,2,5456
齊,2,5456
叩,2,5456
寮,6,16367
廢,2,5456
政,2,5456
聽,2,5456
兵,2,5456
穀,4,10911
卞,2,5456
總,2,5456
安,6,16367
肆,2,5456
力,6,16367
逆,2,5456
左,2,5456
並,2,5456
羽,2,5456
祝,2,5456
晉,2,5456
辟,8,21822
志,2,5456
厲,2,5456
奡,2,5456
死,10,27278
成,12,32733
伯,12,32733
武,4,10911
陳,4,10911
時,2,5456
士,4,10911
上,6,16367
問,22,60011
防,2,5456
『,4,10911
惑,4,10911
齒,2,5456
深,2,5456
善,2,5456
行,14,38189
易,4,10911
擊,4,10911
人,44,120022
石,2,5456
魏,2,5456
沐,2,5456
驕,2,5456
孔,22,60011
憂,2,5456
稷,2,5456
憲,2,5456
？,50,136388
愬,2,5456
好,2,5456
景,2,5456
晨,2,5456
仲,18,49100
宿,2,5456
忠,2,5456
沒,2,5456
