Character, Abs. Freq., Rel. Freq.
殆,2,8104
前,2,8104
史,4,16207
遠,6,24311
食,6,24311
衡,2,8104
信,6,24311
樂,2,8104
嘗,4,16207
周,2,8104
耕,2,8104
階,4,16207
；,20,81037
放,2,8104
卷,2,8104
借,2,8104
思,2,8104
忍,2,8104
達,2,8104
蠻,2,8104
非,6,24311
成,4,16207
仕,2,8104
蹈,4,16207
色,2,8104
淫,2,8104
仁,22,89141
懷,2,8104
亂,4,16207
仲,2,8104
顏,2,8104
甚,2,8104
禮,4,16207
名,2,8104
稱,2,8104
同,2,8104
治,2,8104
亡,2,8104
從,2,8104
倚,2,8104
諸,6,24311
衛,2,8104
害,2,8104
今,2,8104
時,2,8104
求,6,24311
矢,4,16207
善,4,16207
舞,2,8104
勿,2,8104
士,4,16207
貧,2,8104
女,2,8104
知,18,72934
陳,4,16207
察,4,16207
讓,2,8104
君,30,121556
舜,2,8104
益,2,8104
某,4,16207
生,2,8104
濫,2,8104
殺,2,8104
張,6,24311
責,2,8104
民,6,24311
「,100,405186
問,12,48622
旅,2,8104
臧,2,8104
惡,2,8104
慧,2,8104
南,2,8104
黨,2,8104
無,16,64830
淵,2,8104
：,100,405186
夏,2,8104
師,10,40519
水,4,16207
厚,2,8104
病,6,24311
佞,4,16207
志,2,8104
火,4,16207
德,6,24311
自,2,8104
躬,2,8104
聲,4,16207
立,4,16207
邦,14,56726
吾,12,48622
輿,2,8104
夜,2,8104
末,2,8104
蘧,2,8104
糧,2,8104
直,4,16207
惠,2,8104
薄,2,8104
魚,2,8104
一,4,16207
小,14,56726
鄭,4,16207
賢,4,16207
教,2,8104
好,8,32415
莊,4,16207
寢,2,8104
終,8,32415
道,24,97245
居,4,16207
紳,2,8104
施,2,8104
沒,2,8104
群,4,16207
里,2,8104
馬,2,8104
廢,2,8104
書,2,8104
予,4,16207
工,2,8104
闕,2,8104
參,2,8104
公,2,8104
相,4,16207
告,2,8104
毀,2,8104
坐,2,8104
身,4,16207
『,2,8104
貢,4,16207
遂,2,8104
對,4,16207
質,2,8104
識,2,8104
餒,2,8104
見,14,56726
人,38,153971
動,2,8104
靈,2,8104
多,2,8104
軍,2,8104
怨,2,8104
學,8,32415
器,2,8104
類,2,8104
受,4,16207
窮,6,24311
敬,8,32415
孫,2,8104
失,10,40519
服,2,8104
文,4,16207
忠,4,16207
辭,2,8104
試,2,8104
輅,2,8104
聞,2,8104
弘,4,16207
席,4,16207
當,2,8104
及,14,56726
日,6,24311
位,2,8104
矜,2,8104
俎,2,8104
近,2,8104
欲,4,16207
貫,2,8104
正,2,8104
己,8,32415
慮,2,8104
恭,2,8104
死,4,16207
伯,2,8104
猶,2,8104
貊,2,8104
州,2,8104
興,2,8104
竊,2,8104
鮮,2,8104
中,4,16207
改,2,8104
言,28,113452
」,102,413290
大,8,32415
面,2,8104
謀,8,32415
義,4,16207
乘,4,16207
守,6,24311
利,2,8104
韶,2,8104
？,18,72934
世,2,8104
難,2,8104
冕,6,24311
爭,2,8104
賜,2,8104
疾,2,8104
豆,2,8104
憂,6,24311
絕,2,8104
友,2,8104
誰,4,16207
明,2,8104
！,16,64830
路,2,8104
為,14,56726
舉,2,8104
事,12,48622
斯,8,32415
行,24,97245
祿,2,8104
篤,4,16207
代,2,8104
慍,2,8104
貞,2,8104
孔,4,16207
諒,2,8104
玉,2,8104
』,2,8104
涖,4,16207
譽,4,16207
柳,2,8104
殷,2,8104
固,4,16207
巧,2,8104
恕,2,8104
