Character, Abs. Freq., Rel. Freq.
色,4,7254
無,16,29017
弱,10,18136
墓,2,3627
淺,2,3627
南,2,3627
要,2,3627
器,8,14509
卒,10,18136
鎰,2,3627
寡,2,3627
齊,52,94305
率,2,3627
卵,2,3627
變,2,3627
親,2,3627
存,10,18136
即,4,7254
弊,4,7254
民,12,21763
僻,2,3627
忍,2,3627
侯,14,25390
我,10,18136
異,2,3627
銳,6,10881
陣,2,3627
滅,4,7254
？,26,47153
屈,2,3627
毀,2,3627
上,18,32644
作,2,3627
善,4,7254
主,10,18136
弟,4,7254
朝,2,3627
尚,2,3627
艾,2,3627
為,38,68915
願,4,7254
敢,12,21763
危,6,10881
處,2,3627
常,2,3627
分,4,7254
尊,4,7254
右,2,3627
小,8,14509
家,2,3627
』,4,7254
攻,6,10881
巧,2,3627
弩,2,3627
功,8,14509
騎,2,3627
拜,6,10881
宰,2,3627
敗,12,21763
傷,2,3627
卻,2,3627
魯,36,65288
腦,2,3627
弔,4,7254
困,6,10881
人,56,101560
差,2,3627
盧,2,3627
抵,4,7254
心,22,39898
江,2,3627
實,2,3627
切,2,3627
武,2,3627
臂,2,3627
「,58,105187
豆,4,7254
『,4,7254
奈,4,7254
行,14,25390
吏,14,25390
聞,28,50780
年,4,7254
負,2,3627
踐,8,14509
成,18,32644
用,4,7254
犯,2,3627
怨,2,3627
猛,2,3627
除,2,3627
門,4,7254
逆,2,3627
悉,6,10881
獲,2,3627
賴,8,14509
亡,4,7254
石,2,3627
再,6,10881
種,4,7254
言,8,14509
撫,2,3627
悅,6,10881
屬,2,3627
矢,2,3627
溢,2,3627
百,8,14509
奉,6,10881
封,2,3627
棲,10,18136
句,8,14509
定,4,7254
易,8,14509
中,8,14509
令,6,10881
數,2,3627
加,2,3627
從,12,21763
習,2,3627
環,2,3627
伐,48,87051
破,4,7254
恒,14,25390
銖,2,3627
日,6,10881
竊,6,10881
還,4,7254
北,2,3627
走,6,10881
鈞,2,3627
宗,2,3627
量,8,14509
左,2,3627
憚,2,3627
問,4,7254
襟,2,3627
禽,2,3627
越,66,119695
祀,4,7254
辱,10,18136
金,2,3627
休,2,3627
使,36,65288
聽,6,10881
執,4,7254
拙,2,3627
練,4,7254
遯,6,10881
唇,2,3627
憂,8,14509
恐,8,14509
千,8,14509
孔,8,14509
嶹,2,3627
因,2,3627
路,2,3627
交,6,10881
敵,6,10881
海,6,10881
宮,2,3627
果,8,14509
兩,2,3627
幾,4,7254
大,68,123322
手,2,3627
祭,4,7254
耳,2,3627
箕,2,3627
支,2,3627
自,12,21763
賀,2,3627
淵,2,3627
直,2,3627
懼,2,3627
鮑,2,3627
臨,6,10881
私,6,10881
義,10,18136
飾,4,7254
布,2,3627
欲,4,7254
嗌,2,3627
城,8,14509
羽,2,3627
見,22,39898
棘,6,10881
焦,2,3627
前,2,3627
威,4,7254
殆,2,3627
申,6,10881
蠻,2,3627
丘,2,3627
苦,6,10881
士,16,29017
藏,2,3627
諾,6,10881
順,2,3627
離,2,3627
霸,6,10881
送,2,3627
夷,6,10881
陵,2,3627
發,2,3627
暴,4,7254
觀,2,3627
池,6,10881
味,2,3627
治,2,3627
誅,2,3627
吳,82,148712
軍,10,18136
辨,2,3627
群,4,7254
野,2,3627
歸,2,3627
事,20,36271
嘗,2,3627
陳,14,25390
舍,2,3627
公,2,3627
守,8,14509
驕,6,10881
：,64,116068
