Character, Abs. Freq., Rel. Freq.
屬,12,15621
土,8,10414
夷,6,7810
阜,4,5207
楊,2,2603
淹,4,5207
臨,2,2603
壞,2,2603
壽,2,2603
奏,16,20828
渡,2,2603
從,14,18224
」,4,5207
絕,4,5207
唐,6,7810
建,2,2603
伐,4,5207
路,10,13017
光,2,2603
田,14,18224
諸,12,15621
陂,10,13017
烏,10,13017
府,4,5207
周,56,72898
自,2,2603
左,2,2603
外,42,54673
口,4,5207
北,34,44259
留,2,2603
舍,8,10414
闚,2,2603
駕,2,2603
冶,2,2603
年,58,75501
均,2,2603
罘,2,2603
信,2,2603
倉,8,10414
鷗,2,2603
士,4,5207
柴,4,5207
越,50,65087
舞,2,2603
紐,2,2603
獄,2,2603
尹,2,2603
立,14,18224
雲,2,2603
載,2,2603
法,2,2603
鍾,6,7810
秋,4,5207
歙,2,2603
力,2,2603
庫,2,2603
姑,8,10414
各,2,2603
八,34,44259
塞,8,10414
貴,4,5207
亡,2,2603
文,4,5207
分,2,2603
居,10,13017
善,2,2603
招,2,2603
嚭,2,2603
錢,6,7810
問,4,5207
置,16,20828
虞,6,7810
耆,2,2603
常,2,2603
燒,6,7810
民,4,5207
連,2,2603
牛,6,7810
怪,2,2603
澤,2,2603
浙,4,5207
令,2,2603
棠,2,2603
蛇,6,7810
地,14,18224
東,58,75501
窮,2,2603
衛,2,2603
霸,4,5207
前,6,7810
書,2,2603
貢,2,2603
奇,2,2603
孔,2,2603
陽,16,20828
瑯,6,7810
懷,4,5207
長,10,13017
槨,2,2603
濞,8,10414
荊,4,5207
糧,2,2603
李,6,7810
賈,6,7810
星,2,2603
繼,2,2603
字,2,2603
程,4,5207
并,20,26035
園,2,2603
搖,10,13017
黃,2,2603
功,2,2603
古,28,36449
拳,4,5207
澒,2,2603
冢,66,85915
丈,48,62484
朔,2,2603
齊,14,18224
軍,6,7810
大,52,67691
襄,6,7810
城,80,104140
元,10,13017
官,2,2603
增,4,5207
戰,4,5207
戈,2,2603
時,26,33845
武,20,26035
溪,14,18224
藥,2,2603
廣,20,26035
疆,2,2603
七,58,75501
叛,2,2603
冰,4,5207
松,2,2603
漁,2,2603
治,38,49466
宋,6,7810
曲,4,5207
鑄,2,2603
歸,6,7810
亢,2,2603
母,4,5207
錯,2,2603
丹,6,7810
還,4,5207
徙,10,13017
丘,12,15621
父,2,2603
虛,6,7810
郡,8,10414
碓,10,13017
冤,2,2603
耦,2,2603
殿,8,10414
戍,2,2603
鳧,4,5207
殺,10,13017
騎,2,2603
尺,54,70294
孫,2,2603
名,46,59880
江,16,20828
差,8,10414
浦,4,5207
夕,2,2603
閶,10,13017
帝,18,23431
度,6,7810
铆,6,7810
侯,12,15621
阿,2,2603
重,2,2603
竹,2,2603
作,2,2603
方,6,7810
並,2,2603
昆,2,2603
冬,2,2603
見,4,5207
初,6,7810
鴻,2,2603
逢,2,2603
劍,6,7810
巢,2,2603
劉,4,5207
肥,2,2603
皇,18,23431
被,2,2603
廬,42,54673
鑿,8,10414
屋,20,26035
隆,2,2603
縣,138,179641
淮,2,2603
射,6,7810
千,22,28638
宮,20,26035
延,6,7810
宿,4,5207
就,2,2603
質,2,2603
毋,2,2603
梅,2,2603
腸,2,2603
洲,4,5207
養,2,2603
頸,4,5207
柯,2,2603
弟,2,2603
起,4,5207
卯,2,2603
邪,6,7810
徐,2,2603
決,2,2603
保,2,2603
陳,2,2603
灌,2,2603
右,2,2603
牆,8,10414
審,10,13017
室,4,5207
櫟,2,2603
華,2,2603
避,2,2603
克,2,2603
走,2,2603
白,6,7810
利,2,2603
考,4,5207
通,20,26035
放,2,2603
歇,2,2603
兩,4,5207
入,6,7810
兵,4,5207
伯,6,7810
湛,2,2603
歷,6,7810
龍,4,5207
興,2,2603
奔,2,2603
高,34,44259
思,6,7810
欐,6,7810
太,34,44259
猶,8,10414
戶,12,15621
生,2,2603
終,2,2603
南,52,67691
庭,2,2603
西,44,57277
丁,2,2603
烈,10,13017
相,6,7810
刻,4,5207
錫,14,18224
婁,14,18224
塘,14,18224
撫,2,2603
食,2,2603
蜀,2,2603
來,2,2603
都,8,10414
復,8,10414
午,2,2603
輸,2,2603
美,2,2603
閈,2,2603
畜,4,5207
胥,36,46863
築,10,13017
小,14,18224
公,6,7810
燕,2,2603
道,30,39052
物,2,2603
稽,6,7810
遠,2,2603
平,12,15621
近,4,5207
聚,2,2603
月,6,7810
注,2,2603
滅,4,5207
深,6,7810
兒,2,2603
堂,2,2603
里,188,244728
麋,8,10414
坑,4,5207
魚,4,5207
船,2,2603
處,2,2603
步,50,65087
馬,8,10414
雞,6,7810
蒲,2,2603
採,2,2603
波,2,2603
僮,2,2603
昔,2,2603
罳,2,2603
祖,2,2603
宰,2,2603
踐,6,7810
將,8,10414
伍,2,2603
吳,114,148399
備,4,5207
廟,4,5207
流,2,2603
鄣,6,7810
扁,2,2603
鹿,2,2603
彭,2,2603
景,2,2603
發,2,2603
封,16,20828
虎,8,10414
亭,12,15621
位,2,2603
卑,8,10414
百,66,85915
照,2,2603
「,4,5207
馳,2,2603
當,4,5207
山,64,83312
耗,2,2603
侵,2,2603
面,12,15621
事,4,5207
達,4,5207
更,12,15621
客,8,10414
妻,2,2603
成,2,2603
桓,2,2603
罷,2,2603
姓,4,5207
尸,2,2603
顧,2,2603
餘,10,13017
門,78,101536
會,8,10414
莋,12,15621
臺,12,15621
世,12,15621
守,16,20828
羊,2,2603
禺,2,2603
累,2,2603
墜,2,2603
漢,20,26035
水,28,36449
辟,6,7810
為,68,88519
鄧,2,2603
君,74,96329
楚,20,26035
昌,2,2603
乙,2,2603
義,2,2603
闕,2,2603
上,28,36449
孝,10,13017
洋,4,5207
到,30,39052
毗,8,10414
申,46,59880
鶴,6,7810
內,2,2603
葬,16,20828
墟,4,5207
許,2,2603
杭,6,7810
祭,2,2603
卒,2,2603
蓋,4,5207
靈,2,2603
反,4,5207
離,4,5207
檐,2,2603
棲,2,2603
幽,8,10414
石,26,33845
陵,42,54673
海,8,10414
今,16,20828
計,2,2603
火,2,2603
鹽,2,2603
旦,2,2603
安,6,7810
市,8,10414
送,2,2603
歲,2,2603
祠,4,5207
盛,2,2603
惡,2,2603
仲,2,2603
赤,4,5207
季,6,7810
櫝,2,2603
死,14,18224
犬,2,2603
傷,2,2603
歐,6,7810
乘,2,2603
候,8,10414
永,2,2603
陰,6,7810
史,2,2603
寸,4,5207
宗,2,2603
頭,2,2603
原,2,2603
郭,12,15621
無,18,23431
隧,2,2603
夏,6,7810
咸,2,2603
徑,2,2603
圓,2,2603
女,20,26035
定,2,2603
失,2,2603
格,4,5207
號,2,2603
徵,4,5207
霤,6,7810
人,18,23431
尾,4,5207
一,58,75501
稻,2,2603
湖,70,91122
禹,2,2603
天,4,5207
春,50,65087
句,6,7810
語,10,13017
巫,18,23431
萬,8,10414
神,10,13017
兄,2,2603
望,2,2603
尉,4,5207
王,118,153606
隱,2,2603
朝,2,2603
遊,10,13017
頃,28,36449
假,8,10414
晝,2,2603
鄉,18,23431
闔,40,52070
豕,2,2603
甲,2,2603
野,10,13017
賢,2,2603
適,2,2603
日,6,7810
隨,2,2603
畝,2,2603
樓,8,10414
瀆,8,10414
請,2,2603
池,14,18224
車,2,2603
桑,2,2603
黝,2,2603
玉,2,2603
造,32,41656
陸,8,10414
寫,2,2603
銅,2,2603
秦,22,28638
邑,8,10414
匠,2,2603
脂,2,2603
主,6,7810
多,4,5207
樂,4,5207
桃,2,2603
岑,4,5207
述,2,2603
威,4,5207
干,8,10414
引,2,2603
同,4,5207
昭,8,10414
蒸,2,2603
饒,2,2603
國,2,2603
使,4,5207
中,22,28638
