Character, Abs. Freq., Rel. Freq.
常,2,9747
望,2,9747
奚,8,38986
術,2,9747
？,30,146199
死,2,9747
言,4,19493
交,2,9747
閒,2,9747
聞,2,9747
肥,2,9747
極,2,9747
盾,2,9747
合,2,9747
服,4,19493
加,6,29240
鳴,2,9747
君,6,29240
讙,2,9747
近,2,9747
狐,2,9747
徙,2,9747
止,2,9747
為,60,292398
居,2,9747
身,4,19493
火,2,9747
同,6,29240
雄,2,9747
傷,2,9747
高,2,9747
桴,2,9747
敬,2,9747
名,8,38986
貪,2,9747
文,2,9747
喜,2,9747
反,2,9747
別,4,19493
賊,2,9747
難,2,9747
自,4,19493
汝,18,87719
陽,6,29240
儼,2,9747
地,16,77973
誰,8,38986
昭,2,9747
伐,6,29240
固,8,38986
怒,2,9747
剛,2,9747
事,6,29240
諸,6,29240
陷,4,19493
大,18,87719
害,4,19493
朕,14,68226
心,6,29240
改,2,9747
息,2,9747
華,2,9747
人,20,97466
殺,2,9747
聽,2,9747
明,2,9747
欲,10,48733
略,2,9747
角,2,9747
正,4,19493
民,14,68226
柔,2,9747
視,2,9747
美,10,48733
日,4,19493
私,4,19493
利,6,29240
海,2,9747
忌,4,19493
玉,4,19493
榮,2,9747
撅,2,9747
牧,4,19493
柯,6,29240
古,2,9747
患,6,29240
熱,2,9747
躬,2,9747
因,2,9747
舉,2,9747
行,14,68226
暝,2,9747
濟,2,9747
鳥,2,9747
天,24,116959
甘,2,9747
豕,2,9747
左,4,19493
勢,2,9747
智,6,29240
福,8,38986
屠,2,9747
維,10,48733
燀,2,9747
情,2,9747
測,2,9747
時,18,87719
羅,2,9747
微,2,9747
木,8,38986
號,2,9747
數,2,9747
月,2,9747
烹,2,9747
無,20,97466
紀,4,19493
威,6,29240
孤,2,9747
靜,2,9747
蓋,4,19493
群,2,9747
豲,2,9747
攫,2,9747
食,4,19493
走,2,9747
敢,4,19493
久,2,9747
終,6,29240
平,2,9747
葉,2,9747
察,6,29240
離,6,29240
深,2,9747
網,2,9747
求,2,9747
竭,4,19493
亡,6,29240
經,4,19493
逆,2,9747
貌,2,9747
勝,4,19493
告,2,9747
堅,2,9747
凔,2,9747
陳,4,19493
包,2,9747
本,2,9747
恐,2,9747
；,2,9747
貅,2,9747
觀,6,29240
跂,2,9747
石,4,19493
善,10,48733
定,2,9747
牝,2,9747
禮,2,9747
災,2,9747
動,2,9747
物,20,97466
流,2,9747
巧,2,9747
直,2,9747
草,4,19493
從,4,19493
陰,6,29240
道,20,97466
順,2,9747
刑,6,29240
貔,2,9747
噦,2,9747
孰,4,19493
姑,10,48733
持,2,9747
刻,2,9747
枝,4,19493
趣,2,9747
爭,4,19493
剝,2,9747
中,4,19493
失,2,9747
泉,2,9747
覆,4,19493
短,2,9747
茅,2,9747
使,4,19493
禍,4,19493
仄,2,9747
雞,2,9747
小,2,9747
脩,2,9747
軫,4,19493
來,2,9747
植,2,9747
解,2,9747
山,4,19493
執,2,9747
牡,2,9747
用,14,68226
萬,16,77973
怠,2,9747
邃,2,9747
方,2,9747
豹,2,9747
長,2,9747
謀,4,19493
稱,2,9747
聖,6,29240
被,2,9747
水,2,9747
矢,2,9747
盡,4,19493
獸,2,9747
起,6,29240
猛,2,9747
教,2,9747
斧,4,19493
壽,2,9747
虎,6,29240
右,4,19493
理,2,9747
上,2,9747
頃,2,9747
幽,4,19493
國,20,97466
惡,14,68226
照,2,9747
穴,2,9747
詐,4,19493
牛,2,9747
勇,2,9747
成,2,9747
還,2,9747
牙,2,9747
種,2,9747
焚,4,19493
魚,2,9747
噬,2,9747
勤,4,19493
等,2,9747
家,4,19493
知,6,29240
阜,2,9747
生,26,126706
將,6,29240
：,6,29240
澤,2,9747
性,4,19493
度,2,9747
爪,2,9747
